eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
3033261,1,1.0000000000,2.8749080000,-0.0334794900,-0.0028773190,-0.0292892900,0.0086365050,0.0979770300,0.9951512000,1,1.0000000000,3.1766820000,0.0327901200,-0.0015546570,-0.0285383800,-0.0241702100,0.0833445000,0.9962276000,-0.0190777100,-0.0025898740,-0.0291261000,0.0015106370,0.0948039400,0.9954948000,0.0000000000,
3033269,1,1.0000000000,2.8724060000,-0.0334796300,-0.0028727270,-0.0292920200,0.0085602400,0.0977942600,0.9951698000,1,1.0000000000,3.1610110000,0.0327875200,-0.0015769350,-0.0284641600,-0.0203858900,0.0829474000,0.9963454000,-0.0247527800,-0.0027020720,-0.0291830000,0.0047455250,0.0958413000,0.9953853000,0.0000000000,
3033277,1,1.0000000000,2.8742680000,-0.0334797800,-0.0028681180,-0.0292947400,0.0086823240,0.0963600700,0.9953086000,1,1.0000000000,3.1444550000,0.0327849300,-0.0015992130,-0.0283899500,-0.0224915200,0.0830080600,0.9962950000,-0.0305585800,-0.0028121800,-0.0292548500,0.0073090750,0.0957656700,0.9953771000,0.0000000000,
3033286,1,1.0000000000,2.8713070000,-0.0334804500,-0.0028641510,-0.0292979600,0.0087128060,0.0946506800,0.9954724000,1,1.0000000000,3.1392970000,0.0327839200,-0.0016033020,-0.0283754300,-0.0220947900,0.0825655400,0.9963407000,-0.0321780900,-0.0028393710,-0.0292798200,0.0081024350,0.0944063300,0.9955008000,0.0000000000,
3033294,1,1.0000000000,2.8736420000,-0.0334811200,-0.0028601690,-0.0293011600,0.0089570260,0.0950177200,0.9954353000,1,1.0000000000,3.1409000000,0.0327829200,-0.0016073910,-0.0283609000,-0.0219574700,0.0822298700,0.9963715000,-0.0327028100,-0.0028454590,-0.0292901300,0.0085908190,0.0948804800,0.9954516000,0.0000000000,
3033302,1,1.0000000000,2.8752750000,-0.0334811400,-0.0028593600,-0.0293083200,0.0092316580,0.0948648200,0.9954473000,1,1.0000000000,3.1424870000,0.0327839200,-0.0016033020,-0.0283754300,-0.0241699900,0.0825350300,0.9962950000,-0.0325925600,-0.0028425140,-0.0292958100,0.0087891900,0.0946974200,0.9954673000,0.0000000000,
3033311,1,1.0000000000,2.8774720000,-0.0334811600,-0.0028585360,-0.0293154800,0.0089417910,0.0956283300,0.9953769000,1,1.0000000000,3.1409000000,0.0327829200,-0.0016073910,-0.0283609000,-0.0219574700,0.0822298700,0.9963715000,-0.0318206400,-0.0028271790,-0.0292915500,0.0081787820,0.0952919600,0.9954157000,0.0000000000,
3033319,1,1.0000000000,2.9028470000,-0.0334853800,-0.0028585360,-0.0293154800,0.0098267870,0.0958874700,0.9953437000,1,1.0000000000,3.1416470000,0.0327830500,-0.0016033020,-0.0283754300,-0.0239718600,0.0813609000,0.9963964000,-0.0284104900,-0.0027624050,-0.0292434900,0.0072326880,0.0947878900,0.9954712000,0.0000000000,
3033327,1,1.0000000000,2.9003300000,-0.0334921100,-0.0028203430,-0.0294139300,0.0102387000,0.0946507500,0.9954579000,1,1.0000000000,3.1386720000,0.0327829200,-0.0015992130,-0.0283899500,-0.0243684100,0.0803989500,0.9964648000,-0.0161396200,-0.0025006260,-0.0291458100,0.0011749350,0.0909277800,0.9958568000,0.0000000000,
3033336,1,1.0000000000,2.9024350000,-0.0334931600,-0.0028161320,-0.0294306400,0.0098724440,0.0948944800,0.9954384000,1,1.0000000000,3.1398770000,0.0327818600,-0.0015769350,-0.0284641600,-0.0251010300,0.0813914400,0.9963661000,-0.0032606360,-0.0022508550,-0.0289897600,-0.0060730170,0.0887453900,0.9960358000,0.0000000000,
