eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
2719980,1,1.0000000000,3.0035250000,-0.0323197800,0.0019710390,-0.0328452000,0.0828860800,-0.0207978200,0.9963420000,1,1.0000000000,3.1342160000,0.0299656100,0.0018357540,-0.0345865800,-0.0976113900,-0.0435337300,0.9942720000,0.0006819916,0.0018993530,-0.0337678700,-0.0127870500,-0.0329899900,0.9993739000,0.0000000000,
2719988,1,1.0000000000,3.0327300000,-0.0323202500,0.0019672850,-0.0328437400,0.0833444400,-0.0193025900,0.9963338000,1,1.0000000000,3.0954280000,0.0299645800,0.0018356020,-0.0345800600,-0.0992738900,-0.0454712800,0.9940206000,0.0008431397,0.0018971710,-0.0337682500,-0.0139465600,-0.0333710400,0.9993457000,0.0000000000,
2719997,1,0.9819653000,3.0039830000,-0.0323207300,0.0019635320,-0.0328445300,0.0834658400,-0.0191956200,0.9963257000,1,0.9819653000,3.1168210000,0.0299638400,0.0018294680,-0.0345724200,-0.0972447200,-0.0419923900,0.9943743000,0.0009334870,0.0018919530,-0.0337670600,-0.0130617000,-0.0315098100,0.9994181000,0.0000000000,
2720005,1,0.9819653000,3.0007170000,-0.0323220500,0.0019672850,-0.0328448600,0.0835572800,-0.0196533600,0.9963092000,1,0.9819653000,3.1360780000,0.0299630900,0.0018233190,-0.0345647700,-0.0981141100,-0.0436401800,0.9942179000,0.0001353302,0.0018922580,-0.0337411200,-0.0111543000,-0.0322879700,0.9994164000,0.0000000000,
2720013,1,0.9842719000,3.0035550000,-0.0323233800,0.0019710390,-0.0328452000,0.0836955200,-0.0207979900,0.9962743000,1,0.9842719000,3.1164250000,0.0299619600,0.0018184970,-0.0345539700,-0.0983279300,-0.0438081100,0.9941894000,-0.0003939362,0.0018928380,-0.0337211800,-0.0096589350,-0.0327305200,0.9994175000,0.0000000000,
2720022,1,0.9842719000,3.0324100000,-0.0323235300,0.0019721370,-0.0328539300,0.0840302700,-0.0199737800,0.9962630000,1,0.9842719000,3.0964970000,0.0299608500,0.0018136750,-0.0345431700,-0.0985580200,-0.0440527900,0.9941558000,-0.0020101320,0.0018950040,-0.0336760700,-0.0048523700,-0.0318303300,0.9994815000,0.0000000000,
2720030,1,1.0000000000,3.0036620000,-0.0323236800,0.0019732360,-0.0328626400,0.0836648600,-0.0195009500,0.9963031000,1,1.0000000000,3.1140140000,0.0299584700,0.0018103180,-0.0345415400,-0.0983138000,-0.0428778200,0.9942313000,-0.0027943270,0.0018959960,-0.0336586500,-0.0026245460,-0.0307163400,0.9995247000,0.0000000000,
2720038,1,1.0000000000,3.0001220000,-0.0323239600,0.0019736020,-0.0328717200,0.0836183100,-0.0193939500,0.9963091000,1,1.0000000000,3.0970150000,0.0299560900,0.0018069760,-0.0345399000,-0.0978864500,-0.0428167400,0.9942761000,-0.0027255860,0.0018944090,-0.0336645200,-0.0026550690,-0.0306553600,0.9995265000,0.0000000000,
2720047,1,1.0000000000,3.0030360000,-0.0323242400,0.0019739690,-0.0328807800,0.0836955200,-0.0192873500,0.9963047000,1,1.0000000000,3.1049040000,0.0299535700,0.0018057560,-0.0345342300,-0.0978551100,-0.0423738700,0.9942982000,-0.0024440770,0.0018932650,-0.0336740900,-0.0034179770,-0.0304871300,0.9995293000,0.0000000000,
2720055,1,1.0000000000,2.9994660000,-0.0323246800,0.0019775240,-0.0328818500,0.0837257600,-0.0200960100,0.9962862000,1,1.0000000000,3.0967710000,0.0299510700,0.0018069760,-0.0345399000,-0.0977187200,-0.0428167900,0.9942926000,-0.0017182010,0.0018937070,-0.0336967300,-0.0054627070,-0.0313876800,0.9994923000,0.0000000000,
2720063,1,0.9981098000,2.9958650000,-0.0323251400,0.0019810640,-0.0328829100,0.0838328700,-0.0209658500,0.9962592000,1,0.9981098000,3.0963590000,0.0299504900,0.0018102110,-0.0345415400,-0.0977184000,-0.0435948600,0.9942588000,-0.0009182434,0.0018948980,-0.0337193900,-0.0077515090,-0.0325166700,0.9994411000,0.0000000000,
2720072,1,0.9981098000,2.9994200000,-0.0323253300,0.0019815060,-0.0328856800,0.0838471000,-0.0207672200,0.9962622000,1,0.9981098000,3.0961910000,0.0299498900,0.0018069760,-0.0345431700,-0.0977330100,-0.0430147300,0.9942827000,-0.0002064362,0.0018914950,-0.0337405400,-0.0098419930,-0.0323641300,0.9994277000,0.0000000000,
2720080,1,0.9902884000,3.0026700000,-0.0323255300,0.0019819640,-0.0328884600,0.0838483200,-0.0207980500,0.9962615000,1,0.9902884000,3.0843050000,0.0299493600,0.0018069610,-0.0345539700,-0.0984041500,-0.0433045400,0.9942039000,0.0000972595,0.0018908540,-0.0337555900,-0.0110780500,-0.0326543200,0.9994053000,0.0000000000,
2720088,1,0.9902884000,3.0023650000,-0.0323265400,0.0019821930,-0.0328994800,0.0839692600,-0.0216675200,0.9962327000,1,0.9902884000,3.0726170000,0.0299488200,0.0018069760,-0.0345647700,-0.0990765400,-0.0436406800,0.9941224000,-0.0000903168,0.0018914950,-0.0337615100,-0.0108184900,-0.0331879000,0.9993906000,0.0000000000,
2720097,1,1.0000000000,3.0087740000,-0.0323265400,0.0019846650,-0.0329105300,0.0827035500,-0.0218966000,0.9963336000,1,1.0000000000,3.0684510000,0.0299461500,0.0018069610,-0.0345647700,-0.1008927000,-0.0456092500,0.9938513000,-0.0006831666,0.0018943640,-0.0337511200,-0.0106354100,-0.0340882400,0.9993622000,0.0000000000,
2720105,1,1.0000000000,3.0497130000,-0.0323271000,0.0019919590,-0.0329183800,0.0830232000,-0.0250549700,0.9962326000,1,1.0000000000,3.0632930000,0.0299456000,0.0018064120,-0.0345647700,-0.1009066000,-0.0475007100,0.9937613000,-0.0007979889,0.0018980100,-0.0337519500,-0.0101319600,-0.0365757500,0.9992795000,0.0000000000,
2720113,1,1.0000000000,3.0072330000,-0.0323276200,0.0019977110,-0.0329291700,0.0811626200,-0.0263828100,0.9963516000,1,1.0000000000,3.0628050000,0.0299445800,0.0018064120,-0.0345764900,-0.1027535000,-0.0472416100,0.9935844000,-0.0006312866,0.0019003450,-0.0337676600,-0.0124970700,-0.0371555100,0.9992313000,0.0000000000,
2720122,1,1.0000000000,3.0067440000,-0.0323281600,0.0019986270,-0.0329346000,0.0804911300,-0.0267490000,0.9963963000,1,1.0000000000,3.0590360000,0.0299425500,0.0018058930,-0.0345844100,-0.1033642000,-0.0487218500,0.9934496000,-0.0005431824,0.0019002530,-0.0337767200,-0.0133973100,-0.0381319700,0.9991829000,0.0000000000,
2720130,1,1.0000000000,3.0059050000,-0.0323288900,0.0020079190,-0.0329734300,0.0804451900,-0.0263979800,0.9964094000,1,1.0000000000,3.0433810000,0.0299386900,0.0018058930,-0.0345908200,-0.1025863000,-0.0490576900,0.9935136000,0.0005407563,0.0019012760,-0.0338272100,-0.0162355200,-0.0385288500,0.9991256000,0.0000000000,
