eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
2902583,1,1.0000000000,3.2145080000,-0.0339007800,-0.0020963590,-0.0295064400,0.0444032100,0.1226352000,0.9914580000,1,1.0000000000,3.3793790000,0.0323973600,0.0008612213,-0.0286494900,-0.0291294100,0.1058516000,0.9939552000,0.0091218270,-0.0001771088,-0.0289503300,-0.0033111900,0.1118175000,0.9937232000,0.0000000000,
2902591,1,1.0000000000,3.1538540000,-0.0339013100,-0.0020663300,-0.0295797300,0.0442811700,0.1220555000,0.9915349000,1,1.0000000000,3.3749390000,0.0323959100,0.0008628998,-0.0286485100,-0.0270386900,0.1066289000,0.9939312000,0.0106790800,-0.0000966034,-0.0289535500,-0.0036773760,0.1117403000,0.9937307000,0.0000000000,
2902600,1,1.0000000000,3.2106630000,-0.0339007800,-0.0020362860,-0.0296530200,0.0446019100,0.1213850000,0.9916030000,1,1.0000000000,3.3698730000,0.0323962700,0.0008645935,-0.0286494900,-0.0288547600,0.1074844000,0.9937880000,0.0113204700,-0.0000575867,-0.0289685100,-0.0055084970,0.1119705000,0.9936963000,0.0000000000,
2902608,1,1.0000000000,3.1647030000,-0.0339007000,-0.0020369870,-0.0296480400,0.0440528100,0.1200427000,0.9917908000,1,1.0000000000,3.3470150000,0.0323958900,0.0008709565,-0.0286664900,-0.0269320800,0.1070112000,0.9938930000,0.0121279200,-0.0000180359,-0.0289665500,-0.0052338220,0.1110547000,0.9938005000,0.0000000000,
2902616,1,1.0000000000,3.1200260000,-0.0339006200,-0.0020377040,-0.0296430700,0.0440678100,0.1202099000,0.9917700000,1,1.0000000000,3.3242030000,0.0323962700,0.0008773194,-0.0286834900,-0.0251923800,0.1065069000,0.9939928000,0.0142538200,0.0000796051,-0.0289460800,-0.0062409200,0.1103071000,0.9938779000,0.0000000000,
2902625,1,1.0000000000,3.1082760000,-0.0338999300,-0.0020630490,-0.0295832100,0.0441901800,0.1209889000,0.9916698000,1,1.0000000000,3.3167720000,0.0323967000,0.0008866272,-0.0287076600,-0.0237429100,0.1047832000,0.9942116000,0.0144054300,0.0000861511,-0.0289452700,-0.0053101290,0.1092391000,0.9940013000,0.0000000000,
2902633,1,1.0000000000,3.0965120000,-0.0338992500,-0.0020883940,-0.0295233500,0.0443121000,0.1217209000,0.9915747000,1,1.0000000000,3.3093570000,0.0323962700,0.0008959199,-0.0287318400,-0.0251773900,0.1039597000,0.9942628000,0.0136367700,0.0000514526,-0.0289558100,-0.0055084420,0.1090397000,0.9940221000,0.0000000000,
2902641,1,1.0000000000,3.1876370000,-0.0338818400,-0.0021545720,-0.0294318300,0.0469366500,0.1212327000,0.9915138000,1,1.0000000000,3.3140410000,0.0323959800,0.0008896943,-0.0287341800,-0.0236053800,0.1050416000,0.9941877000,0.0125898100,-0.0000200348,-0.0289426600,-0.0025329790,0.1099405000,0.9939349000,0.0000000000,
2902650,1,1.0000000000,2.9718020000,-0.0338785300,-0.0021528780,-0.0294397800,0.0356601600,0.1208509000,0.9920300000,1,1.0000000000,3.3092190000,0.0323962700,0.0008951874,-0.0287365100,-0.0221101400,0.1034248000,0.9943915000,0.0114517100,-0.0000680695,-0.0289587600,-0.0038452260,0.1089786000,0.9940367000,0.0000000000,
2902658,1,1.0000000000,3.0422210000,-0.0338783900,-0.0021293640,-0.0295045900,0.0422062900,0.1217360000,0.9916647000,1,1.0000000000,3.3027800000,0.0323967000,0.0008946228,-0.0287713200,-0.0237886600,0.1047830000,0.9942105000,0.0102784100,-0.0001145783,-0.0290160400,-0.0017547780,0.1104900000,0.9938757000,0.0000000000,
2902666,1,1.0000000000,2.9983520000,-0.0338782500,-0.0021058350,-0.0295694300,0.0397342200,0.1215983000,0.9917838000,1,1.0000000000,3.2962190000,0.0323971100,0.0008949128,-0.0288061100,-0.0254517800,0.1060186000,0.9940384000,0.0076717530,-0.0002245636,-0.0290908800,-0.0011291570,0.1118934000,0.9937196000,0.0000000000,
2902675,1,1.0000000000,2.9897310000,-0.0338774100,-0.0020974430,-0.0295833900,0.0409093800,0.1194017000,0.9920028000,1,1.0000000000,3.2592620000,0.0324062100,0.0009037934,-0.0288358300,-0.0273438300,0.1005557000,0.9945557000,0.0071650550,-0.0002390747,-0.0291205200,-0.0013580320,0.1078034000,0.9941713000,0.0000000000,
2902683,1,1.0000000000,2.9815830000,-0.0338765700,-0.0020890350,-0.0295973700,0.0420839900,0.1172645000,0.9922086000,1,1.0000000000,3.2235720000,0.0324064200,0.0009046936,-0.0288375900,-0.0238038900,0.0988319100,0.9948194000,0.0039160160,-0.0003820953,-0.0291641700,0.0045013720,0.1068122000,0.9942690000,0.0000000000,
2902691,1,1.0000000000,2.9889220000,-0.0338759200,-0.0020972440,-0.0295833900,0.0442811000,0.1179049000,0.9920371000,1,1.0000000000,3.2130580000,0.0324060100,0.0009047394,-0.0288312700,-0.0231324800,0.0977637200,0.9949408000,0.0021202090,-0.0004669342,-0.0291749300,0.0076599750,0.1070413000,0.9942251000,0.0000000000,
2902700,1,1.0000000000,2.9953770000,-0.0338752800,-0.0020890350,-0.0295973700,0.0464179200,0.1167162000,0.9920800000,1,1.0000000000,3.2231290000,0.0324064200,0.0009048005,-0.0288375900,-0.0238038500,0.0976110500,0.9949399000,0.0015162050,-0.0004904480,-0.0291916800,0.0089265370,0.1065844000,0.9942636000,0.0000000000,
2902708,1,1.0000000000,2.9879460000,-0.0338748200,-0.0020871580,-0.0295975200,0.0455631300,0.1161967000,0.9921806000,1,1.0000000000,3.2128450000,0.0324060100,0.0009047394,-0.0288312700,-0.0243380500,0.0977336600,0.9949149000,0.0035861060,-0.0003961640,-0.0291644400,0.0060578060,0.1058361000,0.9943652000,0.0000000000,
2902716,1,1.0000000000,2.9949340000,-0.0338743800,-0.0020852660,-0.0295976700,0.0462190500,0.1158452000,0.9921913000,1,1.0000000000,3.2027740000,0.0324064200,0.0009048005,-0.0288375900,-0.0236969900,0.0985874000,0.9948462000,0.0056461340,-0.0003023987,-0.0291444700,0.0045166530,0.1056225000,0.9943960000,0.0000000000,
2902725,1,1.0000000000,2.9876860000,-0.0338734900,-0.0020845030,-0.0295990300,0.0452580500,0.1152509000,0.9923049000,1,1.0000000000,3.2031560000,0.0324069400,0.0009064942,-0.0288399100,-0.0245058700,0.0989390000,0.9947917000,0.0022352140,-0.0004550476,-0.0291854600,0.0072480390,0.1064317000,0.9942936000,0.0000000000,
