unity_timestamp,eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
361.8098000000,1571654,True,0.9231581000,3.4925990000,-0.0324243000,0.0010458220,-0.0254371800,0.0416109000,0.1003270000,0.9940841000,True,0.9546909000,3.9426420000,0.0288189600,0.0031124270,-0.0221660500,0.0319522700,0.0704201200,0.9970055000,0.0024223940,0.0022216950,-0.0235759400,0.0361176900,0.0833133100,0.9958687000,0.0000000000,
361.8098000000,1571662,True,0.9091115000,3.4094240000,-0.0323924400,0.0010875850,-0.0253132300,0.0529481900,0.1061558000,0.9929388000,True,0.9556789000,3.8668210000,0.0288568700,0.0031900180,-0.0221947600,0.0393376800,0.0842906700,0.9956644000,0.0075513000,0.0024586790,-0.0232795300,0.0440830900,0.0919046200,0.9947916000,0.0000000000,
361.8098000000,1571670,True,0.9091115000,3.4095610000,-0.0324308800,0.0010917050,-0.0252616600,0.0516670300,0.1036545000,0.9932705000,True,0.9556789000,3.9211120000,0.0289059800,0.0032244110,-0.0222613400,0.0383302500,0.0789188000,0.9961439000,0.0225245100,0.0030025330,-0.0225734900,0.0397186900,0.0814973300,0.9958819000,0.0000000000,
361.8098000000,1571679,True,0.9341322000,3.3742980000,-0.0324876400,0.0011755980,-0.0254917000,0.0498200300,0.0965425200,0.9940813000,True,0.9558305000,3.8640590000,0.0289215600,0.0032108920,-0.0221849700,0.0357667800,0.0688785200,0.9969837000,0.0268255500,0.0031414340,-0.0222978400,0.0362401200,0.0698251600,0.9969007000,0.0000000000,
361.8098000000,1571687,True,0.9341322000,3.3798980000,-0.0324957600,0.0011858830,-0.0255300000,0.0497138000,0.0927899300,0.9944438000,True,0.9558305000,4.0108800000,0.0289435900,0.0031383210,-0.0221488200,0.0419164000,0.0785379400,0.9960295000,0.0266868500,0.0030666050,-0.0222730300,0.0421907800,0.0790562000,0.9959770000,0.0000000000,
361.8211000000,1571695,True,0.9641876000,3.3717190000,-0.0325038800,0.0011755980,-0.0254917000,0.0493324400,0.0899824900,0.9947208000,True,0.9760823000,3.9908750000,0.0289550000,0.0031237640,-0.0220907300,0.0402223200,0.0760043200,0.9962959000,0.0260865500,0.0030328370,-0.0222494700,0.0406499200,0.0766611100,0.9962282000,0.0000000000,
361.8211000000,1571704,True,0.9641876000,3.3750000000,-0.0325128200,0.0011673740,-0.0254699900,0.0501560800,0.0939034100,0.9943171000,True,0.9760823000,3.9729160000,0.0289664300,0.0031092230,-0.0220326400,0.0384675600,0.0782778900,0.9961892000,0.0227717100,0.0029135590,-0.0223789800,0.0396581600,0.0798656400,0.9960164000,0.0000000000,
361.8211000000,1571712,True,0.9686852000,3.3775630000,-0.0325217600,0.0011591490,-0.0254482700,0.0509647500,0.0952460900,0.9941483000,True,0.9863260000,3.9517210000,0.0289674200,0.0030656590,-0.0218520100,0.0407718500,0.0780188700,0.9961178000,0.0023359220,0.0022399290,-0.0234095800,0.0451819300,0.0854809900,0.9953148000,0.0000000000,
361.8412000000,1571720,True,0.9686852000,3.3834840000,-0.0325222200,0.0011587070,-0.0254381600,0.0504004700,0.0927441800,0.9944136000,True,0.9863260000,3.9821010000,0.0289684200,0.0030376740,-0.0217382800,0.0421911000,0.0781870400,0.9960455000,-0.0202598100,0.0015334020,-0.0247003300,0.0487675900,0.0898446700,0.9947611000,0.0000000000,
361.8456000000,1571729,True,0.9899377000,3.3894650000,-0.0325226600,0.0011582490,-0.0254280400,0.0506140300,0.0903179000,0.9946260000,True,0.9982045000,3.9547270000,0.0289757300,0.0030392460,-0.0217701300,0.0409244200,0.0779425700,0.9961175000,-0.0290921000,0.0012631840,-0.0252240000,0.0500798500,0.0896310200,0.9947152000,0.0000000000,
361.8564000000,1571737,True,0.9899377000,3.3841090000,-0.0325235200,0.0011558990,-0.0254221800,0.0503700200,0.0899213900,0.9946743000,True,0.9982045000,3.9799350000,0.0289830300,0.0030408170,-0.0218019700,0.0394746200,0.0781710400,0.9961582000,-0.0304449300,0.0012195890,-0.0252998400,0.0500034600,0.0895240500,0.9947286000,0.0000000000,
361.8564000000,1571745,True,1.0000000000,3.3894650000,-0.0325243500,0.0011535340,-0.0254163200,0.0502167600,0.0896455500,0.9947070000,True,1.0000000000,3.9531100000,0.0289970400,0.0030422820,-0.0218222500,0.0369723300,0.0783697300,0.9962386000,-0.0308980000,0.0012034760,-0.0253213200,0.0498665300,0.0893416600,0.9947519000,0.0000000000,
361.8675000000,1571754,True,1.0000000000,3.3949890000,-0.0325318800,0.0011272890,-0.0253893900,0.0517885300,0.0935520000,0.9942666000,True,1.0000000000,3.9128110000,0.0290569600,0.0030486450,-0.0217031900,0.0315249700,0.0631262400,0.9975076000,-0.0305437800,0.0011893160,-0.0252704000,0.0511325700,0.0925757400,0.9943919000,0.0000000000,
361.8786000000,1571762,True,1.0000000000,3.4005740000,-0.0325393900,0.0011010290,-0.0253624600,0.0533605700,0.0975352500,0.9938006000,True,1.0000000000,3.9455720000,0.0290866400,0.0031254270,-0.0220731800,0.0293582900,0.0734109800,0.9968696000,-0.0294763800,0.0012016600,-0.0251989800,0.0521701700,0.0963446800,0.9939799000,0.0000000000,
361.8897000000,1571770,True,1.0000000000,3.4036710000,-0.0325407600,0.0010988310,-0.0253502500,0.0517583800,0.0965281500,0.9939836000,True,1.0000000000,3.9175110000,0.0290909400,0.0030909120,-0.0219227600,0.0337833700,0.0695504100,0.9970062000,-0.0261665700,0.0013048550,-0.0249957600,0.0499118200,0.0937353300,0.9943452000,0.0000000000,
361.8897000000,1571779,True,1.0000000000,3.4067840000,-0.0325421300,0.0010966340,-0.0253380300,0.0501713700,0.0954904000,0.9941652000,True,1.0000000000,3.8926390000,0.0290952500,0.0030563970,-0.0217723500,0.0364230300,0.0657659200,0.9971702000,-0.0207690100,0.0014709630,-0.0246569700,0.0475469100,0.0898142200,0.9948229000,0.0000000000,
361.9009000000,1571787,True,1.0000000000,3.4070130000,-0.0325477500,0.0010954440,-0.0253351800,0.0494693300,0.0924994100,0.9944831000,True,1.0000000000,3.8929600000,0.0290996600,0.0030462500,-0.0217326100,0.0364078600,0.0655066700,0.9971877000,-0.0151147800,0.0016470950,-0.0243164200,0.0457767800,0.0848701600,0.9953399000,0.0000000000,
361.9118000000,1571795,True,1.0000000000,3.4081420000,-0.0325533600,0.0010942540,-0.0253323100,0.0487677000,0.0894786700,0.9947941000,True,1.0000000000,3.8948970000,0.0291040700,0.0030361180,-0.0216928600,0.0363927600,0.0652170300,0.9972072000,-0.0161147000,0.0016119690,-0.0243619800,0.0454717500,0.0830088300,0.9955108000,0.0000000000,
361.9231000000,1571804,True,1.0000000000,3.4571380000,-0.0325537100,0.0010925450,-0.0253227400,0.0480044000,0.0825809900,0.9954275000,True,1.0000000000,3.9048160000,0.0291073600,0.0030304260,-0.0216688400,0.0372467500,0.0656433900,0.9971477000,-0.0182349600,0.0015425570,-0.0244742400,0.0455023500,0.0786449100,0.9958637000,0.0000000000,
361.9231000000,1571812,True,1.0000000000,3.5003660000,-0.0325537100,0.0010803220,-0.0252842900,0.0478823200,0.0794681700,0.9956868000,True,1.0000000000,3.9138640000,0.0291106600,0.0030247350,-0.0216448200,0.0381166700,0.0653079800,0.9971369000,-0.0213575300,0.0014333650,-0.0246234900,0.0461121100,0.0768891200,0.9959728000,0.0000000000,
361.9344000000,1571820,True,1.0000000000,3.5013280000,-0.0325537100,0.0010615390,-0.0252767200,0.0460511600,0.0800020600,0.9957304000,True,1.0000000000,3.9181670000,0.0291164100,0.0030221250,-0.0216366100,0.0383150500,0.0651859300,0.9971373000,-0.0235265800,0.0013485260,-0.0247438800,0.0449224300,0.0778360500,0.9959536000,0.0000000000,
361.9453000000,1571828,True,1.0000000000,3.5059200000,-0.0325537100,0.0009888611,-0.0251704100,0.0458530600,0.0851905600,0.9953090000,True,1.0000000000,3.9224400000,0.0291221800,0.0030195160,-0.0216284000,0.0384982300,0.0650487300,0.9971392000,-0.0218403000,0.0013415990,-0.0245551500,0.0445713200,0.0816962900,0.9956601000,0.0000000000,
361.9561000000,1571837,True,1.0000000000,3.5082400000,-0.0325537100,0.0009725037,-0.0251636800,0.0454712200,0.0812988900,0.9956520000,True,1.0000000000,3.9238280000,0.0291237000,0.0030187990,-0.0216253500,0.0385138100,0.0644389200,0.9971781000,-0.0207202200,0.0013651120,-0.0244848200,0.0441443000,0.0780650600,0.9959704000,0.0000000000,
361.9561000000,1571845,True,1.0000000000,3.5093230000,-0.0325537100,0.0009683075,-0.0251522200,0.0454562400,0.0752110900,0.9961311000,True,1.0000000000,3.9256590000,0.0291252300,0.0030180820,-0.0216223000,0.0385441500,0.0637824800,0.9972192000,-0.0026409610,0.0019624020,-0.0234402900,0.0420993200,0.0696721600,0.9966812000,0.0000000000,
361.9677000000,1571853,True,1.0000000000,3.5330960000,-0.0325537600,0.0009309540,-0.0251128700,0.0455783800,0.0745092800,0.9961782000,True,1.0000000000,3.9249880000,0.0291277600,0.0030156400,-0.0216072600,0.0382389200,0.0610663000,0.9974010000,0.0105868200,0.0023889920,-0.0226610100,0.0404511700,0.0651094400,0.9970579000,0.0000000000,
361.9788000000,1571862,True,1.0000000000,3.5336460000,-0.0325540900,0.0009164887,-0.0250894200,0.0455936500,0.0751044100,0.9961328000,True,1.0000000000,3.9238590000,0.0291302800,0.0030131840,-0.0216223000,0.0378881000,0.0599678800,0.9974810000,0.0155045200,0.0025500340,-0.0223881700,0.0395971400,0.0633249100,0.9972071000,0.0000000000,
361.9898000000,1571870,True,1.0000000000,3.5414730000,-0.0325551300,0.0009145814,-0.0250843500,0.0458836200,0.0736854000,0.9962254000,True,1.0000000000,3.9243320000,0.0291333800,0.0030105440,-0.0216253500,0.0372167200,0.0603799000,0.9974814000,0.0165665900,0.0025835720,-0.0223299900,0.0389865400,0.0630803700,0.9972467000,0.0000000000,
361.9898000000,1571878,True,1.0000000000,3.5315250000,-0.0325555900,0.0009129486,-0.0250812200,0.0459295700,0.0693521300,0.9965343000,True,1.0000000000,3.9243770000,0.0291364800,0.0030078890,-0.0216223000,0.0365606400,0.0605020700,0.9974983000,0.0142274200,0.0025016020,-0.0224582100,0.0388188400,0.0626381100,0.9972811000,0.0000000000,
362.0008000000,1571887,True,1.0000000000,3.5314330000,-0.0325551300,0.0009121399,-0.0250807300,0.0458225300,0.0692754800,0.9965447000,True,1.0000000000,3.9254300000,0.0291749400,0.0029558720,-0.0215156100,0.0421754400,0.0495149500,0.9978825000,0.0089069210,0.0022848510,-0.0226861600,0.0433657100,0.0560153200,0.9974877000,0.0000000000,
362.0117000000,1571895,True,1.0000000000,3.5350190000,-0.0325540900,0.0009121399,-0.0250807300,0.0456087100,0.0688174300,0.9965862000,True,1.0000000000,3.8519740000,0.0292159900,0.0030859530,-0.0219798000,0.0325929700,0.0461275900,0.9984037000,-0.0075508430,0.0017920530,-0.0238255500,0.0403447700,0.0596473900,0.9974039000,0.0000000000,
362.0228000000,1571903,True,1.0000000000,3.5345760000,-0.0325531200,0.0009121399,-0.0250807300,0.0453953300,0.0679938000,0.9966524000,True,1.0000000000,3.8385160000,0.0292181100,0.0030845340,-0.0219907400,0.0328830400,0.0423588600,0.9985612000,-0.0265176600,0.0011243900,-0.0247788200,0.0441743200,0.0654909200,0.9968749000,0.0000000000,
362.0228000000,1571912,True,1.0000000000,3.5335080000,-0.0325518700,0.0009121399,-0.0250807300,0.0451053400,0.0654759900,0.9968342000,True,1.0000000000,3.8282620000,0.0292199300,0.0030831000,-0.0219798000,0.0331883200,0.0420537900,0.9985640000,-0.0307595100,0.0009751282,-0.0249907500,0.0447695600,0.0648044600,0.9968932000,0.0000000000,
