unity_timestamp,eye_timestamp,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,messages,
361.8211000000,1571687,0.6349819000,1.1304900000,-0.2603876000,-0.0195602900,-0.1372255000,0.0379106800,0.9896208000,0.6349819000,1.1304900000,-0.2603876000,-0.0195602900,-0.1372255000,0.0379106800,0.9896208000,0.6349819000,1.1304900000,-0.2603876000,-0.0195602900,-0.1372255000,0.0379106800,0.9896208000,,
361.8211000000,1571695,0.6348889000,1.1309630000,-0.2605412000,-0.0220248000,-0.1375876000,0.0372891000,0.9895424000,0.6348889000,1.1309630000,-0.2605412000,-0.0220248000,-0.1375876000,0.0372891000,0.9895424000,0.6348889000,1.1309630000,-0.2605412000,-0.0220248000,-0.1375876000,0.0372891000,0.9895424000,,
361.8412000000,1571712,0.6348944000,1.1312970000,-0.2607010000,-0.0238201000,-0.1378257000,0.0363870200,0.9895012000,0.6348944000,1.1312970000,-0.2607010000,-0.0238201000,-0.1378257000,0.0363870200,0.9895012000,0.6348944000,1.1312970000,-0.2607010000,-0.0238201000,-0.1378257000,0.0363870200,0.9895012000,,
361.8456000000,1571720,0.6348515000,1.1314470000,-0.2607865000,-0.0247198200,-0.1379572000,0.0360208900,0.9894742000,0.6348515000,1.1314470000,-0.2607865000,-0.0247198200,-0.1379572000,0.0360208900,0.9894742000,0.6348515000,1.1314470000,-0.2607865000,-0.0247198200,-0.1379572000,0.0360208900,0.9894742000,,
361.8564000000,1571729,0.6348763000,1.1316340000,-0.2609135000,-0.0256388500,-0.1381476000,0.0354148900,0.9894462000,0.6348763000,1.1316340000,-0.2609135000,-0.0256388500,-0.1381476000,0.0354148900,0.9894462000,0.6348763000,1.1316340000,-0.2609135000,-0.0256388500,-0.1381476000,0.0354148900,0.9894462000,,
361.8675000000,1571745,0.6348817000,1.1317980000,-0.2610893000,-0.0265430900,-0.1382818000,0.0347778200,0.9894261000,0.6348817000,1.1317980000,-0.2610893000,-0.0265430900,-0.1382818000,0.0347778200,0.9894261000,0.6348817000,1.1317980000,-0.2610893000,-0.0265430900,-0.1382818000,0.0347778200,0.9894261000,,
361.8786000000,1571754,0.6348879000,1.1319710000,-0.2612369000,-0.0273011100,-0.1383664000,0.0344330200,0.9894058000,0.6348879000,1.1319710000,-0.2612369000,-0.0273011100,-0.1383664000,0.0344330200,0.9894058000,0.6348879000,1.1319710000,-0.2612369000,-0.0273011100,-0.1383664000,0.0344330200,0.9894058000,,
361.8897000000,1571762,0.6349158000,1.1321450000,-0.2613605000,-0.0281959600,-0.1386026000,0.0341377100,0.9893579000,0.6349158000,1.1321450000,-0.2613605000,-0.0281959600,-0.1386026000,0.0341377100,0.9893579000,0.6349158000,1.1321450000,-0.2613605000,-0.0281959600,-0.1386026000,0.0341377100,0.9893579000,,
361.9009000000,1571779,0.6349380000,1.1322710000,-0.2615040000,-0.0289457900,-0.1388260000,0.0338876100,0.9893135000,0.6349380000,1.1322710000,-0.2615040000,-0.0289457900,-0.1388260000,0.0338876100,0.9893135000,0.6349380000,1.1322710000,-0.2615040000,-0.0289457900,-0.1388260000,0.0338876100,0.9893135000,,
361.9118000000,1571787,0.6349382000,1.1323890000,-0.2616457000,-0.0296311000,-0.1390821000,0.0337940800,0.9892604000,0.6349382000,1.1323890000,-0.2616457000,-0.0296311000,-0.1390821000,0.0337940800,0.9892604000,0.6349382000,1.1323890000,-0.2616457000,-0.0296311000,-0.1390821000,0.0337940800,0.9892604000,,
