unity_timestamp,eye_timestamp,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,messages,
51.5726600000,2433944,-0.6146114000,1.3551800000,-0.7375035000,-0.0127326300,0.1791278000,-0.0598981500,0.9819182000,-0.6146114000,1.3551800000,-0.7375035000,-0.0127326300,0.1791278000,-0.0598981500,0.9819182000,-0.6146114000,1.3551800000,-0.7375035000,-0.0127326300,0.1791278000,-0.0598981500,0.9819182000,,
51.5799400000,2433944,-0.6140680000,1.3549920000,-0.7377200000,-0.0112178400,0.1825364000,-0.0597277400,0.9813191000,-0.6140680000,1.3549920000,-0.7377200000,-0.0112178400,0.1825364000,-0.0597277400,0.9813191000,-0.6140680000,1.3549920000,-0.7377200000,-0.0112178400,0.1825364000,-0.0597277400,0.9813191000,,
51.5904000000,2433944,-0.6134927000,1.3544730000,-0.7378285000,-0.0092762030,0.1862816000,-0.0604073400,0.9805937000,-0.6134927000,1.3544730000,-0.7378285000,-0.0092762030,0.1862816000,-0.0604073400,0.9805937000,-0.6134927000,1.3544730000,-0.7378285000,-0.0092762030,0.1862816000,-0.0604073400,0.9805937000,,
51.6017600000,2433953,-0.6137867000,1.3545220000,-0.7376640000,-0.0104197700,0.1838365000,-0.0601205600,0.9810612000,-0.6137867000,1.3545220000,-0.7376640000,-0.0104197700,0.1838365000,-0.0601205600,0.9810612000,-0.6137867000,1.3545220000,-0.7376640000,-0.0104197700,0.1838365000,-0.0601205600,0.9810612000,,
51.6201300000,2433986,-0.6136599000,1.3542490000,-0.7377751000,-0.0094708110,0.1843299000,-0.0587324400,0.9810624000,-0.6136599000,1.3542490000,-0.7377751000,-0.0094708110,0.1843299000,-0.0587324400,0.9810624000,-0.6136599000,1.3542490000,-0.7377751000,-0.0094708110,0.1843299000,-0.0587324400,0.9810624000,,
51.6260600000,2433986,-0.6135161000,1.3540860000,-0.7378800000,-0.0087430070,0.1852420000,-0.0578294900,0.9809510000,-0.6135161000,1.3540860000,-0.7378800000,-0.0087430070,0.1852420000,-0.0578294900,0.9809510000,-0.6135161000,1.3540860000,-0.7378800000,-0.0087430070,0.1852420000,-0.0578294900,0.9809510000,,
51.6575000000,2433986,-0.6133223000,1.3539900000,-0.7380569000,-0.0073441670,0.1876445000,-0.0562360600,0.9805983000,-0.6133223000,1.3539900000,-0.7380569000,-0.0073441670,0.1876445000,-0.0562360600,0.9805983000,-0.6133223000,1.3539900000,-0.7380569000,-0.0073441670,0.1876445000,-0.0562360600,0.9805983000,,
51.6684300000,2434061,-0.6128163000,1.3532800000,-0.7386332000,-0.0034292670,0.1935828000,-0.0533146500,0.9796283000,-0.6128163000,1.3532800000,-0.7386332000,-0.0034292670,0.1935828000,-0.0533146500,0.9796283000,-0.6128163000,1.3532800000,-0.7386332000,-0.0034292670,0.1935828000,-0.0533146500,0.9796283000,,
51.6874200000,2434061,-0.6132095000,1.3534490000,-0.7384148000,-0.0048691700,0.1910056000,-0.0552216600,0.9800223000,-0.6132095000,1.3534490000,-0.7384148000,-0.0048691700,0.1910056000,-0.0552216600,0.9800223000,-0.6132095000,1.3534490000,-0.7384148000,-0.0048691700,0.1910056000,-0.0552216600,0.9800223000,,
51.6934100000,2434061,-0.6133113000,1.3533580000,-0.7384710000,-0.0043472610,0.1908129000,-0.0553987000,0.9800524000,-0.6133113000,1.3533580000,-0.7384710000,-0.0043472610,0.1908129000,-0.0553987000,0.9800524000,-0.6133113000,1.3533580000,-0.7384710000,-0.0043472610,0.1908129000,-0.0553987000,0.9800524000,,
