unity_timestamp,eye_timestamp,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,messages,
6.4602420000,2388729,-0.6765044000,1.3663230000,-0.7259715000,-0.0043581830,0.0802698300,-0.0183048600,0.9965956000,-0.6765044000,1.3663230000,-0.7259715000,-0.0043581830,0.0802698300,-0.0183048600,0.9965956000,-0.6765044000,1.3663230000,-0.7259715000,-0.0043581830,0.0802698300,-0.0183048600,0.9965956000,,
6.4602420000,2388729,-0.6763065000,1.3660500000,-0.7256734000,-0.0030023750,0.0802256200,-0.0185040400,0.9966004000,-0.6763065000,1.3660500000,-0.7256734000,-0.0030023750,0.0802256200,-0.0185040400,0.9966004000,-0.6763065000,1.3660500000,-0.7256734000,-0.0030023750,0.0802256200,-0.0185040400,0.9966004000,,
6.4802420000,2388896,-0.6758099000,1.3647790000,-0.7246459000,0.0021855250,0.0774690200,-0.0193094900,0.9968054000,-0.6758099000,1.3647790000,-0.7246459000,0.0021855250,0.0774690200,-0.0193094900,0.9968054000,-0.6758099000,1.3647790000,-0.7246459000,0.0021855250,0.0774690200,-0.0193094900,0.9968054000,,
6.5312520000,2388896,-0.6757183000,1.3639260000,-0.7241476000,0.0059954890,0.0745024700,-0.0197373800,0.9970075000,-0.6757183000,1.3639260000,-0.7241476000,0.0059954890,0.0745024700,-0.0197373800,0.9970075000,-0.6757183000,1.3639260000,-0.7241476000,0.0059954890,0.0745024700,-0.0197373800,0.9970075000,,
6.5421850000,2388896,-0.6755002000,1.3634970000,-0.7240794000,0.0075988740,0.0743560600,-0.0196989300,0.9970083000,-0.6755002000,1.3634970000,-0.7240794000,0.0075988740,0.0743560600,-0.0196989300,0.9970083000,-0.6755002000,1.3634970000,-0.7240794000,0.0075988740,0.0743560600,-0.0196989300,0.9970083000,,
6.5485440000,2388896,-0.6755509000,1.3636140000,-0.7241116000,0.0071271180,0.0744026500,-0.0196982200,0.9970083000,-0.6755509000,1.3636140000,-0.7241116000,0.0071271180,0.0744026500,-0.0196982200,0.9970083000,-0.6755509000,1.3636140000,-0.7241116000,0.0071271180,0.0744026500,-0.0196982200,0.9970083000,,
6.5747540000,2388896,-0.6754897000,1.3635310000,-0.7241235000,0.0072550830,0.0746276600,-0.0197829700,0.9969888000,-0.6754897000,1.3635310000,-0.7241235000,0.0072550830,0.0746276600,-0.0197829700,0.9969888000,-0.6754897000,1.3635310000,-0.7241235000,0.0072550830,0.0746276600,-0.0197829700,0.9969888000,,
6.5807690000,2388896,-0.6754189000,1.3634250000,-0.7241311000,0.0074104630,0.0747648300,-0.0198756200,0.9969756000,-0.6754189000,1.3634250000,-0.7241311000,0.0074104630,0.0747648300,-0.0198756200,0.9969756000,-0.6754189000,1.3634250000,-0.7241311000,0.0074104630,0.0747648300,-0.0198756200,0.9969756000,,
6.5876980000,2388896,-0.6752846000,1.3633150000,-0.7241473000,0.0077845630,0.0752385300,-0.0202105400,0.9969304000,-0.6752846000,1.3633150000,-0.7241473000,0.0077845630,0.0752385300,-0.0202105400,0.9969304000,-0.6752846000,1.3633150000,-0.7241473000,0.0077845630,0.0752385300,-0.0202105400,0.9969304000,,
6.5985020000,2388896,-0.6752710000,1.3632190000,-0.7241657000,0.0075556030,0.0753081300,-0.0203384900,0.9969242000,-0.6752710000,1.3632190000,-0.7241657000,0.0075556030,0.0753081300,-0.0203384900,0.9969242000,-0.6752710000,1.3632190000,-0.7241657000,0.0075556030,0.0753081300,-0.0203384900,0.9969242000,,
6.6098910000,2388896,-0.6752338000,1.3631620000,-0.7241874000,0.0076856820,0.0755506600,-0.0205788200,0.9969000000,-0.6752338000,1.3631620000,-0.7241874000,0.0076856820,0.0755506600,-0.0205788200,0.9969000000,-0.6752338000,1.3631620000,-0.7241874000,0.0076856820,0.0755506600,-0.0205788200,0.9969000000,,
6.6207900000,2388929,-0.6752002000,1.3630890000,-0.7241664000,0.0078801290,0.0756712400,-0.0208275200,0.9968842000,-0.6752002000,1.3630890000,-0.7241664000,0.0078801290,0.0756712400,-0.0208275200,0.9968842000,-0.6752002000,1.3630890000,-0.7241664000,0.0078801290,0.0756712400,-0.0208275200,0.9968842000,,
6.6540820000,2388929,-0.6751823000,1.3631000000,-0.7242301000,0.0079932020,0.0756750600,-0.0209538500,0.9968803000,-0.6751823000,1.3631000000,-0.7242301000,0.0079932020,0.0756750600,-0.0209538500,0.9968803000,-0.6751823000,1.3631000000,-0.7242301000,0.0079932020,0.0756750600,-0.0209538500,0.9968803000,,
6.6696960000,2388929,-0.6751637000,1.3631140000,-0.7242563000,0.0079654960,0.0758514900,-0.0211579100,0.9968628000,-0.6751637000,1.3631140000,-0.7242563000,0.0079654960,0.0758514900,-0.0211579100,0.9968628000,-0.6751637000,1.3631140000,-0.7242563000,0.0079654960,0.0758514900,-0.0211579100,0.9968628000,,
