unity_timestamp,eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,messages,
52.7151300000,955199,True,1.0000000000,4.0038150000,-0.0327156100,-0.0044697420,-0.0284255100,0.0016632140,0.1589971000,0.9872776000,True,1.0000000000,4.0395810000,0.0308778800,-0.0040423280,-0.0279582100,0.0287325500,0.1550002000,0.9874965000,-0.0316892400,-0.0044628450,-0.0284179700,0.0020904800,0.1589375000,0.9872864000,0.0000000000,StartSwimBlock_baseline_round0,
52.7151300000,955208,True,1.0000000000,3.9923250000,-0.0326157000,-0.0044166110,-0.0281297800,0.0031891000,0.1789100000,0.9838603000,True,1.0000000000,4.1975710000,0.0310189500,-0.0048500220,-0.0256798900,0.0264591100,0.1856868000,0.9822527000,-0.0326157000,-0.0044166110,-0.0281297800,0.0031891000,0.1789100000,0.9838603000,0.0000000000,,
52.7362700000,955233,True,1.0000000000,4.0184940000,-0.0321176000,-0.0036696170,-0.0285933100,0.0018310670,0.1741498000,0.9847175000,True,1.0000000000,4.1274110000,0.0315769200,-0.0043545990,-0.0265657700,0.0279697800,0.1647058000,0.9859461000,-0.0321176000,-0.0036696170,-0.0285933100,0.0018310670,0.1741498000,0.9847175000,0.0000000000,,
52.7362700000,955241,True,1.0000000000,3.9923400000,-0.0318981200,-0.0033530270,-0.0287491300,0.0018005550,0.1566636000,0.9876504000,True,1.0000000000,4.1698000000,0.0318073900,-0.0043415380,-0.0264842200,0.0279542400,0.1734780000,0.9844409000,-0.0318981200,-0.0033530270,-0.0287491300,0.0018005550,0.1566636000,0.9876504000,0.0000000000,,
52.7476700000,955249,True,1.0000000000,3.9775850000,-0.0317062500,-0.0034102940,-0.0280472100,0.0104524100,0.1746698000,0.9845716000,True,1.0000000000,4.1470640000,0.0320602000,-0.0042214820,-0.0267713200,0.0313267100,0.1642936000,0.9859139000,-0.0317062500,-0.0034102940,-0.0280472100,0.0104524100,0.1746698000,0.9845716000,0.0000000000,,
52.7584900000,955257,True,1.0000000000,4.0204320000,-0.0314796800,-0.0030838170,-0.0281776900,0.0132904900,0.1821759000,0.9831761000,True,1.0000000000,4.2007140000,0.0323706700,-0.0042690740,-0.0267629600,0.0233767200,0.1722126000,0.9847824000,-0.0314796800,-0.0030838170,-0.0281776900,0.0132904900,0.1821759000,0.9831761000,0.0000000000,,
52.7584900000,955266,True,1.0000000000,4.0582280000,-0.0311929000,-0.0025929110,-0.0286954200,0.0070343960,0.1615165000,0.9868450000,True,1.0000000000,4.1945040000,0.0327153700,-0.0040337530,-0.0272978500,0.0209961900,0.1729897000,0.9846998000,-0.0311929000,-0.0025929110,-0.0286954200,0.0070343960,0.1615165000,0.9868450000,0.0000000000,,
52.7696000000,955274,True,1.0000000000,3.9849240000,-0.0309340400,-0.0020360110,-0.0292295400,0.0085449750,0.1681529000,0.9857239000,True,1.0000000000,4.0573120000,0.0330601100,-0.0036324770,-0.0283701500,0.0321659800,0.1645836000,0.9858385000,-0.0309340400,-0.0020360110,-0.0292295400,0.0085449750,0.1681529000,0.9857239000,0.0000000000,,
52.7895100000,955282,True,1.0000000000,3.9523470000,-0.0306265400,-0.0014240110,-0.0299521500,0.0065460460,0.1481634000,0.9889412000,True,1.0000000000,4.1484680000,0.0334216600,-0.0034520880,-0.0284728900,0.0301057100,0.1690833000,0.9851419000,-0.0306265300,-0.0014240110,-0.0299521500,0.0065460460,0.1481634000,0.9889412000,0.0000000000,,
52.8130800000,955299,True,1.0000000000,-1.0000000000,-0.0299984500,-0.0002105408,-0.0310516200,0.0000000000,0.0000000000,0.0000000000,True,1.0000000000,-1.0000000000,0.0341678600,-0.0031446840,-0.0284515900,0.0000000000,0.0000000000,0.0000000000,0.0010000000,-0.0010000000,-0.0010000000,0.5773503000,-0.5773503000,-0.5773503000,0.0000000000,,
52.8268600000,955316,True,0.7095071000,-1.0000000000,-0.0301984600,-0.0020452730,-0.0318016400,0.0000000000,0.0000000000,0.0000000000,True,0.6029592000,-1.0000000000,0.0337984500,-0.0045620730,-0.0284576600,0.0000000000,0.0000000000,0.0000000000,0.0010000000,-0.0010000000,-0.0010000000,0.5773503000,-0.5773503000,-0.5773503000,0.0000000000,,
52.8359100000,955341,True,0.4334183000,-1.0000000000,-0.0295435300,-0.0007209625,-0.0335095100,0.0000000000,0.0000000000,0.0000000000,True,0.4057787000,-1.0000000000,0.0346591400,-0.0040431520,-0.0290932900,0.0000000000,0.0000000000,0.0000000000,0.0010000000,-0.0010000000,-0.0010000000,0.5773503000,-0.5773503000,-0.5773503000,0.0000000000,,
52.8359100000,955349,True,0.1887071000,-1.0000000000,-0.0292158700,0.0040335090,-0.0438993900,0.0000000000,0.0000000000,0.0000000000,True,0.2795223000,-1.0000000000,0.0356555800,-0.0025576330,-0.0287959800,0.0000000000,0.0000000000,0.0000000000,0.0010000000,-0.0010000000,-0.0010000000,0.5773503000,-0.5773503000,-0.5773503000,0.0000000000,,
52.8472100000,955357,True,0.3135681000,-1.0000000000,-0.0283874700,0.0021849670,-0.0330710400,0.0000000000,0.0000000000,0.0000000000,True,0.4411986000,-1.0000000000,0.0356968700,-0.0026372680,-0.0288421000,0.0000000000,0.0000000000,0.0000000000,0.0010000000,-0.0010000000,-0.0010000000,0.5773503000,-0.5773503000,-0.5773503000,0.0000000000,,
52.8584900000,955366,True,0.3135681000,-1.0000000000,-0.0287725400,0.0024627530,-0.0383537300,0.0000000000,0.0000000000,0.0000000000,True,0.4411986000,-1.0000000000,0.0357189800,-0.0025896760,-0.0288910400,0.0000000000,0.0000000000,0.0000000000,0.0010000000,-0.0010000000,-0.0010000000,0.5773503000,-0.5773503000,-0.5773503000,0.0000000000,,
