unity_timestamp,eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,messages,
7.6575020000,910075,True,1.0000000000,4.3657990000,-0.0279544200,-0.0014857330,-0.0259036100,0.0342865600,0.0597993000,0.9976214000,True,1.0000000000,4.8181150000,0.0353734300,-0.0078956610,-0.0262134900,0.0655063800,0.0747685300,0.9950470000,-0.0279544200,-0.0014857330,-0.0259036100,0.0342865600,0.0597993000,0.9976214000,0.0000000000,,
7.6575020000,910100,True,1.0000000000,4.3984680000,-0.0279866300,-0.0015061190,-0.0258152900,0.0390932600,0.0613407000,0.9973511000,True,1.0000000000,4.8462370000,0.0353827400,-0.0080421300,-0.0258176700,0.0697482500,0.0817874800,0.9942062000,-0.0279866300,-0.0015061190,-0.0258152900,0.0390932600,0.0613407000,0.9973511000,0.0000000000,,
7.6575020000,910125,True,1.0000000000,4.3470610000,-0.0280271300,-0.0014468230,-0.0259884800,0.0331120600,0.0602425900,0.9976344000,True,1.0000000000,4.8925320000,0.0353590100,-0.0080477910,-0.0259755900,0.0753945600,0.0847940900,0.9935420000,-0.0280271300,-0.0014468230,-0.0259884800,0.0331120600,0.0602425900,0.9976344000,0.0000000000,,
7.6825390000,910142,True,1.0000000000,4.3070680000,-0.0280448300,-0.0015074620,-0.0259005600,0.0375218100,0.0552222100,0.9977688000,True,1.0000000000,4.8841400000,0.0353661800,-0.0078936310,-0.0263299600,0.0679789800,0.0744640700,0.9949040000,-0.0280448300,-0.0015074620,-0.0259005600,0.0375218100,0.0552222100,0.9977688000,0.0000000000,,
7.6825390000,910175,True,1.0000000000,4.3535310000,-0.0280504200,-0.0016346590,-0.0256985900,0.0414278800,0.0595249300,0.9973668000,True,1.0000000000,4.7928310000,0.0353822000,-0.0077911840,-0.0271031400,0.0534978800,0.0934916000,0.9941818000,-0.0280504200,-0.0016346590,-0.0256985900,0.0414278800,0.0595249300,0.9973668000,0.0000000000,,
7.7141580000,910192,True,1.0000000000,4.4250180000,-0.0280456400,-0.0016871340,-0.0256050300,0.0386051200,0.0564275600,0.9976601000,True,1.0000000000,4.7244260000,0.0353766900,-0.0077821970,-0.0271380200,0.0535739700,0.0893408100,0.9945592000,-0.0280456400,-0.0016871340,-0.0256050300,0.0386051200,0.0564275600,0.9976601000,0.0000000000,,
7.7141580000,910200,True,1.0000000000,4.3432620000,-0.0280477300,-0.0016856840,-0.0256344000,0.0424505500,0.0562904700,0.9975116000,True,1.0000000000,4.7582090000,0.0353764700,-0.0077825320,-0.0271532500,0.0618140500,0.0941935600,0.9936330000,-0.0280474100,-0.0016857150,-0.0256344200,0.0424505500,0.0562904700,0.9975116000,0.0000000000,,
7.7331700000,910234,True,1.0000000000,4.3914340000,-0.0280598000,-0.0016395570,-0.0258704400,0.0340119000,0.0514832500,0.9980945000,True,1.0000000000,4.8261870000,0.0353809200,-0.0079363410,-0.0264868300,0.0495001200,0.0739907800,0.9960297000,-0.0280587200,-0.0016396640,-0.0258704500,0.0340119000,0.0514832500,0.9980945000,0.0000000000,,
7.7444050000,910242,True,1.0000000000,4.3072970000,-0.0280575700,-0.0016355130,-0.0259197200,0.0261383500,0.0539551700,0.9982012000,True,1.0000000000,4.7602540000,0.0353920800,-0.0079633030,-0.0264797500,0.0509949900,0.0743409900,0.9959282000,-0.0280539900,-0.0016358640,-0.0259197600,0.0261383500,0.0539551700,0.9982012000,0.0000000000,,
7.7553630000,910259,True,1.0000000000,4.3858340000,-0.0280463000,-0.0017223360,-0.0257437500,0.0328067400,0.0518041300,0.9981183000,True,1.0000000000,4.7927860000,0.0354224100,-0.0070412450,-0.0290386200,0.0318757600,0.0530703100,0.9980819000,-0.0280463000,-0.0017223360,-0.0257437500,0.0328067400,0.0518041300,0.9981183000,0.0000000000,,
7.7666450000,910267,True,1.0000000000,4.2755130000,-0.0280343200,-0.0017904660,-0.0255971200,0.0291141200,0.0654152200,0.9974333000,True,1.0000000000,4.8069150000,0.0353122400,-0.0084428410,-0.0256828900,0.0897834500,0.0867011500,0.9921803000,-0.0280343200,-0.0017904660,-0.0255971200,0.0291141200,0.0654152200,0.9974333000,0.0000000000,,
7.7666450000,910275,True,1.0000000000,4.3364720000,-0.0280195800,-0.0018319700,-0.0255298600,0.0214845700,0.0627752200,0.9977964000,True,1.0000000000,5.0000460000,0.0353638900,-0.0089485930,-0.0246446500,0.0899053700,0.1138923000,0.9894168000,-0.0280195800,-0.0018319700,-0.0255298600,0.0214845700,0.0627752200,0.9977964000,0.0000000000,,
7.7785140000,910284,True,1.0000000000,4.3798830000,-0.0280040400,-0.0017995910,-0.0256716800,0.0193024000,0.0591279000,0.9980638000,True,1.0000000000,5.0889430000,0.0353960000,-0.0091794280,-0.0242071400,0.0936132700,0.1143501000,0.9890200000,-0.0280040400,-0.0017995910,-0.0256716800,0.0193024000,0.0591279000,0.9980638000,0.0000000000,,
7.7908350000,910292,True,1.0000000000,4.3335420000,-0.0279878500,-0.0017562100,-0.0258053200,0.0163117000,0.0532686200,0.9984470000,True,1.0000000000,5.2279360000,0.0354181800,-0.0092609110,-0.0240892500,0.0922100500,0.1244828000,0.9879278000,-0.0279878500,-0.0017562100,-0.0258053200,0.0163117000,0.0532686200,0.9984470000,0.0000000000,,
7.7999380000,910300,True,1.0000000000,4.3936160000,-0.0279741200,-0.0017407530,-0.0257947900,0.0198670900,0.0539859900,0.9983441000,True,1.0000000000,5.1421200000,0.0354322500,-0.0092523200,-0.0241040700,0.0841382700,0.1180133000,0.9894410000,-0.0279741200,-0.0017407530,-0.0257947900,0.0198670900,0.0539859900,0.9983441000,0.0000000000,,
7.7999380000,910309,True,1.0000000000,4.3074950000,-0.0279669200,-0.0017557070,-0.0256460400,0.0195162100,0.0616767100,0.9979054000,True,1.0000000000,4.9005890000,0.0355377700,-0.0074657600,-0.0285813300,0.0375676500,0.0557105900,0.9977399000,-0.0279669200,-0.0017557070,-0.0256460400,0.0195162100,0.0616767100,0.9979054000,0.0000000000,,
7.8113660000,910317,True,1.0000000000,4.3840030000,-0.0279682000,-0.0017256470,-0.0256114400,0.0230868100,0.0655067200,0.9975851000,True,1.0000000000,4.8008120000,0.0354811600,-0.0069137270,-0.0295587500,0.0207217200,0.0546729800,0.9982893000,-0.0279682000,-0.0017256470,-0.0256114400,0.0230868100,0.0655067200,0.9975851000,0.0000000000,,
7.8223680000,910325,True,1.0000000000,4.3881530000,-0.0279747900,-0.0017274780,-0.0255356200,0.0252994700,0.0573739500,0.9980321000,True,1.0000000000,4.8801420000,0.0354429900,-0.0068240360,-0.0294413900,0.0293732900,0.0328828200,0.9990275000,-0.0279747900,-0.0017274780,-0.0255356200,0.0252994700,0.0573739500,0.9980321000,0.0000000000,,
7.8337250000,910342,True,1.0000000000,4.3293000000,-0.0280278900,-0.0017043150,-0.0255736200,0.0183870000,0.0469669700,0.9987272000,True,1.0000000000,4.6496120000,0.0353970800,-0.0066790620,-0.0297097200,0.0195923700,0.0375062700,0.9991043000,-0.0280278900,-0.0017043150,-0.0255736200,0.0183870000,0.0469669700,0.9987272000,0.0000000000,,
7.8537400000,910350,True,1.0000000000,4.3874820000,-0.0280553300,-0.0016795500,-0.0256873600,0.0158387800,0.0481877300,0.9987127000,True,1.0000000000,4.7443240000,0.0353671300,-0.0074292450,-0.0277898700,0.0509039300,0.0597541300,0.9969143000,-0.0280553300,-0.0016795500,-0.0256873600,0.0158387800,0.0481877300,0.9987127000,0.0000000000,,
7.8777670000,910375,True,1.0000000000,4.2874300000,-0.0281008200,-0.0016782530,-0.0258022800,0.0098725800,0.0461585000,0.9988853000,True,1.0000000000,4.7766420000,0.0353671900,-0.0068796540,-0.0292948200,0.0083465770,0.0364533300,0.9993005000,-0.0281008200,-0.0016782530,-0.0258022800,0.0098725800,0.0461585000,0.9988853000,0.0000000000,,
7.8887750000,910384,True,1.0000000000,4.4006200000,-0.0280843800,-0.0015609740,-0.0258585400,0.0072022200,0.0688788600,0.9975991000,True,1.0000000000,4.7023770000,0.0353073300,-0.0073360140,-0.0278017300,0.0484622200,0.0603488800,0.9970002000,-0.0280843800,-0.0015609740,-0.0258585400,0.0072022200,0.0688788600,0.9975991000,0.0000000000,,
7.8887750000,910392,True,1.0000000000,4.3349150000,-0.0280342400,-0.0014491120,-0.0256613600,0.0063934610,0.1267248000,0.9919173000,True,1.0000000000,4.6783910000,0.0352495400,-0.0061722720,-0.0301661800,0.0249179100,0.0825663400,0.9962740000,-0.0280342400,-0.0014491120,-0.0256613600,0.0063934610,0.1267248000,0.9919173000,0.0000000000,,
7.8997430000,910409,True,1.0000000000,4.3900760000,-0.0279165700,-0.0009905854,-0.0259765300,0.0164491600,0.1847555000,0.9826469000,True,1.0000000000,4.5628050000,0.0351544100,-0.0057414860,-0.0304427400,0.0240174400,0.1505134000,0.9883162000,-0.0279165700,-0.0009905854,-0.0259765300,0.0164491600,0.1847555000,0.9826469000,0.0000000000,,
7.8997430000,910417,True,1.0000000000,4.3389130000,-0.0278659700,-0.0009516144,-0.0259670600,0.0178071300,0.1967482000,0.9802924000,True,1.0000000000,4.5432430000,0.0351727900,-0.0057221070,-0.0303411100,0.0351410500,0.1644138000,0.9857653000,-0.0278659700,-0.0009516144,-0.0259670600,0.0178071300,0.1967482000,0.9802924000,0.0000000000,,
7.9109830000,910425,True,1.0000000000,4.3324890000,-0.0278746400,-0.0010198370,-0.0258798400,0.0198824700,0.1993130000,0.9797341000,True,1.0000000000,4.5561830000,0.0352002300,-0.0056526490,-0.0306512300,0.0283968900,0.1632859000,0.9861701000,-0.0278746400,-0.0010198370,-0.0258798400,0.0198824700,0.1993130000,0.9797341000,0.0000000000,,
