unity_timestamp,eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,messages,
33.2500000000,3980408,True,1.0000000000,4.6091310000,-0.0322128200,-0.0031211400,-0.0268826100,-0.0433661400,0.0792553600,0.9959106000,True,1.0000000000,5.0086060000,0.0323127900,-0.0068360900,-0.0254760100,-0.0459902400,0.0863957300,0.9951988000,0.0128915000,-0.0057179420,-0.0258993700,-0.0451971000,0.0842448200,0.9954195000,0.0000000000,StopSwimBlock_baseline_round0,
33.2500000000,3980416,True,1.0000000000,4.6110530000,-0.0322125900,-0.0031235960,-0.0268604000,-0.0417481100,0.0808564400,0.9958510000,True,1.0000000000,5.0051420000,0.0323134800,-0.0068210150,-0.0254782000,-0.0447695000,0.0845646000,0.9954118000,0.0135936700,-0.0057483530,-0.0258791800,-0.0438848100,0.0834971100,0.9955412000,0.0000000000,,
33.2500000000,3980425,True,1.0000000000,4.6134030000,-0.0322105000,-0.0031238410,-0.0268600200,-0.0420843100,0.0812846700,0.9958020000,True,1.0000000000,5.0028230000,0.0323191400,-0.0068220980,-0.0254760100,-0.0444647400,0.0847942800,0.9954059000,0.0125817300,-0.0056909340,-0.0258993200,-0.0437323400,0.0837262200,0.9955287000,0.0000000000,,
33.2500000000,3980433,True,1.0000000000,4.6117860000,-0.0322084200,-0.0031240850,-0.0268596500,-0.0424504300,0.0816812200,0.9957541000,True,1.0000000000,5.0054630000,0.0323248000,-0.0068210150,-0.0254782000,-0.0441901000,0.0849316600,0.9954064000,0.0095409700,-0.0055157930,-0.0259659300,-0.0435791500,0.0837861100,0.9955304000,0.0000000000,,
33.2500000000,3980441,True,1.0000000000,4.6124270000,-0.0322080600,-0.0031256410,-0.0268554900,-0.0402226900,0.0831462300,0.9957253000,True,1.0000000000,5.0079040000,0.0323367200,-0.0068131870,-0.0254760100,-0.0444339700,0.0850532200,0.9953851000,0.0067124940,-0.0053492440,-0.0260236500,-0.0427554800,0.0843055100,0.9955222000,0.0000000000,,
33.2500000000,3980450,True,1.0000000000,4.6090550000,-0.0322068300,-0.0031302190,-0.0268494000,-0.0388642000,0.0841065700,0.9956986000,True,1.0000000000,5.0108490000,0.0323486300,-0.0068053740,-0.0254782000,-0.0446628700,0.0854652300,0.9953396000,0.0042939300,-0.0052082060,-0.0260741000,-0.0421448500,0.0848695300,0.9955004000,0.0000000000,,
33.2666700000,3980458,True,1.0000000000,4.6027980000,-0.0322067100,-0.0032075350,-0.0266725000,-0.0341492200,0.0915986500,0.9952103000,True,1.0000000000,5.0030060000,0.0323530300,-0.0067833870,-0.0254782000,-0.0405273900,0.0809174500,0.9958965000,0.0068015900,-0.0053681340,-0.0259508800,-0.0379946900,0.0851447200,0.9956439000,0.0000000000,,
33.2666700000,3980466,True,1.0000000000,4.6058350000,-0.0322066100,-0.0032200620,-0.0266487000,-0.0329289700,0.0954604600,0.9948884000,True,1.0000000000,5.0073850000,0.0323628300,-0.0067756660,-0.0254782000,-0.0412601700,0.0811928100,0.9958440000,0.0163809100,-0.0058956000,-0.0257679100,-0.0392002800,0.0847330400,0.9956323000,0.0000000000,,
33.2666700000,3980475,True,1.0000000000,4.6103970000,-0.0321845600,-0.0032413480,-0.0264540100,-0.0362397300,0.0897677200,0.9953032000,True,1.0000000000,5.0075070000,0.0323674800,-0.0067658240,-0.0254782000,-0.0378726400,0.0813605600,0.9959649000,0.0273435800,-0.0064915320,-0.0255541400,-0.0377504400,0.0820164100,0.9959158000,0.0000000000,,
33.2833400000,3980483,True,1.0000000000,4.6107480000,-0.0321845600,-0.0032416990,-0.0264518700,-0.0360871400,0.0898287500,0.9953032000,True,1.0000000000,5.0089110000,0.0323830000,-0.0067568360,-0.0254738200,-0.0394592700,0.0805054600,0.9959728000,0.0303078200,-0.0066438600,-0.0255052500,-0.0393528600,0.0808114500,0.9959522000,0.0000000000,,
33.3000000000,3980491,True,1.0000000000,4.6112670000,-0.0321845600,-0.0032444310,-0.0264484900,-0.0351110300,0.0902419000,0.9953008000,True,1.0000000000,5.0164790000,0.0323852400,-0.0067526400,-0.0254738200,-0.0397340500,0.0810855400,0.9959148000,0.0310616200,-0.0066807260,-0.0254938100,-0.0396426600,0.0812689700,0.9959035000,0.0000000000,,
33.3000000000,3980500,True,1.0000000000,4.6129760000,-0.0321845600,-0.0032447660,-0.0264285900,-0.0349123600,0.0912482200,0.9952160000,True,1.0000000000,5.0190430000,0.0323965600,-0.0067424630,-0.0254738200,-0.0415806700,0.0789193400,0.9960134000,0.0312817500,-0.0066820830,-0.0254903000,-0.0414587400,0.0791332400,0.9960015000,0.0000000000,,
33.3166700000,3980508,True,1.0000000000,4.6127930000,-0.0321845600,-0.0032451020,-0.0264182100,-0.0348969900,0.0906223100,0.9952738000,True,1.0000000000,5.0224150000,0.0323965600,-0.0067411500,-0.0254738200,-0.0405125400,0.0787057100,0.9960744000,0.0313440700,-0.0066841740,-0.0254892100,-0.0404211200,0.0789043400,0.9960623000,0.0000000000,,
33.3333400000,3980516,True,1.0000000000,4.6129000000,-0.0321845600,-0.0032461700,-0.0264069100,-0.0348818000,0.0901036800,0.9953214000,True,1.0000000000,5.0217740000,0.0323969000,-0.0067334600,-0.0255367600,-0.0400700000,0.0814064800,0.9958752000,0.0306247400,-0.0066377570,-0.0255606400,-0.0399326900,0.0816506900,0.9958607000,0.0000000000,,
33.3500000000,3980525,True,1.0000000000,4.6162720000,-0.0321845600,-0.0032468260,-0.0264039800,-0.0348513600,0.0900886400,0.9953238000,True,1.0000000000,5.0229950000,0.0323969000,-0.0067302400,-0.0255751200,-0.0395816700,0.0834968800,0.9957216000,0.0270533900,-0.0064420320,-0.0256436900,-0.0392002200,0.0840310000,0.9956918000,0.0000000000,,
33.3500000000,3980533,True,1.0000000000,4.6167300000,-0.0321845600,-0.0032505190,-0.0263985300,-0.0348515600,0.0905316500,0.9952836000,True,1.0000000000,5.0214230000,0.0323969000,-0.0067299810,-0.0255994100,-0.0394292300,0.0851451700,0.9955881000,0.0122338300,-0.0056436620,-0.0258489100,-0.0379949800,0.0868238600,0.9954989000,0.0000000000,,
33.3666700000,3980541,True,1.0000000000,4.6115420000,-0.0321862500,-0.0032505190,-0.0263974300,-0.0342103000,0.0903933300,0.9953184000,True,1.0000000000,5.0185700000,0.0323969000,-0.0067147990,-0.0255994100,-0.0388795800,0.0818637900,0.9958849000,-0.0015447540,-0.0048941500,-0.0260188200,-0.0364230500,0.0863502300,0.9955988000,0.0000000000,,
33.3666700000,3980550,True,1.0000000000,4.6115110000,-0.0321904200,-0.0032505190,-0.0263952700,-0.0336152400,0.0902713300,0.9953498000,True,1.0000000000,5.0193480000,0.0323977200,-0.0067147990,-0.0255994100,-0.0370026800,0.0807039900,0.9960511000,-0.0091778110,-0.0044848330,-0.0261117100,-0.0348207500,0.0868687700,0.9956111000,0.0000000000,,
33.3666700000,3980558,True,1.0000000000,4.6175990000,-0.0321909000,-0.0032552800,-0.0263911600,-0.0337678300,0.0910495500,0.9952737000,True,1.0000000000,5.0294800000,0.0323977200,-0.0066991430,-0.0255669100,-0.0357972600,0.0752108700,0.9965249000,-0.0086915600,-0.0045082550,-0.0260912600,-0.0345006900,0.0852827900,0.9957593000,0.0000000000,,
33.3833400000,3980566,True,1.0000000000,4.6350250000,-0.0321924500,-0.0032633520,-0.0263878500,-0.0341342100,0.0883186300,0.9955072000,True,1.0000000000,5.0275570000,0.0323973400,-0.0066873780,-0.0255866600,-0.0354314800,0.0733807000,0.9966744000,-0.0082580730,-0.0045321660,-0.0260909600,-0.0346224900,0.0827949000,0.9959650000,0.0000000000,,
33.4000000000,3980575,True,1.0000000000,4.6525570000,-0.0321940900,-0.0032663880,-0.0263869900,-0.0336613000,0.0891429400,0.9954498000,True,1.0000000000,5.0269780000,0.0323973400,-0.0066873780,-0.0255778200,-0.0354310700,0.0724948400,0.9967393000,-0.0064352420,-0.0046306760,-0.0260643000,-0.0343631800,0.0825051900,0.9959980000,0.0000000000,,
33.4000000000,3980583,True,1.0000000000,4.6672670000,-0.0321966700,-0.0032712560,-0.0263810700,-0.0351873100,0.0874799900,0.9955446000,True,1.0000000000,5.0279240000,0.0323967400,-0.0066873780,-0.0255778200,-0.0346532100,0.0725260700,0.9967643000,-0.0035625460,-0.0047856140,-0.0260250000,-0.0349580100,0.0808566100,0.9961125000,0.0000000000,,
33.4166700000,3980591,True,1.0000000000,4.6677860000,-0.0321984400,-0.0032718200,-0.0263778100,-0.0352175900,0.0873725800,0.9955530000,True,1.0000000000,5.0300140000,0.0323965600,-0.0066873780,-0.0255778200,-0.0342259000,0.0725412100,0.9967780000,-0.0008888703,-0.0049273680,-0.0259900500,-0.0347444100,0.0801852800,0.9961743000,0.0000000000,,
33.4166700000,3980600,True,1.0000000000,4.6805420000,-0.0322024700,-0.0032744140,-0.0263777200,-0.0344087100,0.0880893600,0.9955181000,True,1.0000000000,5.0277250000,0.0323965500,-0.0066873780,-0.0255778200,-0.0332950400,0.0723732200,0.9968217000,-0.0003248596,-0.0049586030,-0.0259829900,-0.0338595000,0.0803381000,0.9961925000,0.0000000000,,
33.4333300000,3980608,True,1.0000000000,4.6807400000,-0.0322050200,-0.0032744140,-0.0263777200,-0.0341191800,0.0880750900,0.9955294000,True,1.0000000000,5.0292210000,0.0323961200,-0.0066873780,-0.0255778200,-0.0326389900,0.0715799500,0.9969007000,-0.0003886719,-0.0049553070,-0.0259837700,-0.0333865000,0.0799567000,0.9962390000,0.0000000000,,
33.4333300000,3980616,True,1.0000000000,4.6809390000,-0.0322060200,-0.0032744140,-0.0263777200,-0.0340729800,0.0880587500,0.9955324000,True,1.0000000000,5.0292050000,0.0323957500,-0.0066873780,-0.0255778200,-0.0325622800,0.0715790400,0.9969033000,-0.0001193543,-0.0049695740,-0.0259804200,-0.0333252300,0.0798798400,0.9962473000,0.0000000000,,
33.4500000000,3980625,True,1.0000000000,4.6941680000,-0.0322078300,-0.0032744140,-0.0263777200,-0.0336152900,0.0882115200,0.9955344000,True,1.0000000000,5.0324100000,0.0323956000,-0.0066873780,-0.0255778200,-0.0324860000,0.0716095800,0.9969036000,0.0001695252,-0.0049848940,-0.0259768200,-0.0330508300,0.0798957300,0.9962551000,0.0000000000,,
33.4500000000,3980633,True,1.0000000000,4.6943210000,-0.0322081800,-0.0032744140,-0.0263777200,-0.0335391700,0.0881814700,0.9955396000,True,1.0000000000,5.0291900000,0.0323956000,-0.0066873780,-0.0255766900,-0.0324710000,0.0715033500,0.9969117000,0.0004198456,-0.0049981230,-0.0259731600,-0.0330049600,0.0797581800,0.9962677000,0.0000000000,,
33.4666700000,3980641,True,1.0000000000,4.7058870000,-0.0322107900,-0.0032744140,-0.0263810700,-0.0329137300,0.0900588000,0.9953924000,True,1.0000000000,5.0323490000,0.0323956000,-0.0066873780,-0.0255766900,-0.0321198500,0.0715334300,0.9969209000,0.0003183289,-0.0049928290,-0.0259760700,-0.0325166300,0.0807346200,0.9962051000,0.0000000000,,
33.4666700000,3980650,True,1.0000000000,4.7063450000,-0.0322120800,-0.0032744140,-0.0263810700,-0.0325779400,0.0908825400,0.9953286000,True,1.0000000000,5.0367130000,0.0323956000,-0.0066873780,-0.0255766900,-0.0316011900,0.0721288300,0.9968946000,0.0003642426,-0.0049952850,-0.0259755000,-0.0320895000,0.0814215800,0.9961630000,0.0000000000,,
33.4833300000,3980658,True,1.0000000000,4.7086180000,-0.0322138400,-0.0032718200,-0.0263878500,-0.0321963300,0.0908974100,0.9953396000,True,1.0000000000,5.0373540000,0.0323956000,-0.0066873780,-0.0255766900,-0.0315098200,0.0722971100,0.9968852000,0.0003690033,-0.0049943090,-0.0259787800,-0.0318453700,0.0815131600,0.9961634000,0.0000000000,,
33.4833300000,3980666,True,1.0000000000,4.6828160000,-0.0322229600,-0.0030760190,-0.0268886700,-0.0309449900,0.0809635800,0.9962366000,True,1.0000000000,5.0376430000,0.0323957800,-0.0066887060,-0.0255766900,-0.0298466000,0.0727854300,0.9969009000,0.0230182200,-0.0061644290,-0.0257670900,-0.0300144200,0.0739755500,0.9968083000,0.0000000000,,
33.5000000000,3980675,True,1.0000000000,4.6817470000,-0.0322229600,-0.0030727690,-0.0268886700,-0.0309451600,0.0805215000,0.9962724000,True,1.0000000000,5.0372920000,0.0323957800,-0.0066863710,-0.0255778200,-0.0298466200,0.0723582200,0.9969320000,0.0311577300,-0.0066171420,-0.0256029400,-0.0298767800,0.0725099400,0.9969201000,0.0000000000,,
33.5000000000,3980683,True,1.0000000000,4.6821900000,-0.0322229600,-0.0030727690,-0.0268886700,-0.0308384900,0.0810711900,0.9962311000,True,1.0000000000,5.0403750000,0.0323957800,-0.0066863710,-0.0255793900,-0.0296939400,0.0724647900,0.9969288000,0.0321448400,-0.0066723480,-0.0255844700,-0.0296938300,0.0725103300,0.9969255000,0.0000000000,,
33.5166700000,3980691,True,1.0000000000,4.6819460000,-0.0322229600,-0.0030727690,-0.0268886700,-0.0304569000,0.0810709100,0.9962429000,True,1.0000000000,5.0407710000,0.0323961200,-0.0066887060,-0.0255793900,-0.0282595300,0.0732733700,0.9969115000,0.0323004900,-0.0066833500,-0.0255813300,-0.0282595000,0.0732885400,0.9969103000,0.0000000000,,
33.5166700000,3980700,True,1.0000000000,4.6800230000,-0.0322229600,-0.0030727690,-0.0268886700,-0.0304414400,0.0813450300,0.9962210000,True,1.0000000000,5.0410610000,0.0323996300,-0.0066887060,-0.0256023600,-0.0283815900,0.0748755200,0.9967889000,0.0323274700,-0.0066846620,-0.0256038100,-0.0283815900,0.0748755200,0.9967889000,0.0000000000,,
33.5166700000,3980708,True,1.0000000000,4.6799320000,-0.0322229600,-0.0030727690,-0.0268886700,-0.0299226500,0.0813450700,0.9962367000,True,1.0000000000,5.0405880000,0.0324020900,-0.0066887060,-0.0256023600,-0.0270693100,0.0745550500,0.9968495000,0.0322973500,-0.0066828460,-0.0256044500,-0.0270692800,0.0745702200,0.9968483000,0.0000000000,,
33.5333400000,3980716,True,1.0000000000,4.6790310000,-0.0322229600,-0.0030727690,-0.0268886700,-0.0267334300,0.0813904700,0.9963237000,True,1.0000000000,5.0375520000,0.0324029500,-0.0066887060,-0.0256023600,-0.0272065300,0.0743563700,0.9968606000,0.0321143700,-0.0066725620,-0.0256081100,-0.0272064700,0.0743867200,0.9968583000,0.0000000000,,
33.5500000000,3980725,True,1.0000000000,4.6751250000,-0.0322229600,-0.0030727690,-0.0268886700,-0.0262604300,0.0813447800,0.9963400000,True,1.0000000000,5.0376280000,0.0324062800,-0.0066887060,-0.0256023600,-0.0275728500,0.0743719300,0.9968494000,0.0309559800,-0.0066075600,-0.0256312300,-0.0275424300,0.0745400300,0.9968376000,0.0000000000,,
