eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
268100,1,0.9478783000,3.0643770000,-0.0341148900,0.0045104220,-0.0377643600,0.0832217400,-0.2436074000,0.9662969000,1,0.9478783000,3.2338870000,0.0297629300,0.0042508090,-0.0335395400,0.0823676100,-0.2746299000,0.9580156000,-0.0025552980,0.0043821570,-0.0356770300,0.0828099700,-0.2589585000,0.9623321000,0.0000000000,
268150,1,0.9547590000,3.0976410000,-0.0343846000,0.0042325750,-0.0378231100,0.0339817300,-0.2916753000,0.9559136000,1,0.9547590000,3.1997220000,0.0292548800,0.0039703370,-0.0335755200,0.0307313400,-0.3174148000,0.9477887000,-0.0043813170,0.0041089330,-0.0358205600,0.0324557100,-0.3038355000,0.9521715000,0.0000000000,
268350,1,0.9547590000,3.2893220000,-0.0346228200,0.0042239230,-0.0378231400,0.0039215170,-0.3159186000,0.9487782000,1,0.9547590000,3.1041410000,0.0291955000,0.0039566500,-0.0335717000,0.0124513300,-0.3195384000,0.9474915000,-0.0013023990,0.0040843810,-0.0356034100,0.0083771750,-0.3178138000,0.9481161000,0.0000000000,
268408,1,0.8934731000,3.2958980000,-0.0338696900,0.0051063840,-0.0361876400,0.0896156000,-0.0627751700,0.9939961000,1,0.8934731000,3.3498230000,0.0295057200,0.0049046180,-0.0325457500,0.1054854000,-0.0607002500,0.9925665000,0.0274378100,0.0049111940,-0.0326645800,0.1049654000,-0.0607758900,0.9926170000,0.0000000000,
268441,1,0.8784662000,3.3210300000,-0.0338021400,0.0052188110,-0.0359057800,0.0914007000,0.0114136400,0.9957488000,1,0.8784662000,3.3362270000,0.0296378200,0.0050153660,-0.0321883000,0.1144261000,0.0100250600,0.9933812000,0.0294182200,0.0050160830,-0.0322011600,0.1143508000,0.0100251500,0.9933898000,0.0000000000,
268466,1,1.0000000000,3.2655790000,-0.0338740400,0.0051907650,-0.0360615700,0.0933538100,0.0102081900,0.9955807000,1,1.0000000000,3.2893680000,0.0297152100,0.0049462740,-0.0322186000,0.1176150000,-0.0001068117,0.9930593000,0.0296377600,0.0049465640,-0.0322232700,0.1175849000,-0.0000915533,0.9930628000,0.0000000000,
268475,1,1.0000000000,3.1654050000,-0.0339330900,0.0050376590,-0.0356155600,0.0958722800,0.0099030890,0.9953444000,1,1.0000000000,3.3141480000,0.0297229300,0.0050136110,-0.0324359600,0.1078197000,0.0062561670,0.9941508000,0.0297194200,0.0050136110,-0.0324361300,0.1078197000,0.0062561670,0.9941508000,0.0000000000,
268483,1,1.0000000000,3.2762760000,-0.0339688400,0.0050530700,-0.0356888100,0.1010136000,0.0087585800,0.9948465000,1,1.0000000000,3.3016360000,0.0297177600,0.0050307770,-0.0324975700,0.1183017000,0.0043640240,0.9929681000,0.0297171300,0.0050307770,-0.0324976200,0.1183017000,0.0043640240,0.9929681000,0.0000000000,
268491,1,1.0000000000,3.2434840000,-0.0340019100,0.0050336300,-0.0356363700,0.0995487600,0.0157624000,0.9949079000,1,1.0000000000,3.1998750000,0.0297045000,0.0050119790,-0.0324121300,0.1122602000,0.0006866531,0.9936786000,0.0297040300,0.0050119790,-0.0324121400,0.1122602000,0.0006866531,0.9936786000,0.0000000000,
268500,1,1.0000000000,3.3472440000,-0.0340362000,0.0049719700,-0.0353704500,0.0974887300,0.0069885490,0.9952121000,1,1.0000000000,3.2527920000,0.0296840800,0.0049670570,-0.0322271400,0.1148997000,0.0034485170,0.9933711000,0.0296830600,0.0049670570,-0.0322271900,0.1148997000,0.0034485170,0.9933711000,0.0000000000,
268508,1,1.0000000000,3.1996610000,-0.0340685400,0.0049860690,-0.0353733500,0.0941777200,0.0115509600,0.9954884000,1,1.0000000000,3.3229060000,0.0296637900,0.0049248360,-0.0320395800,0.1176762000,0.0035247940,0.9930458000,0.0296546900,0.0049248510,-0.0320400600,0.1176762000,0.0035247940,0.9930458000,0.0000000000,
268525,1,1.0000000000,3.2160950000,-0.0341216300,0.0049928130,-0.0354077300,0.0924234900,0.0073548160,0.9956926000,1,1.0000000000,3.3199160000,0.0296650000,0.0050218360,-0.0323370700,0.1100021000,-0.0034637920,0.9939253000,0.0296008200,0.0050218050,-0.0323401500,0.1099870000,-0.0034485390,0.9939270000,0.0000000000,
268533,1,1.0000000000,3.2092130000,-0.0341331000,0.0049753270,-0.0353726200,0.0939490300,0.0090027500,0.9955363000,1,1.0000000000,3.2316440000,0.0296709500,0.0050194850,-0.0323059900,0.1148685000,0.0000305177,0.9933807000,0.0279927100,0.0050183260,-0.0323866500,0.1143195000,0.0002594008,0.9934440000,0.0000000000,
268541,1,1.0000000000,3.2397460000,-0.0341380600,0.0049656980,-0.0353713700,0.0950022700,0.0051270090,0.9954638000,1,1.0000000000,3.2867890000,0.0296763600,0.0049987640,-0.0322076400,0.1117411000,0.0002899195,0.9937373000,0.0261126000,0.0049969180,-0.0323843200,0.1108100000,0.0005645786,0.9938414000,0.0000000000,
268550,1,1.0000000000,3.2295840000,-0.0341421800,0.0049628300,-0.0353707600,0.0933079400,0.0048523180,0.9956255000,1,1.0000000000,3.2870640000,0.0296577200,0.0048980870,-0.0319457700,0.1168223000,0.0090332820,0.9931117000,0.0168489700,0.0049110870,-0.0326333900,0.1121074000,0.0081940520,0.9936623000,0.0000000000,
268558,1,1.0000000000,3.2395480000,-0.0341462900,0.0049599760,-0.0353701500,0.0917976600,0.0046844890,0.9957666000,1,1.0000000000,3.2867280000,0.0296561300,0.0048878480,-0.0318610700,0.1161968000,0.0036468860,0.9932195000,-0.0249127100,0.0049495390,-0.0348623100,0.0953380900,0.0045319160,0.9954346000,0.0000000000,
268566,1,1.0000000000,3.3134310000,-0.0341727800,0.0049432070,-0.0352784300,0.0962988400,-0.0001220711,0.9953524000,1,1.0000000000,3.2681120000,0.0296564800,0.0049221040,-0.0319426400,0.1165624000,-0.0004730244,0.9931833000,-0.0302835400,0.0049419250,-0.0350751700,0.0975349700,-0.0001525891,0.9952320000,0.0000000000,
268575,1,1.0000000000,3.2991940000,-0.0341930700,0.0049402470,-0.0351988200,0.0942548600,0.0031433550,0.9955431000,1,1.0000000000,3.2313690000,0.0296469400,0.0049374550,-0.0319583800,0.1169907000,0.0017395250,0.9931315000,-0.0320684100,0.0049401550,-0.0350909800,0.0950167400,0.0030975430,0.9954709000,0.0000000000,
268583,1,1.0000000000,3.2698520000,-0.0342096300,0.0049629060,-0.0352144700,0.0924534100,-0.0007476840,0.9957168000,1,1.0000000000,3.2206120000,0.0296288800,0.0049243780,-0.0318917400,0.1152200000,0.0007171687,0.9933397000,-0.0305622400,0.0049607090,-0.0350246300,0.0937505000,-0.0006713903,0.9955955000,0.0000000000,
268591,1,1.0000000000,3.2333220000,-0.0342317500,0.0049882510,-0.0352723900,0.0909588800,0.0036774180,0.9958479000,1,1.0000000000,3.3215330000,0.0296144100,0.0049227450,-0.0319022800,0.1146090000,0.0013275170,0.9934098000,-0.0286264800,0.0049824980,-0.0349765200,0.0930333700,0.0034790240,0.9956570000,0.0000000000,
268600,1,1.0000000000,3.3154750000,-0.0342600400,0.0050242160,-0.0353891600,0.0921183600,-0.0042725090,0.9957389000,1,1.0000000000,3.3329470000,0.0296010300,0.0049315640,-0.0319791100,0.1156787000,-0.0004882890,0.9932866000,-0.0290513600,0.0050166630,-0.0351110200,0.0940400000,-0.0039672880,0.9955605000,0.0000000000,
268608,1,1.0000000000,3.3263090000,-0.0342990100,0.0050090330,-0.0353446400,0.0945287100,-0.0023651250,0.9955193000,1,1.0000000000,3.2605440000,0.0295838300,0.0049193420,-0.0319856400,0.1112064000,-0.0029754730,0.9937929000,-0.0185483900,0.0049869240,-0.0345164500,0.0986482700,-0.0025177050,0.9951192000,0.0000000000,
268616,1,1.0000000000,3.2158360000,-0.0343138000,0.0050009920,-0.0353063100,0.0856184100,0.0031586190,0.9963230000,1,1.0000000000,3.2771760000,0.0295557400,0.0048825230,-0.0319031200,0.1135865000,-0.0049285930,0.9935159000,-0.0032533720,0.0049433750,-0.0336513100,0.0992287200,-0.0007629457,0.9950643000,0.0000000000,
268625,1,1.0000000000,3.2260890000,-0.0343383200,0.0049414070,-0.0351422400,0.0814831000,-0.0020447070,0.9966726000,1,1.0000000000,3.2235110000,0.0295351100,0.0048386840,-0.0318417700,0.1122298000,-0.0081025160,0.9936492000,0.0065347600,0.0048756720,-0.0330302500,0.1011667000,-0.0059204660,0.9948519000,0.0000000000,
268633,1,1.0000000000,3.1605220000,-0.0343497300,0.0049314880,-0.0351867700,0.0864720000,-0.0023803830,0.9962515000,1,1.0000000000,3.2110440000,0.0295242600,0.0048305510,-0.0319853500,0.1083227000,-0.0006256138,0.9941155000,0.0055132600,0.0048685000,-0.0331888100,0.1001140000,-0.0012970110,0.9949751000,0.0000000000,
268650,1,1.0000000000,3.2839200000,-0.0343774100,0.0049504700,-0.0354387500,0.0786904200,-0.0057373660,0.9968826000,1,1.0000000000,3.1261440000,0.0295069100,0.0047091220,-0.0317935000,0.1086735000,-0.0042572190,0.9940684000,0.0058429720,0.0047985230,-0.0331437700,0.0975806700,-0.0048065540,0.9952160000,0.0000000000,
268666,1,1.0000000000,3.2516020000,-0.0344233100,0.0049678650,-0.0355375400,0.0819097500,-0.0063477010,0.9966196000,1,1.0000000000,3.1430360000,0.0294949500,0.0046697540,-0.0317859200,0.1106575000,-0.0056457920,0.9938425000,0.0131734000,0.0047458800,-0.0327439000,0.1033175000,-0.0058288720,0.9946314000,0.0000000000,
268675,1,1.0000000000,3.1212310000,-0.0343780100,0.0052455750,-0.0363821700,0.0711833600,-0.0196841500,0.9972690000,1,1.0000000000,3.0824890000,0.0294819300,0.0047512520,-0.0320266400,0.1096206000,-0.0098115330,0.9939251000,0.0288308900,0.0047562870,-0.0320710500,0.1092235000,-0.0099183140,0.9939677000,0.0000000000,
