unity_timestamp,eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
281.8136,284299,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954475000,0.0534156000,0.4419509000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925743000,0.0541035300,0.4476428000,0.0000000000,0.0000000000,0.0000000000,0.8940155000,0.0537598400,0.4447991000,4.4711990000,
281.8255,284310,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954488000,0.0534119900,0.4419488000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925723000,0.0541006900,0.4476470000,0.0000000000,0.0000000000,0.0000000000,0.8940151000,0.0537566200,0.4448002000,4.4662630000,
281.8359,284319,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954508000,0.0534126200,0.4419445000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925713000,0.0541020400,0.4476487000,0.0000000000,0.0000000000,0.0000000000,0.8940157000,0.0537576100,0.4447989000,4.4615530000,
281.847,284331,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954511000,0.0534138400,0.4419439000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925685000,0.0541040000,0.4476542000,0.0000000000,0.0000000000,0.0000000000,0.8940144000,0.0537591900,0.4448014000,4.4569380000,
281.858,284342,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954504000,0.0534099400,0.4419457000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925651000,0.0541007400,0.4476614000,0.0000000000,0.0000000000,0.0000000000,0.8940124000,0.0537556200,0.4448059000,4.4526810000,
281.8693,284353,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954542000,0.0534102200,0.4419380000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925657000,0.0541017400,0.4476600000,0.0000000000,0.0000000000,0.0000000000,0.8940146000,0.0537562600,0.4448013000,4.4477430000,
281.8806,284364,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954570000,0.0534124900,0.4419319000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925652000,0.0541048500,0.4476606000,0.0000000000,0.0000000000,0.0000000000,0.8940158000,0.0537589500,0.4447986000,4.4425200000,
281.8912,284375,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954562000,0.0534108300,0.4419339000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925616000,0.0541038500,0.4476680000,0.0000000000,0.0000000000,0.0000000000,0.8940135000,0.0537576200,0.4448033000,4.4383220000,
281.9025,284386,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954583000,0.0534096500,0.4419297000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925608000,0.0541033900,0.4476697000,0.0000000000,0.0000000000,0.0000000000,0.8940142000,0.0537568000,0.4448020000,4.4338100000,
281.9149,284398,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954607000,0.0534082100,0.4419250000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925602000,0.0541025700,0.4476709000,0.0000000000,0.0000000000,0.0000000000,0.8940151000,0.0537556700,0.4448003000,4.4292680000,
281.9251,284409,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954608000,0.0534104600,0.4419246000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925577000,0.0541054800,0.4476754000,0.0000000000,0.0000000000,0.0000000000,0.8940139000,0.0537582500,0.4448023000,4.4255270000,
281.9367,284420,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954625000,0.0534088500,0.4419215000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925564000,0.0541046000,0.4476781000,0.0000000000,0.0000000000,0.0000000000,0.8940141000,0.0537570000,0.4448021000,4.4209590000,
281.9482,284432,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954632000,0.0534065700,0.4419202000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925549000,0.0541027800,0.4476813000,0.0000000000,0.0000000000,0.0000000000,0.8940138000,0.0537549600,0.4448031000,4.4175660000,
281.9597,284443,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954645000,0.0534086200,0.4419172000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925544000,0.0541053600,0.4476821000,0.0000000000,0.0000000000,0.0000000000,0.8940142000,0.0537572800,0.4448020000,4.4146540000,
281.9709,284455,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954649000,0.0534105800,0.4419162000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925541000,0.0541074800,0.4476823000,0.0000000000,0.0000000000,0.0000000000,0.8940142000,0.0537593200,0.4448016000,4.4137390000,
281.9828,284467,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954662000,0.0534083700,0.4419138000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925548000,0.0541053900,0.4476812000,0.0000000000,0.0000000000,0.0000000000,0.8940153000,0.0537571700,0.4447999000,4.4127120000,
281.9936,284477,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954668000,0.0534097000,0.4419125000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925550000,0.0541068900,0.4476807000,0.0000000000,0.0000000000,0.0000000000,0.8940156000,0.0537585800,0.4447989000,4.4121380000,
282.0051,284489,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954654000,0.0534053900,0.4419158000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925538000,0.0541023900,0.4476836000,0.0000000000,0.0000000000,0.0000000000,0.8940144000,0.0537541800,0.4448020000,4.4124190000,
282.0171,284501,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954656000,0.0534076000,0.4419151000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925539000,0.0541047200,0.4476833000,0.0000000000,0.0000000000,0.0000000000,0.8940144000,0.0537564500,0.4448016000,4.4122730000,
282.0278,284512,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954641000,0.0534136000,0.4419176000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925522000,0.0541107800,0.4476858000,0.0000000000,0.0000000000,0.0000000000,0.8940129000,0.0537624700,0.4448040000,4.4121110000,
282.0395,284523,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954648000,0.0534091100,0.4419164000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925533000,0.0541061800,0.4476841000,0.0000000000,0.0000000000,0.0000000000,0.8940138000,0.0537579300,0.4448026000,4.4125170000,
282.0507,284535,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.8954660000,0.0534068600,0.4419146000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.8925551000,0.0541037500,0.4476808000,0.0000000000,0.0000000000,0.0000000000,0.8940153000,0.0537555900,0.4448000000,4.4136250000,
