unity_timestamp,eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
35.59834,37519,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7882674000,-0.4454643000,0.4244951000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7808068000,-0.4522981000,0.4310072000,0.0000000000,0.0000000000,0.0000000000,0.7845513000,-0.4488893000,0.4277589000,3.2981750000,
35.62605,37526,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7882644000,-0.4454680000,0.4244969000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7808073000,-0.4522985000,0.4310057000,0.0000000000,0.0000000000,0.0000000000,0.7845501000,-0.4488913000,0.4277590000,3.2997560000,
35.63836,37537,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7882574000,-0.4454730000,0.4245046000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7808170000,-0.4522882000,0.4309990000,0.0000000000,0.0000000000,0.0000000000,0.7845513000,-0.4488887000,0.4277595000,3.3071410000,
35.64928,37549,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7882558000,-0.4454730000,0.4245075000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7808199000,-0.4522842000,0.4309980000,0.0000000000,0.0000000000,0.0000000000,0.7845520000,-0.4488867000,0.4277604000,3.3091010000,
35.66055,37560,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7882517000,-0.4454793000,0.4245085000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7808226000,-0.4522843000,0.4309931000,0.0000000000,0.0000000000,0.0000000000,0.7845512000,-0.4488899000,0.4277585000,3.3121340000,
35.67154,37571,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7882486000,-0.4454814000,0.4245121000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7808250000,-0.4522813000,0.4309919000,0.0000000000,0.0000000000,0.0000000000,0.7845508000,-0.4488893000,0.4277597000,3.3145850000,
35.68318,37583,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7882452000,-0.4454832000,0.4245164000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7808326000,-0.4522730000,0.4309866000,0.0000000000,0.0000000000,0.0000000000,0.7845529000,-0.4488861000,0.4277592000,3.3195110000,
35.69357,37593,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7882375000,-0.4454938000,0.4245197000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7808336000,-0.4522756000,0.4309822000,0.0000000000,0.0000000000,0.0000000000,0.7845495000,-0.4488927000,0.4277586000,3.3234760000,
35.70494,37604,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7882333000,-0.4454963000,0.4245248000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7808390000,-0.4522693000,0.4309790000,0.0000000000,0.0000000000,0.0000000000,0.7845501000,-0.4488908000,0.4277595000,3.3277640000,
35.71612,37616,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7882353000,-0.4454920000,0.4245257000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7808439000,-0.4522624000,0.4309774000,0.0000000000,0.0000000000,0.0000000000,0.7845535000,-0.4488852000,0.4277591000,3.3290390000,
35.72702,37627,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7882336000,-0.4454950000,0.4245256000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7808450000,-0.4522630000,0.4309749000,0.0000000000,0.0000000000,0.0000000000,0.7845532000,-0.4488870000,0.4277578000,3.3302480000,
35.73823,37637,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7882355000,-0.4454933000,0.4245238000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7808395000,-0.4522679000,0.4309795000,0.0000000000,0.0000000000,0.0000000000,0.7845515000,-0.4488886000,0.4277593000,3.3269580000,
35.74955,37649,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7882382000,-0.4454927000,0.4245195000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7808356000,-0.4522734000,0.4309810000,0.0000000000,0.0000000000,0.0000000000,0.7845508000,-0.4488910000,0.4277579000,3.3240130000,
35.76053,37660,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7882398000,-0.4454898000,0.4245196000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7808331000,-0.4522742000,0.4309846000,0.0000000000,0.0000000000,0.0000000000,0.7845505000,-0.4488900000,0.4277597000,3.3221870000,
35.77155,37671,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7882423000,-0.4454879000,0.4245169000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7808334000,-0.4522744000,0.4309839000,0.0000000000,0.0000000000,0.0000000000,0.7845519000,-0.4488891000,0.4277581000,3.3211730000,
35.78249,37682,True,1.0000000000,4.0000000000,-0.0320000000,0.0000000000,0.0000000000,0.7882428000,-0.4454859000,0.4245180000,True,1.0000000000,4.0000000000,0.0320000000,0.0000000000,0.0000000000,0.7808338000,-0.4522724000,0.4309851000,0.0000000000,0.0000000000,0.0000000000,0.7845523000,-0.4488872000,0.4277592000,3.3211190000,
