eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
2538576,1,1.0000000000,3.6897890000,-0.0332815300,0.0020723570,-0.0190246700,-0.2280615000,0.2060274000,0.9515990000,1,1.0000000000,3.4867550000,0.0312499900,0.0004151001,-0.0203865200,-0.1328131000,0.2289745000,0.9643295000,-0.0292583600,0.0019690400,-0.0191095800,-0.2221866000,0.2075075000,0.9526666000,0.0000000000,
2538585,1,1.0000000000,3.6779940000,-0.0332818900,0.0020752720,-0.0190218200,-0.2289756000,0.2072926000,0.9511046000,1,1.0000000000,3.4193420000,0.0312453800,0.0004165039,-0.0203897100,-0.1325246000,0.2285192000,0.9644772000,-0.0285618900,0.0019539340,-0.0191218700,-0.2220025000,0.2089103000,0.9524029000,0.0000000000,
2538593,1,1.0000000000,3.6034550000,-0.0333006800,0.0021005710,-0.0190630800,-0.2737601000,0.2107560000,0.9384228000,1,1.0000000000,3.5738070000,0.0312432400,0.0004074707,-0.0204061600,-0.1509414000,0.2279228000,0.9619085000,-0.0248845200,0.0018798070,-0.0192382200,-0.2579700000,0.2131846000,0.9423396000,0.0000000000,
2538601,1,1.0000000000,3.7711490000,-0.0332248500,0.0020454260,-0.0191039000,-0.2930011000,0.2356735000,0.9266112000,1,1.0000000000,3.3662110000,0.0312407900,0.0004359436,-0.0204446400,-0.1511095000,0.2328366000,0.9607044000,-0.0148261600,0.0015860750,-0.0194865400,-0.2530555000,0.2353703000,0.9383836000,0.0000000000,
2538610,1,1.0000000000,3.7129820000,-0.0332203800,0.0020424350,-0.0191040000,-0.2946191000,0.2356892000,0.9260941000,1,1.0000000000,3.3847050000,0.0312627000,0.0004389801,-0.0204301200,-0.1580214000,0.2234059000,0.9618310000,-0.0037119450,0.0013086700,-0.0197108500,-0.2326993000,0.2306394000,0.9448050000,0.0000000000,
2538618,1,1.0000000000,3.6315610000,-0.0332676400,0.0021135100,-0.0190441300,-0.2642689000,0.2104203000,0.9412148000,1,1.0000000000,3.3433070000,0.0313587000,0.0003883209,-0.0204159700,-0.1521626000,0.2352784000,0.9599430000,-0.0034068300,0.0013163760,-0.0196779900,-0.2128169000,0.2222775000,0.9514734000,0.0000000000,
2538626,1,1.0000000000,3.6852570000,-0.0329256300,0.0020784910,-0.0189624600,-0.2256182000,0.2030197000,0.9528271000,1,1.0000000000,3.4361110000,0.0315421900,0.0006655426,-0.0212493600,-0.0850841600,0.1995877000,0.9761790000,-0.0305568300,0.0020265810,-0.0190464900,-0.2205387000,0.2029756000,0.9540250000,0.0000000000,
2538635,1,1.0000000000,3.7635800000,-0.0324025000,0.0018057400,-0.0181216600,-0.1671000000,0.1910870000,0.9672453000,1,1.0000000000,3.3918460000,0.0319246700,0.0003533326,-0.0206529200,0.0043335260,0.2195450000,0.9755927000,-0.0047787940,0.0011820370,-0.0192086500,-0.0938270200,0.2040726000,0.9744490000,0.0000000000,
2538643,1,1.0000000000,3.7072450000,-0.0318959100,0.0018594360,-0.0182714200,-0.0898599800,0.1658343000,0.9820510000,1,1.0000000000,3.4025420000,0.0322518600,0.0003142853,-0.0205545100,0.0799107200,0.1879741000,0.9789178000,0.0295598000,0.0003791352,-0.0204586800,0.0728157900,0.1871665000,0.9796257000,0.0000000000,
2538651,1,1.0000000000,3.5740510000,-0.0314376500,0.0022983400,-0.0196612700,-0.0257418800,0.1314103000,0.9909938000,1,1.0000000000,3.3946080000,0.0326265000,0.0001060944,-0.0204485300,0.1588002000,0.1889978000,0.9690523000,0.0315616300,0.0001425324,-0.0204354400,0.1557781000,0.1880964000,0.9697180000,0.0000000000,
