trial,timestamp,magnification,radial,response
0,212.8069,0.9,0,0
1,217.4938,1.05,0,1
2,220.6035,0.95,0,0
3,223.8355,0.975,0,0
4,227.2008,1,0,1
5,255.141,0.975,0,1
6,258.6953,0.9,0,0
7,262.5713,1.15,0,0
8,266.7914,0.975,0,1
9,270.9563,1,0,1
10,297.3694,1.1,0,0
11,301.3344,0.975,0,1
12,305.0548,1.025,0,1
13,308.6643,1.15,0,0
14,312.4292,1.05,0,0
15,338.6725,1.05,0,0
16,343.4592,1.025,0,1
17,347.969,1.1,0,0
18,352.5554,1.025,0,0
19,359.6077,1.15,0,0
20,386.2759,1.1,0,0
21,393.184,1.05,0,0
22,396.3716,0.95,0,0
23,399.8254,1.15,0,0
24,404.8122,0.975,0,0
25,431.7578,1.025,0,1
26,434.9231,1,0,1
27,439.1879,0.95,0,0
28,442.7645,1,0,0
29,446.5513,0.95,0,0
30,473.4378,1,0,1
31,476.8253,1.05,0,0
32,480.1019,1.025,0,1
33,483.5654,1,0,1
34,488.6757,1.05,0,0
35,515.228,0.95,0,0
36,519.5925,1.025,0,1
37,523.4908,0.9,0,0
38,527.3345,1.1,0,0
39,531.2874,1.15,0,0
40,558.275,0.9,0,0
41,562.1844,1.025,0,1
42,569.5031,0.975,0,1
43,572.9128,1.025,0,1
44,576.4557,1,0,1
45,602.7155,0.95,0,0
46,606.5917,0.95,0,0
47,610.3007,1.15,0,0
48,614.1993,0.9,0,0
49,620.2077,0.975,0,0
50,650.7153,1.05,0,1
51,653.8806,1.15,0,0
52,658.1009,1.1,0,0
53,661.9103,1,0,1
54,665.5088,1.05,0,1
55,691.8041,0.9,0,0
56,695.669,1.1,0,0
57,699.4448,1.1,0,0
58,702.8533,1.15,0,0
59,706.2867,0.9,0,0
60,732.388,0.95,0,0
61,735.9641,1.1,0,0
62,739.3956,0.9,0,0
63,742.9501,0.975,0,0
0,1649.699,1.025,0,1
1,1654.02,1,0,1
2,1658.307,1,0,1
3,1662.294,1.025,0,1
4,1665.992,1.15,0,0
5,1692.698,1.05,0,1
6,1696.785,1.1,0,0
7,1700.328,0.975,0,0
8,1704.437,1.1,0,0
9,1708.757,0.975,0,0
10,1736.104,0.9,0,0
11,1739.67,1.05,0,1
12,1743.868,1.1,0,0
13,1749.465,1.1,0,0
14,1753.219,0.9,0,0
15,1780.079,1,0,1
16,1784.022,1.15,0,0
17,1787.387,1.05,0,1
18,1791.852,0.95,0,0
19,1795.717,1.1,0,0
20,1822.635,1.15,0,0
21,1826.678,0.95,0,0
22,1830.399,1.15,0,0
23,1834.153,1.025,0,1
24,1838.628,0.95,0,0
25,1865.658,0.95,0,0
26,1869.523,0.975,0,0
27,1872.966,1.025,0,1
28,1876.464,1.025,0,1
29,1879.574,1.15,0,0
30,1906.657,0.975,0,0
31,1910.177,1.05,0,1
32,1914.842,1.15,0,1
33,1918.551,0.9,0,1
34,1922.616,0.9,0,1
35,1948.74,0.975,0,0
36,1952.715,1,0,1
37,1956.991,0.9,0,0
38,1970.716,1.025,0,1
39,1974.761,1,0,1
40,2000.812,1,0,1
41,2004.277,1.025,0,1
42,2007.576,0.95,0,0
43,2011.972,0.95,0,0
44,2016.083,1.05,0,1
45,2042.09,0.975,0,0
46,2045.821,0.9,0,0
47,2049.686,1.025,0,1
48,2053.929,1.15,0,1
49,2057.283,1.15,0,0
50,2083.223,0.975,0,0
51,2086.766,0.9,0,0
52,2089.976,0.95,0,0
53,2094.185,1,0,1
54,2098.029,1.05,0,1
55,2124.632,1,0,0
56,2128.008,1.05,0,0
57,2132.884,0.975,0,0
58,2136.482,1.1,0,1
59,2140.458,0.9,0,0
60,2168.294,1.05,0,1
61,2171.826,0.95,0,0
62,2176.679,1.1,0,0
63,2180.877,1.1,0,0
