unity_timestamp,eye_timestamp,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,messages,
319.8653000000,324309,0.2721992000,1.3369490000,0.5597177000,0.0649080800,0.0334141000,0.0033892600,0.9973259000,0.2721992000,1.3369490000,0.5597177000,0.0649080800,0.0334141000,0.0033892600,0.9973259000,0.2721992000,1.3369490000,0.5597177000,0.0649080800,0.0334141000,0.0033892600,0.9973259000,StopSwimBlock_baseline_round3,
319.8653000000,324367,0.2721827000,1.3369650000,0.5597184000,0.0648428800,0.0333769200,0.0034136160,0.9973313000,0.2721827000,1.3369650000,0.5597184000,0.0648428800,0.0333769200,0.0034136160,0.9973313000,0.2721827000,1.3369650000,0.5597184000,0.0648428800,0.0333769200,0.0034136160,0.9973313000,,
319.8853000000,324367,0.2721436000,1.3370700000,0.5597734000,0.0646184500,0.0338015600,0.0025639150,0.9973341000,0.2721436000,1.3370700000,0.5597734000,0.0646184500,0.0338015600,0.0025639150,0.9973341000,0.2721436000,1.3370700000,0.5597734000,0.0646184500,0.0338015600,0.0025639150,0.9973341000,,
319.8943000000,324405,0.2720909000,1.3370630000,0.5597231000,0.0644728800,0.0339418000,0.0026355050,0.9973386000,0.2720909000,1.3370630000,0.5597231000,0.0644728800,0.0339418000,0.0026355050,0.9973386000,0.2720909000,1.3370630000,0.5597231000,0.0644728800,0.0339418000,0.0026355050,0.9973386000,,
319.9058000000,324413,0.2721610000,1.3370490000,0.5597138000,0.0645763400,0.0336886400,0.0029142760,0.9973397000,0.2721610000,1.3370490000,0.5597138000,0.0645763400,0.0336886400,0.0029142760,0.9973397000,0.2721610000,1.3370490000,0.5597138000,0.0645763400,0.0336886400,0.0029142760,0.9973397000,,
319.9163000000,324425,0.2721348000,1.3370290000,0.5596921000,0.0645726300,0.0337613400,0.0029743890,0.9973373000,0.2721348000,1.3370290000,0.5596921000,0.0645726300,0.0337613400,0.0029743890,0.9973373000,0.2721348000,1.3370290000,0.5596921000,0.0645726300,0.0337613400,0.0029743890,0.9973373000,,
319.9279000000,324435,0.2721553000,1.3370250000,0.5596867000,0.0645916100,0.0337303800,0.0031085940,0.9973367000,0.2721553000,1.3370250000,0.5596867000,0.0645916100,0.0337303800,0.0031085940,0.9973367000,0.2721553000,1.3370250000,0.5596867000,0.0645916100,0.0337303800,0.0031085940,0.9973367000,,
319.9389000000,324447,0.2721317000,1.3370040000,0.5596418000,0.0647034200,0.0338128800,0.0032998170,0.9973261000,0.2721317000,1.3370040000,0.5596418000,0.0647034200,0.0338128800,0.0032998170,0.9973261000,0.2721317000,1.3370040000,0.5596418000,0.0647034200,0.0338128800,0.0032998170,0.9973261000,,
319.9507000000,324458,0.2721112000,1.3369810000,0.5596168000,0.0647399700,0.0338178100,0.0033616900,0.9973233000,0.2721112000,1.3369810000,0.5596168000,0.0647399700,0.0338178100,0.0033616900,0.9973233000,0.2721112000,1.3369810000,0.5596168000,0.0647399700,0.0338178100,0.0033616900,0.9973233000,,
319.9606000000,324470,0.2720673000,1.3369640000,0.5596042000,0.0648383600,0.0338020200,0.0033867170,0.9973174000,0.2720673000,1.3369640000,0.5596042000,0.0648383600,0.0338020200,0.0033867170,0.9973174000,0.2720673000,1.3369640000,0.5596042000,0.0648383600,0.0338020200,0.0033867170,0.9973174000,,
