eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
750587,1,1.0000000000,2.5943600000,-0.0273958900,0.0092501980,-0.0341010900,0.1978930000,-0.2718225000,0.9417807000,1,1.0000000000,3.2745970000,0.0282881000,0.0093709720,-0.0371308900,0.0494233000,-0.1727756000,0.9837205000,0.0282881000,0.0093709720,-0.0371308900,0.0494233000,-0.1727756000,0.9837205000,0.0000000000,
750595,1,1.0000000000,2.5437620000,-0.0274476200,0.0092996530,-0.0342503200,0.2018603000,-0.2791009000,0.9388052000,1,1.0000000000,3.3283390000,0.0282380100,0.0093913120,-0.0371219500,0.0311889900,-0.1690828000,0.9851083000,0.0282380100,0.0093913120,-0.0371219500,0.0311889900,-0.1690828000,0.9851083000,0.0000000000,
750603,1,1.0000000000,2.6753690000,-0.0274931800,0.0092303620,-0.0337038300,0.1508807000,-0.2191493000,0.9639547000,1,1.0000000000,3.2634740000,0.0281686600,0.0093936920,-0.0371200900,0.0271761500,-0.1621109000,0.9863983000,0.0281686600,0.0093936920,-0.0371200900,0.0271761500,-0.1621109000,0.9863983000,0.0000000000,
750611,1,1.0000000000,2.8515170000,-0.0275735600,0.0091474460,-0.0334728400,0.2067140000,-0.1888305000,0.9600065000,1,1.0000000000,3.2062680000,0.0281211700,0.0093806150,-0.0371201800,0.0270081600,-0.1643835000,0.9860266000,0.0281211700,0.0093806150,-0.0371201800,0.0270081600,-0.1643835000,0.9860266000,0.0000000000,
750620,1,1.0000000000,3.0391540000,-0.0276441200,0.0092605900,-0.0339506700,0.2259222000,-0.1591191000,0.9610620000,1,1.0000000000,3.2720490000,0.0280540900,0.0093679060,-0.0371139200,0.0230255900,-0.1725623000,0.9847295000,0.0280540900,0.0093679060,-0.0371139200,0.0230255900,-0.1725623000,0.9847295000,0.0000000000,
750628,1,1.0000000000,2.8712770000,-0.0277014200,0.0093463300,-0.0343367200,0.1863875000,-0.1455089000,0.9716413000,1,1.0000000000,3.1714630000,0.0279972700,0.0093526770,-0.0371186700,0.0216523100,-0.1686866000,0.9854319000,0.0279972700,0.0093526770,-0.0371186700,0.0216523100,-0.1686866000,0.9854319000,0.0000000000,
750636,1,1.0000000000,2.8905030000,-0.0277569600,0.0093536380,-0.0343363400,0.1696485000,-0.1769423000,0.9694900000,1,1.0000000000,3.1801910000,0.0279588200,0.0093511200,-0.0371117400,0.0113527000,-0.1700769000,0.9853655000,0.0279588000,0.0093511200,-0.0371117400,0.0113527000,-0.1700769000,0.9853655000,0.0000000000,
750645,1,1.0000000000,3.0619510000,-0.0278094500,0.0093973700,-0.0344388000,0.2065135000,-0.1527260000,0.9664507000,1,1.0000000000,3.1328740000,0.0279216500,0.0093635870,-0.0371089800,0.0180512500,-0.1734018000,0.9846857000,0.0279216500,0.0093635870,-0.0371089800,0.0180512500,-0.1734018000,0.9846857000,0.0000000000,
750653,1,1.0000000000,2.9458770000,-0.0278419300,0.0094368140,-0.0344606800,0.1768049000,-0.1348276000,0.9749675000,1,1.0000000000,3.0809330000,0.0279245800,0.0093858800,-0.0371415400,-0.0068818000,-0.1617147000,0.9868135000,0.0278928400,0.0093859110,-0.0371400200,-0.0067750090,-0.1616999000,0.9868168000,0.0000000000,
750661,1,1.0000000000,3.0199130000,-0.0278781300,0.0094550780,-0.0343797500,0.1719833000,-0.1680160000,0.9706659000,1,1.0000000000,3.2309880000,0.0279000400,0.0094364940,-0.0372243100,-0.0201417400,-0.1423197000,0.9896158000,0.0277974100,0.0094365240,-0.0372190700,-0.0197908000,-0.1423656000,0.9896163000,0.0000000000,
750670,1,1.0000000000,3.1742250000,-0.0279151600,0.0094399410,-0.0342130000,0.2209176000,-0.1822212000,0.9581184000,1,1.0000000000,3.1172330000,0.0278852500,0.0094927680,-0.0373200000,-0.0234375400,-0.1309969000,0.9911057000,0.0277097200,0.0094926000,-0.0373102300,-0.0226748000,-0.1311812000,0.9910991000,0.0000000000,
750678,1,1.0000000000,3.0997620000,-0.0279339300,0.0094264840,-0.0340987900,0.2144782000,-0.1754919000,0.9608338000,1,1.0000000000,3.2745060000,0.0278695500,0.0095159910,-0.0373066900,-0.0278781300,-0.1411912000,0.9895898000,0.0275820900,0.0095155180,-0.0372901600,-0.0266419100,-0.1413883000,0.9895957000,0.0000000000,
750686,1,1.0000000000,2.9541320000,-0.0279393300,0.0093851630,-0.0339703400,0.1618668000,-0.1789415000,0.9704530000,1,1.0000000000,3.2295840000,0.0278520500,0.0095031890,-0.0372719400,-0.0323338500,-0.1476615000,0.9885093000,0.0268709300,0.0095011140,-0.0372138800,-0.0289311200,-0.1482567000,0.9885256000,0.0000000000,
