eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
690999,1,1.0000000000,2.9594730000,-0.0279105800,0.0089384620,-0.0347454800,0.2046059000,-0.2333993000,0.9506109000,1,1.0000000000,3.1824340000,0.0276403400,0.0094744720,-0.0382299200,-0.0162202800,-0.1497057000,0.9885976000,0.0028264930,0.0092350470,-0.0366734800,0.0830086900,-0.1884328000,0.9785717000,0.0000000000,
691008,1,1.0000000000,2.8984070000,-0.0279377600,0.0089680940,-0.0347564700,0.2052793000,-0.1715874000,0.9635446000,1,1.0000000000,3.1488340000,0.0276271500,0.0095090190,-0.0382359600,-0.0077209940,-0.1571817000,0.9875395000,-0.0004459992,0.0092357180,-0.0364780100,0.1004655000,-0.1654079000,0.9810948000,0.0000000000,
691016,1,1.0000000000,2.8761140000,-0.0279630900,0.0089965210,-0.0347561600,0.2016637000,-0.1913180000,0.9605880000,1,1.0000000000,3.1594090000,0.0276012400,0.0095384220,-0.0382117200,-0.0109558300,-0.1378786000,0.9903886000,-0.0130482300,0.0091419830,-0.0356837300,0.1452807000,-0.1778281000,0.9732783000,0.0000000000,
691024,1,1.0000000000,3.2636870000,-0.0279867900,0.0090459300,-0.0347996500,0.2629887000,-0.1307391000,0.9558997000,1,1.0000000000,3.1436920000,0.0276094800,0.0095943600,-0.0382693500,-0.0262300200,-0.1532144000,0.9878448000,-0.0131069800,0.0091927030,-0.0357282900,0.1871357000,-0.1379104000,0.9726052000,0.0000000000,
691033,1,1.0000000000,3.0743260000,-0.0280139600,0.0091154640,-0.0348399700,0.2538486000,-0.1198441000,0.9597908000,1,1.0000000000,3.1117550000,0.0276009700,0.0096428080,-0.0383767400,-0.0355532400,-0.1291361000,0.9909893000,-0.0072520600,0.0093123330,-0.0361602900,0.1472785000,-0.1245581000,0.9812208000,0.0000000000,
691041,1,1.0000000000,3.0400700000,-0.0280480000,0.0091126870,-0.0346441200,0.1989782000,-0.1420619000,0.9696526000,1,1.0000000000,3.0184780000,0.0275719600,0.0095965420,-0.0381396200,-0.0320896300,-0.1284806000,0.9911927000,-0.0054773110,0.0093090370,-0.0360625900,0.1058975000,-0.1374531000,0.9848311000,0.0000000000,
691049,1,1.0000000000,3.0948790000,-0.0280663900,0.0091082920,-0.0343774400,0.1896383000,-0.1203322000,0.9744524000,1,1.0000000000,3.0120390000,0.0275512400,0.0095746460,-0.0379138500,-0.0218964600,-0.1243750000,0.9919936000,-0.0027850340,0.0093202820,-0.0359849400,0.0940095900,-0.1228487000,0.9879628000,0.0000000000,
691058,1,1.0000000000,3.0051420000,-0.0280620300,0.0091225280,-0.0341512000,0.1914982000,-0.1418155000,0.9711935000,1,1.0000000000,3.0259860000,0.0275419300,0.0095653530,-0.0377789900,-0.0291903300,-0.1175395000,0.9926391000,0.0001507721,0.0093472140,-0.0359919000,0.0800173700,-0.1303105000,0.9882390000,0.0000000000,
691066,1,1.0000000000,3.0039980000,-0.0280622600,0.0091398470,-0.0340668300,0.1876382000,-0.1175542000,0.9751784000,1,1.0000000000,3.0720520000,0.0275376400,0.0095595560,-0.0376950400,-0.0403444300,-0.1252295000,0.9913071000,0.0084827730,0.0094157110,-0.0364516000,0.0380102300,-0.1233234000,0.9916383000,0.0000000000,
691074,1,1.0000000000,3.0941470000,-0.0280558600,0.0091753390,-0.0341074800,0.2214673000,-0.1501626000,0.9635370000,1,1.0000000000,3.0225980000,0.0275411800,0.0095784310,-0.0377165100,-0.0373994500,-0.1144414000,0.9927257000,0.0120392500,0.0094660340,-0.0367102100,0.0350037900,-0.1252751000,0.9915043000,0.0000000000,
691083,1,1.0000000000,3.0880740000,-0.0280285700,0.0091204380,-0.0337750700,0.1808330000,-0.1351174000,0.9741882000,1,1.0000000000,3.0699770000,0.0275602600,0.0096348110,-0.0379055300,-0.0449067500,-0.1136020000,0.9925110000,0.0240950900,0.0096027530,-0.0376480600,-0.0308841400,-0.1151289000,0.9928703000,0.0000000000,
691091,1,1.0000000000,3.0404360000,-0.0280017900,0.0091556400,-0.0339240900,0.1809559000,-0.1261458000,0.9753677000,1,1.0000000000,2.9903110000,0.0275919800,0.0096910710,-0.0380940700,-0.0293274600,-0.1198581000,0.9923578000,0.0257992700,0.0096737980,-0.0379596100,-0.0225679000,-0.1201485000,0.9924994000,0.0000000000,
691099,1,1.0000000000,2.9829100000,-0.0279541900,0.0091471410,-0.0339864000,0.1809697000,-0.1373600000,0.9738492000,1,1.0000000000,3.0671690000,0.0276245300,0.0096304780,-0.0378347000,-0.0415957400,-0.1194771000,0.9919652000,0.0251335500,0.0096088110,-0.0376622300,-0.0316467900,-0.1204074000,0.9922200000,0.0000000000,
691108,1,1.0000000000,3.0014340000,-0.0279224700,0.0093065340,-0.0348486900,0.1877155000,-0.1125958000,0.9757485000,1,1.0000000000,3.0232240000,0.0276606200,0.0095921630,-0.0376640000,-0.0346682900,-0.1254437000,0.9914948000,0.0266291800,0.0095868690,-0.0376117700,-0.0305638100,-0.1252613000,0.9916529000,0.0000000000,
691116,1,1.0000000000,2.9501800000,-0.0278730300,0.0092774510,-0.0347245700,0.1826808000,-0.1349964000,0.9738602000,1,1.0000000000,3.0987550000,0.0277150100,0.0096839000,-0.0379875800,-0.0312195400,-0.1115114000,0.9932727000,0.0272552500,0.0096805420,-0.0379605900,-0.0294647500,-0.1117250000,0.9933023000,0.0000000000,
691124,1,1.0000000000,3.1953430000,-0.0278140900,0.0092553110,-0.0347397300,0.2331093000,-0.0897982900,0.9682956000,1,1.0000000000,3.0663450000,0.0277718200,0.0097335970,-0.0381068600,-0.0353703100,-0.1237656000,0.9916809000,0.0274830800,0.0097311250,-0.0380893700,-0.0339814500,-0.1236119000,0.9917486000,0.0000000000,
691133,1,1.0000000000,3.1743160000,-0.0277796300,0.0092648930,-0.0347478200,0.2100715000,-0.1195090000,0.9703543000,1,1.0000000000,3.0936890000,0.0278434200,0.0098334360,-0.0384187300,-0.0346377600,-0.1050882000,0.9938595000,0.0274705400,0.0098296360,-0.0383941300,-0.0330049500,-0.1052100000,0.9939021000,0.0000000000,
691141,1,1.0000000000,3.0104830000,-0.0277490600,0.0093027650,-0.0349611800,0.1769578000,-0.1042948000,0.9786770000,1,1.0000000000,3.1751100000,0.0278797600,0.0098955540,-0.0385743700,-0.0323182200,-0.1119999000,0.9931825000,0.0274596000,0.0098910680,-0.0385470900,-0.0307468400,-0.1119551000,0.9932375000,0.0000000000,
691149,1,1.0000000000,3.1648710000,-0.0276741200,0.0092262420,-0.0345177500,0.1951610000,-0.1127936000,0.9742637000,1,1.0000000000,3.1118770000,0.0279062400,0.0100105100,-0.0389339300,-0.0369876600,-0.1062937000,0.9936466000,0.0190725700,0.0098858640,-0.0382320400,-0.0000762948,-0.1077130000,0.9941821000,0.0000000000,
691158,1,1.0000000000,3.0432430000,-0.0276849400,0.0092569580,-0.0346433300,0.1780554000,-0.1148228000,0.9772983000,1,1.0000000000,3.1077580000,0.0279390100,0.0100232200,-0.0388472600,-0.0347751900,-0.1038525000,0.9939846000,-0.0140680400,0.0094445350,-0.0356724700,0.1264807000,-0.1126257000,0.9855547000,0.0000000000,
691166,1,1.0000000000,2.9427640000,-0.0276676300,0.0092507790,-0.0346164700,0.1755544000,-0.1191725000,0.9772301000,1,1.0000000000,3.1042020000,0.0279740500,0.0100400900,-0.0388673600,-0.0370640700,-0.1065230000,0.9936192000,-0.0273689000,0.0092550210,-0.0346393000,0.1744390000,-0.1191258000,0.9774355000,0.0000000000,
691174,1,1.0000000000,3.1458440000,-0.0276513200,0.0092509920,-0.0346143200,0.2037209000,-0.1125493000,0.9725381000,1,1.0000000000,3.1013640000,0.0279932700,0.0100302700,-0.0388295500,-0.0347294200,-0.1047376000,0.9938933000,-0.0276400600,0.0092511450,-0.0346151700,0.2036770000,-0.1125503000,0.9725472000,0.0000000000,
