eye_timestamp,left_validata,left_eye_openness,left_eye_pupil_diameter,left_eye_origin.x,left_eye_origin.y,left_eye_origin.z,left_eye_gaze.x,left_eye_gaze.y,left_eye_gaze.z,right_validata,right_eye_openness,right_eye_pupil_diameter,right_eye_origin.x,right_eye_origin.y,right_eye_origin.z,right_eye_gaze.x,right_eye_gaze.y,right_eye_gaze.z,combined_eye_origin.x,combined_eye_origin.y,combined_eye_origin.z,combined_eye_gaze.x,combined_eye_gaze.y,combined_eye_gaze.z,gaze_distance,
685934,1,1.0000000000,2.9545900000,-0.0282830500,0.0103063800,-0.0361884000,0.1118632000,-0.1227886000,0.9861083000,1,1.0000000000,2.6392520000,0.0274091000,0.0103211200,-0.0379187200,-0.1074083000,-0.0923781400,0.9899140000,-0.0254355200,0.0103071300,-0.0362768700,0.1007697000,-0.1213692000,0.9874792000,0.0000000000,
685942,1,1.0000000000,2.9551700000,-0.0283081500,0.0101994300,-0.0355619400,0.0684060500,-0.0985273000,0.9927804000,1,1.0000000000,2.8226930000,0.0273396600,0.0102452900,-0.0374648600,-0.1365524000,-0.0710914900,0.9880787000,-0.0260701300,0.0102012800,-0.0356384600,0.0602114200,-0.0975040400,0.9934121000,0.0000000000,
685951,1,1.0000000000,3.0872960000,-0.0283840400,0.0101943700,-0.0354289000,0.0609445200,-0.0929426800,0.9938045000,1,1.0000000000,2.6856690000,0.0272555900,0.0102709700,-0.0377078900,-0.1283421000,-0.0611879300,0.9898406000,-0.0251667600,0.0101988100,-0.0355606900,0.0500491300,-0.0912023300,0.9945738000,0.0000000000,
685959,1,1.0000000000,2.9590450000,-0.0284230200,0.0102365700,-0.0356908900,0.0717171700,-0.1088575000,0.9914669000,1,1.0000000000,2.6499940000,0.0272743400,0.0103027200,-0.0377352500,-0.1340044000,-0.0594795200,0.9891942000,-0.0220514400,0.0102441400,-0.0359247400,0.0482944800,-0.1034402000,0.9934625000,0.0000000000,
685967,1,1.0000000000,3.0441440000,-0.0284321900,0.0102143300,-0.0356540500,0.0594641800,-0.0916453400,0.9940147000,1,1.0000000000,2.6331480000,0.0272905600,0.0103777800,-0.0381279000,-0.1346441000,-0.0628970000,0.9888958000,-0.0264194500,0.0102202300,-0.0357434100,0.0524905100,-0.0906682100,0.9944969000,0.0000000000,
685976,1,1.0000000000,3.0669250000,-0.0284381400,0.0101484700,-0.0353531700,0.0655980000,-0.0945746500,0.9933542000,1,1.0000000000,2.7346950000,0.0272987100,0.0103829800,-0.0381836700,-0.1340493000,-0.0673374600,0.9886842000,-0.0272768000,0.0101533500,-0.0354121400,0.0614633600,-0.0940566400,0.9936677000,0.0000000000,
685984,1,1.0000000000,3.0748750000,-0.0284440900,0.0100826100,-0.0350522600,0.0717322200,-0.0975808500,0.9926391000,1,1.0000000000,2.8635860000,0.0273007200,0.0103827800,-0.0381942600,-0.1306316000,-0.0741278300,0.9886559000,-0.0254917300,0.0100985100,-0.0352186700,0.0610815000,-0.0964364400,0.9934632000,0.0000000000,
685992,1,1.0000000000,2.9969640000,-0.0284667700,0.0102026400,-0.0356270300,0.0686343500,-0.0929112000,0.9933060000,1,1.0000000000,2.8434750000,0.0273037300,0.0103837600,-0.0382026500,-0.1288610000,-0.0693972600,0.9892314000,-0.0253962400,0.0102126200,-0.0357688300,0.0578162100,-0.0917063700,0.9941062000,0.0000000000,
686001,1,1.0000000000,2.9340060000,-0.0284647500,0.0101697500,-0.0354735000,0.0671083700,-0.1101993000,0.9916414000,1,1.0000000000,2.8244020000,0.0273067500,0.0103827800,-0.0381942600,-0.1319292000,-0.0740061000,0.9884927000,-0.0243626400,0.0101854300,-0.0356736100,0.0525367300,-0.1076827000,0.9927962000,0.0000000000,
686009,1,1.0000000000,3.0200040000,-0.0284666300,0.0101700600,-0.0354714400,0.0706332300,-0.1049809000,0.9919627000,1,1.0000000000,2.8023830000,0.0273105500,0.0103767600,-0.0381633800,-0.1330879000,-0.0744785500,0.9883019000,-0.0205845600,0.0101992600,-0.0358518400,0.0419466800,-0.1009223000,0.9940096000,0.0000000000,
686017,1,1.0000000000,2.9884190000,-0.0284685200,0.0101703600,-0.0354735000,0.0740210400,-0.1009378000,0.9921353000,1,1.0000000000,2.7811580000,0.0273143500,0.0103707300,-0.0381324900,-0.1337598000,-0.0742347000,0.9882295000,-0.0274399100,0.0101740600,-0.0355225200,0.0702217200,-0.1004802000,0.9924579000,0.0000000000,
686026,1,1.0000000000,3.0024570000,-0.0284703500,0.0101700600,-0.0354714400,0.0745555700,-0.1006332000,0.9921262000,1,1.0000000000,2.7828370000,0.0273185400,0.0103700400,-0.0381307200,-0.1345837000,-0.0706335600,0.9883816000,-0.0193281700,0.0102028400,-0.0359072100,0.0404055800,-0.0960090200,0.9945600000,0.0000000000,
686034,1,1.0000000000,2.9885100000,-0.0284685200,0.0101697500,-0.0354693800,0.0740519500,-0.1010146000,0.9921252000,1,1.0000000000,2.7853390000,0.0273227400,0.0103693700,-0.0381289400,-0.1356668000,-0.0692143500,0.9883339000,0.0015085910,0.0102770100,-0.0368983800,-0.0388339600,-0.0843971000,0.9956751000,0.0000000000,
686042,1,1.0000000000,2.9722900000,-0.0284682200,0.0101676300,-0.0354542700,0.0735784500,-0.1062325000,0.9916153000,1,1.0000000000,2.7830200000,0.0273258400,0.0103668700,-0.0381142800,-0.1363223000,-0.0688630700,0.9882683000,0.0102619900,0.0103059400,-0.0373007500,-0.0724796700,-0.0806889500,0.9941006000,0.0000000000,
686051,1,1.0000000000,2.9832460000,-0.0284685200,0.0101655000,-0.0354391800,0.0732586200,-0.1115130000,0.9910591000,1,1.0000000000,2.7805630000,0.0273289500,0.0103643800,-0.0380996100,-0.1372092000,-0.0695354000,0.9880984000,0.0066408390,0.0102906300,-0.0371131900,-0.0594789800,-0.0855563500,0.9945564000,0.0000000000,
686059,1,1.0000000000,2.9707340000,-0.0284703500,0.0101507600,-0.0354151600,0.0723122600,-0.1097120000,0.9913295000,1,1.0000000000,2.7800750000,0.0273314200,0.0103607300,-0.0380698300,-0.1377569000,-0.0697024200,0.9880104000,0.0022337340,0.0102663000,-0.0368758600,-0.0435182600,-0.0881961900,0.9951521000,0.0000000000,
686067,1,1.0000000000,2.9811400000,-0.0284721900,0.0101360200,-0.0353911600,0.0714575400,-0.1079416000,0.9915859000,1,1.0000000000,2.7797550000,0.0273339100,0.0103570900,-0.0380400300,-0.1383063000,-0.0699008400,0.9879196000,-0.0115649700,0.0102029900,-0.0361936700,0.0079346500,-0.0968790300,0.9952645000,0.0000000000,
686076,1,1.0000000000,2.9701080000,-0.0284728600,0.0101315600,-0.0353890200,0.0716556100,-0.1079870000,0.9915665000,1,1.0000000000,2.7718510000,0.0273365300,0.0103472400,-0.0380064900,-0.1391151000,-0.0697940800,0.9878137000,-0.0139104900,0.0101878400,-0.0360719900,0.0167237400,-0.0984503300,0.9950014000,0.0000000000,
686084,1,1.0000000000,2.9589230000,-0.0284735300,0.0101271100,-0.0353911600,0.0718850900,-0.1077590000,0.9915748000,1,1.0000000000,2.7813720000,0.0273391600,0.0103374000,-0.0379729500,-0.1397717000,-0.0697332700,0.9877252000,-0.0150205500,0.0101778000,-0.0360134600,0.0209504800,-0.0990150300,0.9948654000,0.0000000000,
686092,1,1.0000000000,2.9707790000,-0.0284744100,0.0101270800,-0.0353890200,0.0724192400,-0.1096207000,0.9913318000,1,1.0000000000,2.7733610000,0.0273423300,0.0103318200,-0.0379563200,-0.1390401000,-0.0687265900,0.9878990000,-0.0161389200,0.0101723200,-0.0359563900,0.0257873900,-0.1009828000,0.9945539000,0.0000000000,
686101,1,1.0000000000,2.9826510000,-0.0284752800,0.0101270300,-0.0353911600,0.0729072300,-0.1112530000,0.9911141000,1,1.0000000000,2.7654720000,0.0273454900,0.0103262500,-0.0379396700,-0.1382914000,-0.0677037400,0.9880748000,-0.0177368200,0.0101653400,-0.0358814300,0.0323792200,-0.1032565000,0.9941276000,0.0000000000,
686109,1,1.0000000000,2.9707640000,-0.0284767200,0.0101264500,-0.0353890200,0.0747073700,-0.1116033000,0.9909407000,1,1.0000000000,2.7639920000,0.0273532900,0.0103128800,-0.0379049900,-0.1400007000,-0.0663763400,0.9879241000,-0.0192102700,0.0101574000,-0.0358066100,0.0392003700,-0.1044478000,0.9937575000,0.0000000000,
686117,1,1.0000000000,2.9818120000,-0.0284781700,0.0101258900,-0.0353911600,0.0764781200,-0.1111313000,0.9908587000,1,1.0000000000,2.7575380000,0.0273548100,0.0102937200,-0.0378131000,-0.1405964000,-0.0666360600,0.9878220000,-0.0211458300,0.0101479200,-0.0357092100,0.0480960500,-0.1055763000,0.9932474000,0.0000000000,
686125,1,1.0000000000,2.9860380000,-0.0284788400,0.0101238600,-0.0353868700,0.0775768100,-0.1115891000,0.9907218000,1,1.0000000000,2.7480010000,0.0273632200,0.0102823300,-0.0377952500,-0.1419393000,-0.0646524400,0.9877617000,-0.0222503400,0.0101415300,-0.0356555000,0.0532234300,-0.1066300000,0.9928733000,0.0000000000,
686134,1,1.0000000000,2.9822690000,-0.0284808200,0.0101230000,-0.0353868700,0.0772556700,-0.1117560000,0.9907281000,1,1.0000000000,2.7245030000,0.0273726400,0.0102804100,-0.0377823700,-0.1441057000,-0.0648048200,0.9874381000,-0.0233772600,0.0101373800,-0.0356057600,0.0571442700,-0.1076967000,0.9925402000,0.0000000000,
686142,1,1.0000000000,2.9609380000,-0.0284809700,0.0101218000,-0.0353868700,0.0744482000,-0.1112069000,0.9910048000,1,1.0000000000,2.7248840000,0.0273789500,0.0102787800,-0.0377703000,-0.1437379000,-0.0650788000,0.9874736000,-0.0238666400,0.0101347700,-0.0355837600,0.0565339500,-0.1075900000,0.9925867000,0.0000000000,
686150,1,1.0000000000,2.9611510000,-0.0284811900,0.0101217500,-0.0353868700,0.0741122100,-0.1114659000,0.9910008000,1,1.0000000000,2.7224880000,0.0273834400,0.0102740900,-0.0377527600,-0.1441673000,-0.0650645100,0.9874120000,-0.0239069100,0.0101342200,-0.0355806000,0.0563362600,-0.1078659000,0.9925680000,0.0000000000,
686159,1,1.0000000000,2.9836270000,-0.0284829300,0.0101202100,-0.0353911600,0.0750896300,-0.1143358000,0.9906003000,1,1.0000000000,2.7100070000,0.0273911000,0.0102705800,-0.0377394700,-0.1446544000,-0.0645756600,0.9873728000,-0.0231617700,0.0101345400,-0.0356147900,0.0542757800,-0.1098333000,0.9924670000,0.0000000000,
686167,1,1.0000000000,2.9885410000,-0.0284832600,0.0101202100,-0.0353924900,0.0752266600,-0.1154645000,0.9904589000,1,1.0000000000,2.7234340000,0.0273956500,0.0102651500,-0.0377214100,-0.1447769000,-0.0644843200,0.9873608000,-0.0216228500,0.0101380200,-0.0356784200,0.0483404000,-0.1095136000,0.9928092000,0.0000000000,
686175,1,1.0000000000,2.9859770000,-0.0284865600,0.0101188800,-0.0353975200,0.0770422000,-0.1150826000,0.9903638000,1,1.0000000000,2.7111050000,0.0273992200,0.0102565800,-0.0377161400,-0.1449893000,-0.0627137300,0.9874437000,-0.0193306300,0.0101414500,-0.0357773900,0.0408176400,-0.1068888000,0.9934328000,0.0000000000,
686184,1,1.0000000000,2.9893190000,-0.0284865900,0.0101165900,-0.0354065100,0.0794379900,-0.1140910000,0.9902893000,1,1.0000000000,2.7249910000,0.0274243200,0.0101585200,-0.0374130100,-0.1422433000,-0.0479739100,0.9886685000,-0.0222246600,0.0101212800,-0.0356312400,0.0547486600,-0.1069644000,0.9927544000,0.0000000000,
686192,1,1.0000000000,2.9894560000,-0.0284865900,0.0101134300,-0.0354127100,0.0794077300,-0.1134200000,0.9903688000,1,1.0000000000,2.6125030000,0.0274327100,0.0101022300,-0.0371361900,-0.1474615000,-0.0510255700,0.9877507000,-0.0278355000,0.0101133100,-0.0354327700,0.0767980000,-0.1127327000,0.9906530000,0.0000000000,
686200,1,1.0000000000,2.9891050000,-0.0284865900,0.0101133700,-0.0354200300,0.0795911200,-0.1129931000,0.9904028000,1,1.0000000000,2.7272640000,0.0274363100,0.0100770700,-0.0370153800,-0.1473853000,-0.0583803800,0.9873547000,-0.0284363100,0.0101133400,-0.0354214600,0.0793920200,-0.1129463000,0.9904242000,0.0000000000,
686209,1,1.0000000000,2.9889980000,-0.0284903700,0.0101129200,-0.0354200300,0.0812383500,-0.1137703000,0.9901801000,1,1.0000000000,2.6972350000,0.0274365400,0.0100535600,-0.0369028000,-0.1452348000,-0.0590064000,0.9876361000,-0.0284839200,0.0101129200,-0.0354202000,0.0812080300,-0.1137706000,0.9901825000,0.0000000000,
686217,1,1.0000000000,2.9850770000,-0.0284912400,0.0101126900,-0.0354241400,0.0808108700,-0.1134343000,0.9902536000,1,1.0000000000,2.8043370000,0.0274372100,0.0100054500,-0.0366785600,-0.1461348000,-0.0719764000,0.9866428000,-0.0284902500,0.0101126900,-0.0354241700,0.0807957100,-0.1134344000,0.9902548000,0.0000000000,
686225,1,1.0000000000,2.9603120000,-0.0284937900,0.0101114700,-0.0354408700,0.0810859100,-0.1122599000,0.9903650000,1,1.0000000000,2.7534480000,0.0274375200,0.0101566600,-0.0373276500,-0.1493995000,-0.0718234600,0.9861649000,-0.0284908800,0.0101114700,-0.0354409700,0.0810707400,-0.1122600000,0.9903662000,0.0000000000,
686234,1,1.0000000000,2.9609530000,-0.0284949200,0.0101114700,-0.0354465400,0.0788887800,-0.1117871000,0.9905959000,1,1.0000000000,2.7172700000,0.0274371400,0.0101528500,-0.0373126500,-0.1496585000,-0.0682984900,0.9863760000,-0.0284850600,0.0101114800,-0.0354468600,0.0788434200,-0.1117724000,0.9906011000,0.0000000000,
