phase,trial,magnification,head_amp,eye_amp
baseline,0,1.04,19.370946739583857,18.82672468643766
baseline,1,0.95,18.053202005317182,16.27980978353629
baseline,2,1.0,18.866300350436845,17.335188851366496
baseline,3,1.0,19.74804946933456,18.526720043706426
baseline,4,1.12,19.355690483717304,14.622102956545172
baseline,5,1.12,17.40909829024752,17.92627307879749
baseline,6,0.95,16.876499834725298,13.068561488536782
baseline,7,0.9,17.460056685689853,14.174999143484813
baseline,8,0.8,13.607239419459267,10.372822910456524
baseline,9,1.08,16.15634293072519,12.867904103839393
baseline,10,1.12,17.433450249425523,18.429856851787896
baseline,11,0.95,18.36460408409385,15.536170662094541
baseline,12,1.08,19.96174640888361,20.012681440001305
baseline,13,1.04,20.594053498433283,18.751283068030254
baseline,14,0.95,18.802897472910175,17.00141548853588
baseline,15,1.12,17.83943682411613,18.56925512038884
baseline,16,0.85,19.056060537745907,15.497326531691618
baseline,17,0.95,18.643945156134713,15.313138856297975
baseline,18,1.0,18.14525775046212,15.42883123655993
baseline,19,1.08,17.61249915467808,14.601166842298884
baseline,20,1.08,17.981232776361672,14.726619272248648
baseline,21,1.12,16.805935069309662,16.609863634012285
baseline,22,1.0,16.80528152593994,14.388172823643858
baseline,23,0.9,16.09876520876211,14.134848339596918
baseline,24,1.12,15.682466323736392,14.46380187746689
baseline,25,0.95,19.677791443235524,16.682280145604125
baseline,26,1.04,17.82553250487278,15.631720870538167
baseline,27,1.04,16.064084401752545,12.933752035817989
baseline,28,1.0,16.261934891687076,14.73917192219893
baseline,29,1.08,16.106966430258026,15.026799123394044
baseline,30,0.9,20.105145543848128,15.529504039581472
baseline,31,1.0,19.551368818951083,17.99935167748302
baseline,32,1.16,16.40437574699078,15.604498436247898
baseline,33,0.85,18.045023803630613,13.153135221911777
baseline,34,1.04,16.876307973631693,14.084171580108151
baseline,35,1.04,15.345535037800015,13.47070606491114
baseline,36,0.95,16.61358779364452,14.953585864065182
baseline,37,0.9,23.13381988326064,18.68456754458816
baseline,38,1.04,20.14155737339367,19.155211697667482
baseline,39,1.2,19.9858582885203,20.343645276249866
baseline,40,1.2,17.779350081023342,19.18742192462085
baseline,41,0.9,19.204933632835903,14.94957309012381
baseline,42,0.8,17.38215898630264,13.255418826419572
baseline,43,1.12,17.32004357936608,17.153718506941278
baseline,44,1.08,17.058744806375543,15.048620514849782
baseline,45,1.04,17.620682885104724,14.304766412487561
baseline,46,0.9,17.302536972859457,13.725566394792759
baseline,47,1.0,18.843762981485803,16.572517835559765
baseline,48,0.9,16.236711027036723,12.657383414846931
baseline,49,1.16,17.439954055622277,18.583288593650813
baseline,50,1.0,19.451140024203887,17.748641868500926
baseline,51,0.95,20.287644173960878,18.93217795223919
baseline,52,0.9,20.758224927806058,15.256761429247675
baseline,53,1.08,18.670360089074627,18.43455706106022
baseline,54,1.12,17.41468808596496,14.763150660905206
baseline,55,1.08,20.388693777124537,20.130787943468107
aftereffect,0,0.95,18.368341476231343,15.771129559990118
aftereffect,1,1.08,20.297712805238493,19.783753694045384
aftereffect,2,1.0,19.088622667498996,14.638119796601458
aftereffect,3,0.85,19.410863301595434,16.19628079771571
aftereffect,4,1.0,18.490048100818335,15.882380606044535
aftereffect,5,1.12,19.918453429148073,18.048873978024837
aftereffect,6,1.0,20.136763895464274,18.471461216232303
aftereffect,7,0.95,17.50734032595542,14.286554902641372
aftereffect,8,1.04,16.094733983527032,15.895789847287944
aftereffect,9,1.08,16.170986054939398,13.695346879452224
aftereffect,10,0.8,19.181277972173163,14.853684858616607
aftereffect,11,1.16,16.62196606244391,17.85916671970102
aftereffect,12,1.12,16.863511746234728,16.883368857358878
aftereffect,13,1.2,15.862204648752147,17.59693693847766
aftereffect,14,0.9,14.747075425506402,12.261509821655729
aftereffect,15,1.08,13.486174790320835,14.044184815673121
aftereffect,16,0.95,17.01964283199664,15.223100319996728
aftereffect,17,0.95,16.71063453580091,13.131521176966357
aftereffect,18,0.9,16.383299227984587,13.448576543713974
aftereffect,19,0.95,15.861001213282208,13.399791673670673
aftereffect,20,0.95,15.043936583930536,12.80908902987322
aftereffect,21,1.04,16.318854970018723,13.71061043907374
aftereffect,22,0.85,16.92239335873075,10.852409813861033
