phase,round,t_start_s,t_mid_s,duration_s,head_amp,eye_amp,gain_paired,gain_lstsq,gain
baseline,0,25.718380000000003,40.741935000000005,30.047110000000004,44.75134563087529,32.09370480846927,0.7171561962223291,-0.16590202659993064,-0.16590202659993064
baseline,1,84.14269000000002,99.15859000000002,30.031800000000004,35.93287197496487,44.11053642155947,1.227581709925445,-0.11168832010205192,-0.11168832010205192
baseline,2,145.75199,160.76714,30.03030000000001,42.49921280412707,15.818275251948508,0.3722016058239179,-0.18990782095563907,-0.18990782095563907
baseline,3,202.68198999999998,217.69384,30.02370000000002,27.8257442098752,31.251877119628485,1.1231281680702494,-0.18790216056420633,-0.18790216056420633
baseline,4,262.66749,277.69189,30.04880000000003,55.04604049986273,41.20519735003463,0.7485587878048628,-0.18213148066448176,-0.18213148066448176
baseline,5,319.33069,334.34974,30.038099999999986,42.98170228523339,26.54178036712761,0.6175134756411496,-0.1856860858218118,-0.1856860858218118
baseline,6,378.97669,393.98809000000006,30.022800000000018,41.60236739392623,42.218368857733495,1.014806884857644,-0.15597307966623852,-0.15597307966623852
baseline,7,442.64119,457.65344,30.02449999999999,51.339564518369734,55.232906943463696,1.0758351275788653,-0.12976564588073705,-0.12976564588073705
baseline,8,503.79869,518.81924,30.04109999999997,44.084558695385084,31.48898312626294,0.7142860007705898,-0.12674550717520294,-0.12674550717520294
baseline,9,565.94639,580.97444,30.056100000000015,46.208249037566084,35.78918448284152,0.7745193818910096,-0.1355568840278867,-0.1355568840278867
baseline,10,631.07529,646.09274,30.034899999999993,28.865132521728697,49.146705768509364,1.7026322581929385,-0.14846273044738573,-0.14846273044738573
aftereffect,0,26.894999999999982,41.927499999999895,30.064999999999827,31.591509574453834,40.06167003313327,1.2681150908194887,-0.1460643858837881,-0.1460643858837881
aftereffect,1,84.97899999999981,99.99399999999991,30.0300000000002,46.37276347636286,20.765320709084843,0.44779131439232317,-0.16965613109037928,-0.16965613109037928
aftereffect,2,143.22299999999996,158.2399999999999,30.033999999999878,47.676925047897235,24.946409777647965,0.5232386474712092,-0.21066022180077432,-0.21066022180077432
aftereffect,3,204.81600000000003,219.82799999999997,30.023999999999887,52.462957385563776,33.45954114909043,0.637774590234928,-0.21262760933154704,-0.21262760933154704
aftereffect,4,263.85000000000014,278.86349999999993,30.02699999999959,41.77751029345304,20.13930105983918,0.4820608245531379,-0.19757222057441662,-0.19757222057441662
aftereffect,5,326.82500000000005,341.837,30.023999999999887,36.55651270405007,37.217383195832426,1.0180780507465947,-0.1798651134998488,-0.1798651134998488
aftereffect,6,386.914,401.9269999999999,30.02599999999984,36.64470239463134,32.17377960918249,0.8779926566928848,-0.1430875726183759,-0.1430875726183759
aftereffect,7,454.432,469.44900000000007,30.034000000000106,37.51533822654778,31.701528225805284,0.8450284530120976,-0.15166170500352413,-0.15166170500352413
aftereffect,8,513.2969999999998,528.3084999999999,30.02300000000014,60.41434143366976,21.847798280993935,0.3616326481847214,-0.16519687760979987,-0.16519687760979987
aftereffect,9,575.392,590.4034999999999,30.022999999999683,45.85099141935367,29.170091865879368,0.6361932635019686,-0.1960470231023083,-0.1960470231023083
aftereffect,10,634.4280000000001,649.443,30.029999999999745,49.512354433911895,14.586320340081377,0.2945996106800154,-0.148963224151083,-0.148963224151083
