phase,trial,magnification,head_amp,eye_amp,gain_paired,gain_lstsq,offset_lstsq
baseline,0,0.95,16.773383802217744,10.469206194126805,0.6241558839631742,0.37113301669797044,-0.7589115156704276
baseline,1,1.0,22.362991286934648,11.74375074463032,0.5251422134878481,0.3565849678292879,0.5481617241974057
baseline,2,1.0,20.014618180797438,8.745383653617884,0.4369498121132503,0.2202327461751662,0.8050679033656115
baseline,3,1.04,22.364719562375893,10.974392632031117,0.49070110633058456,-0.023586496052784078,0.07661906130537259
baseline,4,0.85,26.519358864249917,16.688723665371725,0.6293034364367449,0.21402348672138238,0.13281036667518656
baseline,5,1.12,21.2472247913464,17.64241800421056,0.8303398762644987,0.26119409649397096,0.09044771403925601
baseline,6,1.04,24.58365004786022,6.637300294790793,0.26998839805598795,-0.16763715586857503,-1.3453573886764019
baseline,7,0.9,18.21274090667923,13.28086524610726,0.7292073891654999,0.1325003593311101,-3.2088019229098483
baseline,8,1.0,20.319971339183446,6.396314594889139,0.31477970554786094,-0.16713283972548018,1.014728925367221
baseline,9,1.04,18.963915750734614,10.170352074024725,0.5363002139276405,0.20054671125094856,-1.6916118371110538
baseline,10,0.95,18.505515710741953,8.907689954173723,0.48135324048294686,0.19443804730075032,-3.3002119895689512
baseline,11,1.04,18.224484219085113,10.295425388575826,0.5649227305864828,0.11085841150691123,-2.2998368770555833
baseline,12,1.08,20.12868935564479,10.605076652832865,0.5268637448497773,0.14075703732093303,-1.7805992889867825
baseline,13,1.04,18.74962713936695,7.06899748419098,0.3770206965528837,0.029572873145195817,-2.928268526519385
baseline,14,1.0,18.31972688552801,13.051330675315468,0.7124195004034474,0.6440737855985907,0.8086417210048575
baseline,15,1.08,20.238697302772103,17.954413998707476,0.8871328885505023,0.8400325726487361,1.0734097921735317
baseline,16,0.95,19.45272195395098,14.632599598870435,0.7522134760116927,0.6601717783334942,-4.36407025872142
baseline,17,1.12,18.577982723377684,17.2149551539304,0.9266321004953831,0.7969319777502488,-2.252725109967519
baseline,18,0.85,18.63513986399501,14.447127263280542,0.7752626150766845,0.7560223114393155,-0.576106795034764
baseline,19,1.08,20.491913796707134,18.60295873929542,0.9078194903535437,0.8125266283641221,-1.798543154721888
baseline,20,1.08,21.263734779228074,18.329218494380047,0.8619943149538024,0.7268107299221869,3.2465813161673207
baseline,21,1.0,19.614359488850138,16.94677282853077,0.8639982783105525,0.8043105138179886,0.5462101732077472
baseline,22,1.04,20.90268999513828,19.937483410559288,0.9538238100070618,0.871891030142049,-2.1645395088253503
baseline,23,1.08,16.983347379903147,15.001891894469928,0.8833295085409412,0.7357928792370124,-1.5744152802226292
baseline,24,1.16,14.808002355918909,14.785343950157348,0.9984698539872595,1.0002563547755268,-2.0603269252673075
baseline,25,0.9,22.373641479998195,15.334694773853041,0.6853911012904225,0.7017737196152805,1.166264318831399
baseline,26,1.12,21.118379834792393,18.335381135163562,0.8682191190138621,0.8921381314194683,-0.31501482531930863
baseline,27,0.9,16.77907353427743,11.850510635191233,0.7062672805493226,0.6656647568112077,-2.7719795069291626
baseline,28,0.8,16.75704239427277,12.88469878765317,0.7689124658452203,0.6865211317853757,-2.2157482042955468
baseline,29,1.0,17.541913256877727,14.982331282855824,0.8540876393275769,0.8828380732813659,-0.15987583509637424
baseline,30,1.12,14.652680406774932,11.273720025713597,0.7693964321026882,0.35564946732424246,-1.9446986769685344
baseline,31,0.95,19.13197376745816,13.332636150502864,0.6968771916873799,0.6666100197178978,-2.4201531859569445
baseline,32,1.12,19.07044239128053,14.741745210790942,0.7730153767975109,0.6862666555906853,0.6876859575168789
baseline,33,1.08,19.528320142586736,16.898327234732022,0.8653241605703038,0.8756276115843696,-0.5345915473862832
baseline,34,1.12,18.043548890971294,16.722225171458685,0.9267702973790384,0.9395563957684132,-0.4866205585533256
baseline,35,0.9,19.37916874100998,14.096384370306401,0.7273988146083784,0.6418634078530676,-0.48905244698410144
baseline,36,0.95,16.800512802044313,13.925953647420275,0.8289005110442667,0.78674061344615,-0.9213918387487723
baseline,37,1.12,15.484505796645195,10.319612836530219,0.6664476717601165,0.5002317013749169,-3.0950480701056775
baseline,38,1.04,14.486841436311478,12.680102915519944,0.8752841653762484,0.8351904623432653,-0.6627140555307263
baseline,39,0.95,17.284398865675804,14.990104676843544,0.8672621358334665,0.6387633621834024,-3.261701681548008
baseline,40,1.0,17.4905438511375,14.922667788091932,0.8531848932256864,0.8122624357453526,-2.4756765538928196
baseline,41,0.95,18.298399724467295,15.50659722035897,0.8474291442887583,0.8050487476671984,-1.4787540160498027
baseline,42,1.08,18.786053020117826,18.014851296980886,0.9589481770166907,0.8379321481530295,0.036953964596966246
baseline,43,1.0,19.686003247272904,15.469680390613883,0.7858212861341924,0.7926169392966841,0.36727763286822107
baseline,44,0.9,19.80799816651382,15.470574315603896,0.7810266431545564,0.372881829722149,-2.069667297616803
baseline,45,1.2,18.058180826697814,16.472842685835555,0.9122094215316283,0.900275295452594,-1.8337236816112208
baseline,46,1.16,16.853114432475387,12.611773616353913,0.7483348948281896,0.5518608507048327,-1.9390972059786913
baseline,47,0.95,15.875605441371242,13.582968142578935,0.8555874100512867,0.8074337708322252,-0.9126391415079413
baseline,48,0.8,16.70624034973254,10.056029678399206,0.6019325394513553,0.6364956021978855,-1.2746433327670896
baseline,49,1.04,19.444375511592675,16.224242645318565,0.8343925797794701,0.8744814084047711,-1.7143268385652561
baseline,50,0.9,23.864288755934574,15.73191270335992,0.6592240340474302,0.6695243365397158,-1.5898393819945302
baseline,51,0.9,20.211927425924987,13.907894442272802,0.6881033238044251,0.6754086575403058,0.25254009155734464
baseline,52,0.9,18.817061766862583,11.857980428039655,0.6301717332363715,0.5630519078225231,-2.4478616594532356
baseline,53,1.08,19.68359630115163,14.467026768822706,0.7349788396125703,0.6870909340993366,-3.5122981377242657
baseline,54,1.12,16.565637449753737,15.082897280966215,0.9104930206709574,0.8327761223734912,-2.788324477935876
baseline,55,1.2,14.464882695228095,14.654861441551347,1.01313379101138,1.0531035558189297,-0.9740761691126069
aftereffect,0,0.9,18.024680041902734,14.29052250423565,0.7928308558606239,0.7624680662857011,-0.14980655962922482
aftereffect,1,0.95,19.456929471059638,16.837822003866364,0.8653894762229081,0.8630952331814549,0.23353698849337193
aftereffect,2,1.04,19.99599461783151,17.94941486270044,0.8976505148032985,0.832444920177159,-2.9247162597832603
aftereffect,3,0.9,17.559879420881458,13.440835938477337,0.7654287148745491,0.6946002347197796,-0.6713117790404278
aftereffect,4,1.0,16.751548564811106,13.618260654539242,0.8129553277925744,0.6810534574843554,-0.07666889298647778
aftereffect,5,1.08,16.705831573185552,16.564303279096034,0.9915282101660425,0.937367122235002,0.8744419984926544
aftereffect,6,1.0,16.29097558588498,13.693511275517409,0.8405580871032613,0.7766303164970969,-0.7413015457337965
aftereffect,7,1.04,16.12384545331375,13.020535972133636,0.807532918238042,0.6868847361778776,2.0567806727927014
aftereffect,8,0.9,15.348487575828695,13.589577950135416,0.8854017624209913,0.7909395022302117,-0.1075593726903386
aftereffect,9,0.8,16.190781718391,11.036392349617355,0.6816466642300038,0.6591911999423631,-0.9100026008587045
aftereffect,10,1.12,18.75241611714223,18.71930230745279,0.9982341576955959,0.9761774589420535,-0.22434101325594602
aftereffect,11,1.04,18.265385336059282,15.754480712953885,0.8625320749106562,0.8784278866415796,-1.3007706506206334
aftereffect,12,1.08,14.696011429381688,14.143569029807685,0.9624086846809667,0.942950743393314,-0.9062247726190195
aftereffect,13,1.04,14.139563789306157,12.882855674363654,0.9111211538298686,0.8660772031127855,0.49495797742298553
aftereffect,14,0.9,16.16467845737638,12.666389541407899,0.7835843796588409,0.7605813404894075,-1.0000177785952604
aftereffect,15,1.08,16.269229316641145,15.929090138741442,0.979093098309716,0.8705327596613319,1.3629690529287073
aftereffect,16,0.95,19.961779885803264,16.63901638258709,0.8335437259490418,0.8180563169254652,-1.0432964632270678
aftereffect,17,0.95,15.003459961204218,12.744752743964662,0.8494542443489638,0.7798954903383869,-2.5409480894315117
aftereffect,18,1.0,15.766443089525476,12.781452588856537,0.8106744505580948,0.6958850944789976,-1.2792325818233523
aftereffect,19,0.95,17.843614191783864,14.16196736754194,0.7936714622569486,0.7582436168590134,0.0068388984609709155
aftereffect,20,1.12,16.68816377860008,15.945790678777964,0.9555149919625014,0.989666182567097,0.3455139483055506
aftereffect,21,1.04,17.14877730698459,16.088014531915583,0.9381435331464146,0.913331192231539,-0.6393713884841565
aftereffect,22,0.95,15.501444890101322,13.09936525233412,0.845041565170413,0.8309670222763963,0.45830485901096313
aftereffect,23,1.12,14.641942692497176,12.986334994872701,0.8869270470186418,0.7904339215036973,-0.3411167341728873
aftereffect,24,1.08,15.874503362366875,14.350638511036369,0.9040055101854034,0.8975149218782168,-0.47793814561691234
aftereffect,25,1.2,16.07994279681577,15.122922963570957,0.9404836294918706,0.9557603323427379,-0.5722242396719784
aftereffect,26,1.0,16.51199592022092,11.910895201249836,0.721347998073541,0.7092378045624601,-1.4349151189954044
aftereffect,27,1.08,15.448058460749229,14.128531074960014,0.9145829626977462,0.8734870733576253,0.7316752162148544
