phase,trial,magnification,delay_ms
baseline,0,0.95,-204.82124248496896
baseline,1,1.0,-240.1098196392769
baseline,2,1.0,-207.8410821643303
baseline,3,1.04,-210.38236472946042
baseline,4,0.85,-269.7875751503002
baseline,5,1.12,-262.25170340681524
baseline,6,1.04,-295.9899799599188
baseline,7,0.9,-299.7545090180365
baseline,8,1.0,-298.5677354709457
baseline,9,1.04,-279.3811623246465
baseline,10,0.95,-222.5945891783574
baseline,11,1.04,-295.7366733466883
baseline,12,1.08,-279.6601202404796
baseline,13,1.04,-298.32705410822325
baseline,14,1.0,-42.46172344689334
baseline,15,1.08,-69.79238476953891
baseline,16,0.95,-79.57094188376784
baseline,17,1.12,-81.35470941883858
baseline,18,0.85,-37.75851703406767
baseline,19,1.08,-112.96192384769621
baseline,20,1.08,-117.18797595190455
baseline,21,1.0,-73.12244488978168
baseline,22,1.04,-93.74609218436972
baseline,23,1.08,-56.42805611222536
baseline,24,1.16,-70.07915831663288
baseline,25,0.9,-47.29178356713388
baseline,26,1.12,-89.32224448897692
baseline,27,0.9,-71.39278557114228
baseline,28,0.8,-41.92785571142244
baseline,29,1.0,-76.70140280560916
baseline,30,1.12,-292.09619238477205
baseline,31,0.95,-145.11823647294358
baseline,32,1.12,-101.18236472945848
baseline,33,1.08,-86.52264529058073
baseline,34,1.12,-97.02444889779449
baseline,35,0.9,-119.89478957915622
baseline,36,0.95,-82.4585170340681
baseline,37,1.12,-134.95470941884037
baseline,38,1.04,-61.23426853707338
baseline,39,0.95,-130.76673346693303
baseline,40,1.0,-122.9819639278565
baseline,41,0.95,-67.21843687374732
baseline,42,1.08,-90.18236472945911
baseline,43,1.0,-77.01983967935989
baseline,44,0.9,-201.08657314629133
baseline,45,1.2,-106.96733466933917
baseline,46,1.16,-158.3486973947879
baseline,47,0.95,-92.10020040080153
baseline,48,0.8,-66.27494989980023
baseline,49,1.04,-76.0480961923854
baseline,50,0.9,-86.51302605210437
baseline,51,0.9,-43.79158316633057
baseline,52,0.9,-61.9899799599212
baseline,53,1.08,-113.19639278556593
baseline,54,1.12,-98.05611222444588
baseline,55,1.2,-111.52905811623707
aftereffect,0,0.9,-53.166332665330145
aftereffect,1,0.95,-33.78757515029994
aftereffect,2,1.04,-116.76553106212712
aftereffect,3,0.9,-41.543086172343784
aftereffect,4,1.0,-140.92184368737418
aftereffect,5,1.08,-80.48897795590587
aftereffect,6,1.0,-42.66132264529333
aftereffect,7,1.04,-92.95390781562496
aftereffect,8,0.9,-44.168336673345706
aftereffect,9,0.8,-67.32064128256482
aftereffect,10,1.12,-56.651302605211804
aftereffect,11,1.04,-84.95791583166925
aftereffect,12,1.08,-85.27054108216652
aftereffect,13,1.04,-104.15631262525173
aftereffect,14,0.9,-66.2825651302638
aftereffect,15,1.08,-94.28256513026422
aftereffect,16,0.95,-55.72745490982145
aftereffect,17,0.95,-41.48296593186701
aftereffect,18,1.0,-94.59519038076968
aftereffect,19,0.95,-52.0581162324683
aftereffect,20,1.12,-79.73346693387191
aftereffect,21,1.04,-80.90180360721604
aftereffect,22,0.95,-63.935871743491525
aftereffect,23,1.12,-116.34468937876215
aftereffect,24,1.08,-74.27254509017925
aftereffect,25,1.2,-97.72144288577685
aftereffect,26,1.0,-65.5971943887724
aftereffect,27,1.08,-83.78356713426669
aftereffect,28,1.04,-72.96593186372627
aftereffect,29,0.85,-93.73547094188264
aftereffect,30,1.0,-90.63527054108918
aftereffect,31,1.12,-48.31262525050045
aftereffect,32,1.12,-107.19038076151814
aftereffect,33,1.12,-79.67935871743714
aftereffect,34,0.95,-85.92384769538747
aftereffect,35,1.12,-88.78557114229386
aftereffect,36,0.95,-51.95991983968186
aftereffect,37,0.95,-60.49298597194328
aftereffect,38,0.9,-53.965931863730354
aftereffect,39,1.16,-93.1623246492937
aftereffect,40,1.04,-81.18837675350684
aftereffect,41,0.85,-50.62124248497038
aftereffect,42,0.9,-66.67334669338219
aftereffect,43,1.08,-60.92184368737037
aftereffect,44,1.04,-72.72545090181083
aftereffect,45,0.8,-55.79158316633114
aftereffect,46,1.0,-103.45290581162334
aftereffect,47,1.16,-90.34869739479105
aftereffect,48,1.08,-112.63527054109113
aftereffect,49,1.0,-85.25050100201125
aftereffect,50,0.9,-59.62324649298678
aftereffect,51,0.9,-50.51503006011544
aftereffect,52,1.2,-92.4248496994004
aftereffect,53,1.08,-64.26252505010207
aftereffect,54,1.12,-94.38877755511459
aftereffect,55,1.0,-74.92785571142035
