phase,round,t_start_s,t_mid_s,duration_s,head_amp,eye_amp,gain
baseline,0,46.33080000000001,61.35055,30.039499999999975,54.01760923805943,17.431930548812264,0.32270829447465016
baseline,1,103.89870000000002,118.92929999999998,30.06119999999993,47.89530930048125,25.164096112978967,0.5253979247760306
baseline,2,165.31529999999998,180.33074999999997,30.030899999999974,53.90536712572292,30.0708042489629,0.5578443456071652
baseline,3,235.29949999999997,250.32524999999998,30.051500000000033,52.47289765547254,14.964730562433248,0.2851897118525631
baseline,4,296.0996,311.11485,30.03049999999996,50.7595321711953,25.305442580522342,0.4985357724569911
baseline,5,356.3913,371.4036,30.024599999999964,45.95241774468124,43.97351988363897,0.9569359359492827
baseline,6,418.154,433.1699,30.031799999999976,39.38747228102184,49.111494189562634,1.2468810854162413
baseline,7,480.7269,495.7416,30.02940000000001,45.06428615177741,33.01128286695269,0.7325375743392458
baseline,8,541.6993,556.71535,30.032100000000014,52.18427249449776,31.080215450521926,0.5955858722338034
baseline,9,603.7893,618.8005499999999,30.022499999999923,46.09778930934009,24.962643648145498,0.5415149841705685
baseline,10,665.8628000000001,680.8753,30.024999999999864,42.92955315103186,24.290260274438893,0.5658167507353858
aftereffect,0,29.246000000000095,44.258000000000266,30.024000000000342,51.70528414851319,21.580217671201662,0.4173696755870591
aftereffect,1,90.35100000000011,105.36350000000016,30.02500000000009,51.61107546357867,18.657528524441304,0.361502417007522
aftereffect,2,154.26900000000023,169.29350000000022,30.048999999999978,48.40476425937666,42.891841283655374,0.8861078437200867
aftereffect,3,214.22400000000016,229.23550000000023,30.02300000000014,50.10212821629331,19.084226170936,0.38090649739564897
aftereffect,4,276.1590000000001,291.18650000000025,30.05500000000029,53.08336819444472,12.192422182315399,0.22968441146489568
aftereffect,5,336.3290000000002,351.34550000000013,30.0329999999999,49.23428142962358,27.56730513328147,0.559920939898081
aftereffect,6,395.5170000000003,410.53250000000025,30.03099999999995,65.01494746352721,31.67359687252803,0.4871740747048458
aftereffect,7,457.49800000000005,472.51750000000015,30.039000000000215,52.80153678851326,27.733302095081484,0.525236646163578
aftereffect,8,517.277,532.2920000000001,30.0300000000002,50.92353630368833,30.50286647466612,0.598993484913514
aftereffect,9,612.5510000000004,627.5635000000002,30.024999999999636,50.77617367885818,20.17630546622506,0.39735773699359955
aftereffect,10,672.0600000000004,687.0745000000004,30.028999999999996,59.5989503061528,21.883470149575103,0.3671787848135293
