unity_timestamp,eye_timestamp,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,messages,
2390.3160000000,621979,0.3185053000,1.2520530000,0.1819353000,0.1559367000,0.5835804000,-0.0376983800,-0.7960507000,0.3185053000,1.2520530000,0.1819353000,0.1559367000,0.5835804000,-0.0376983800,-0.7960507000,0.3185053000,1.2520530000,0.1819353000,0.1559367000,0.5835804000,-0.0376983800,-0.7960507000,,
2390.3570000000,621979,0.3172450000,1.2512720000,0.1797109000,0.1566615000,0.5951362000,-0.0418028800,-0.7870976000,0.3172450000,1.2512720000,0.1797109000,0.1566615000,0.5951362000,-0.0418028800,-0.7870976000,0.3172450000,1.2512720000,0.1797109000,0.1566615000,0.5951362000,-0.0418028800,-0.7870976000,,
2390.3640000000,621979,0.3172841000,1.2512390000,0.1797180000,0.1565594000,0.5951334000,-0.0418305100,-0.7871186000,0.3172841000,1.2512390000,0.1797180000,0.1565594000,0.5951334000,-0.0418305100,-0.7871186000,0.3172841000,1.2512390000,0.1797180000,0.1565594000,0.5951334000,-0.0418305100,-0.7871186000,,
2390.3720000000,621979,0.3127985000,1.2482380000,0.1721783000,0.1549671000,0.6327441000,-0.0561754300,-0.7566138000,0.3127985000,1.2482380000,0.1721783000,0.1549671000,0.6327441000,-0.0561754300,-0.7566138000,0.3127985000,1.2482380000,0.1721783000,0.1549671000,0.6327441000,-0.0561754300,-0.7566138000,,
2390.3890000000,621979,0.3144364000,1.2485960000,0.1746607000,0.1530488000,0.6211212000,-0.0527726200,-0.7668113000,0.3144364000,1.2485960000,0.1746607000,0.1530488000,0.6211212000,-0.0527726200,-0.7668113000,0.3144364000,1.2485960000,0.1746607000,0.1530488000,0.6211212000,-0.0527726200,-0.7668113000,,
2390.3960000000,621979,0.3140175000,1.2478820000,0.1738110000,0.1514350000,0.6256832000,-0.0552214300,-0.7632421000,0.3140175000,1.2478820000,0.1738110000,0.1514350000,0.6256832000,-0.0552214300,-0.7632421000,0.3140175000,1.2478820000,0.1738110000,0.1514350000,0.6256832000,-0.0552214300,-0.7632421000,,
2390.4580000000,622021,0.3140085000,1.2469540000,0.1735711000,0.1485860000,0.6274412000,-0.0580704600,-0.7621467000,0.3140085000,1.2469540000,0.1735711000,0.1485860000,0.6274412000,-0.0580704600,-0.7621467000,0.3140085000,1.2469540000,0.1735711000,0.1485860000,0.6274412000,-0.0580704600,-0.7621467000,,
2390.4630000000,622021,0.3129747000,1.2436450000,0.1706250000,0.1393558000,0.6424375000,-0.0694104000,-0.7503574000,0.3129747000,1.2436450000,0.1706250000,0.1393558000,0.6424375000,-0.0694104000,-0.7503574000,0.3129747000,1.2436450000,0.1706250000,0.1393558000,0.6424375000,-0.0694104000,-0.7503574000,,
2390.4710000000,622021,0.3126130000,1.2417070000,0.1692011000,0.1332841000,0.6498867000,-0.0752264700,-0.7444620000,0.3126130000,1.2417070000,0.1692011000,0.1332841000,0.6498867000,-0.0752264700,-0.7444620000,0.3126130000,1.2417070000,0.1692011000,0.1332841000,0.6498867000,-0.0752264700,-0.7444620000,,
2390.4820000000,622021,0.3129218000,1.2424160000,0.1698909000,0.1354191000,0.6463256000,-0.0728421800,-0.7474082000,0.3129218000,1.2424160000,0.1698909000,0.1354191000,0.6463256000,-0.0728421800,-0.7474082000,0.3129218000,1.2424160000,0.1698909000,0.1354191000,0.6463256000,-0.0728421800,-0.7474082000,,
2390.4930000000,622021,0.3129277000,1.2419440000,0.1697059000,0.1339034000,0.6475684000,-0.0741661600,-0.7464747000,0.3129277000,1.2419440000,0.1697059000,0.1339034000,0.6475684000,-0.0741661600,-0.7464747000,0.3129277000,1.2419440000,0.1697059000,0.1339034000,0.6475684000,-0.0741661600,-0.7464747000,,
2390.5110000000,622071,0.3130701000,1.2416260000,0.1696088000,0.1332095000,0.6483478000,-0.0750836100,-0.7458304000,0.3130701000,1.2416260000,0.1696088000,0.1332095000,0.6483478000,-0.0750836100,-0.7458304000,0.3130701000,1.2416260000,0.1696088000,0.1332095000,0.6483478000,-0.0750836100,-0.7458304000,,
2390.5160000000,622071,0.3130877000,1.2411660000,0.1693320000,0.1319892000,0.6498850000,-0.0764589500,-0.7445686000,0.3130877000,1.2411660000,0.1693320000,0.1319892000,0.6498850000,-0.0764589500,-0.7445686000,0.3130877000,1.2411660000,0.1693320000,0.1319892000,0.6498850000,-0.0764589500,-0.7445686000,,
2390.5380000000,622071,0.3133051000,1.2410160000,0.1691308000,0.1319489000,0.6508663000,-0.0763272000,-0.7437317000,0.3133051000,1.2410160000,0.1691308000,0.1319489000,0.6508663000,-0.0763272000,-0.7437317000,0.3133051000,1.2410160000,0.1691308000,0.1319489000,0.6508663000,-0.0763272000,-0.7437317000,,
2390.5500000000,622071,0.3135781000,1.2400710000,0.1683247000,0.1299275000,0.6552259000,-0.0783532900,-0.7400396000,0.3135781000,1.2400710000,0.1683247000,0.1299275000,0.6552259000,-0.0783532900,-0.7400396000,0.3135781000,1.2400710000,0.1683247000,0.1299275000,0.6552259000,-0.0783532900,-0.7400396000,,
2390.5610000000,622188,0.3137164000,1.2402780000,0.1683626000,0.1306524000,0.6553453000,-0.0777348100,-0.7398715000,0.3137164000,1.2402780000,0.1683626000,0.1306524000,0.6553453000,-0.0777348100,-0.7398715000,0.3137164000,1.2402780000,0.1683626000,0.1306524000,0.6553453000,-0.0777348100,-0.7398715000,,
2390.5830000000,622188,0.3140209000,1.2402210000,0.1682644000,0.1307620000,0.6570259000,-0.0776457800,-0.7383695000,0.3140209000,1.2402210000,0.1682644000,0.1307620000,0.6570259000,-0.0776457800,-0.7383695000,0.3140209000,1.2402210000,0.1682644000,0.1307620000,0.6570259000,-0.0776457800,-0.7383695000,,
2390.5880000000,622188,0.3142943000,1.2400390000,0.1680899000,0.1304918000,0.6584950000,-0.0779025400,-0.7370804000,0.3142943000,1.2400390000,0.1680899000,0.1304918000,0.6584950000,-0.0779025400,-0.7370804000,0.3142943000,1.2400390000,0.1680899000,0.1304918000,0.6584950000,-0.0779025400,-0.7370804000,,
2390.5930000000,622188,0.3145773000,1.2398700000,0.1679451000,0.1303634000,0.6599184000,-0.0781752000,-0.7358001000,0.3145773000,1.2398700000,0.1679451000,0.1303634000,0.6599184000,-0.0781752000,-0.7358001000,0.3145773000,1.2398700000,0.1679451000,0.1303634000,0.6599184000,-0.0781752000,-0.7358001000,,
2390.6150000000,622188,0.3149722000,1.2399180000,0.1680810000,0.1304663000,0.6605253000,-0.0780802800,-0.7352471000,0.3149722000,1.2399180000,0.1680810000,0.1304663000,0.6605253000,-0.0780802800,-0.7352471000,0.3149722000,1.2399180000,0.1680810000,0.1304663000,0.6605253000,-0.0780802800,-0.7352471000,,
2390.6210000000,622188,0.3153234000,1.2398160000,0.1680591000,0.1303597000,0.6614764000,-0.0782512900,-0.7343923000,0.3153234000,1.2398160000,0.1680591000,0.1303597000,0.6614764000,-0.0782512900,-0.7343923000,0.3153234000,1.2398160000,0.1680591000,0.1303597000,0.6614764000,-0.0782512900,-0.7343923000,,
2390.6270000000,622188,0.3155742000,1.2397460000,0.1681795000,0.1302271000,0.6621978000,-0.0784025000,-0.7337493000,0.3155742000,1.2397460000,0.1681795000,0.1302271000,0.6621978000,-0.0784025000,-0.7337493000,0.3155742000,1.2397460000,0.1681795000,0.1302271000,0.6621978000,-0.0784025000,-0.7337493000,,
2390.6370000000,622188,0.3160136000,1.2397350000,0.1684015000,0.1301103000,0.6622055000,-0.0783438800,-0.7337693000,0.3160136000,1.2397350000,0.1684015000,0.1301103000,0.6622055000,-0.0783438800,-0.7337693000,0.3160136000,1.2397350000,0.1684015000,0.1301103000,0.6622055000,-0.0783438800,-0.7337693000,,
2390.6490000000,622188,0.3163621000,1.2396920000,0.1687379000,0.1300024000,0.6620079000,-0.0782955400,-0.7339719000,0.3163621000,1.2396920000,0.1687379000,0.1300024000,0.6620079000,-0.0782955400,-0.7339719000,0.3163621000,1.2396920000,0.1687379000,0.1300024000,0.6620079000,-0.0782955400,-0.7339719000,,
2390.6600000000,622188,0.3168764000,1.2397360000,0.1691399000,0.1298315000,0.6613430000,-0.0783772100,-0.7345926000,0.3168764000,1.2397360000,0.1691399000,0.1298315000,0.6613430000,-0.0783772100,-0.7345926000,0.3168764000,1.2397360000,0.1691399000,0.1298315000,0.6613430000,-0.0783772100,-0.7345926000,,
