unity_timestamp,eye_timestamp,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,messages,
2233.9570000000,3445439,0.6852410000,1.1364730000,-0.2850307000,-0.1135495000,-0.3398304000,-0.0125225100,0.9335229000,0.6852410000,1.1364730000,-0.2850307000,-0.1135495000,-0.3398304000,-0.0125225100,0.9335229000,0.6852410000,1.1364730000,-0.2850307000,-0.1135495000,-0.3398304000,-0.0125225100,0.9335229000,,
2233.9680000000,3445455,0.6852732000,1.1365690000,-0.2856776000,-0.1150754000,-0.3458454000,-0.0130010100,0.9311174000,0.6852732000,1.1365690000,-0.2856776000,-0.1150754000,-0.3458454000,-0.0130010100,0.9311174000,0.6852732000,1.1365690000,-0.2856776000,-0.1150754000,-0.3458454000,-0.0130010100,0.9311174000,,
2233.9790000000,3445463,0.6853344000,1.1366510000,-0.2863705000,-0.1166474000,-0.3519323000,-0.0136934400,0.9286278000,0.6853344000,1.1366510000,-0.2863705000,-0.1166474000,-0.3519323000,-0.0136934400,0.9286278000,0.6853344000,1.1366510000,-0.2863705000,-0.1166474000,-0.3519323000,-0.0136934400,0.9286278000,,
2233.9930000000,3445480,0.6853750000,1.1367880000,-0.2871011000,-0.1180811000,-0.3586702000,-0.0144960500,0.9258523000,0.6853750000,1.1367880000,-0.2871011000,-0.1180811000,-0.3586702000,-0.0144960500,0.9258523000,0.6853750000,1.1367880000,-0.2871011000,-0.1180811000,-0.3586702000,-0.0144960500,0.9258523000,,
2234.0000000000,3445488,0.6853597000,1.1368650000,-0.2877544000,-0.1194271000,-0.3650610000,-0.0153980900,0.9231634000,0.6853597000,1.1368650000,-0.2877544000,-0.1194271000,-0.3650610000,-0.0153980900,0.9231634000,0.6853597000,1.1368650000,-0.2877544000,-0.1194271000,-0.3650610000,-0.0153980900,0.9231634000,,
2234.0170000000,3445505,0.6854613000,1.1369850000,-0.2884539000,-0.1204666000,-0.3719716000,-0.0166508000,0.9202433000,0.6854613000,1.1369850000,-0.2884539000,-0.1204666000,-0.3719716000,-0.0166508000,0.9202433000,0.6854613000,1.1369850000,-0.2884539000,-0.1204666000,-0.3719716000,-0.0166508000,0.9202433000,,
2234.0280000000,3445513,0.6855421000,1.1372050000,-0.2893673000,-0.1222591000,-0.3810963000,-0.0179574500,0.9162401000,0.6855421000,1.1372050000,-0.2893673000,-0.1222591000,-0.3810963000,-0.0179574500,0.9162401000,0.6855421000,1.1372050000,-0.2893673000,-0.1222591000,-0.3810963000,-0.0179574500,0.9162401000,,
2234.0340000000,3445522,0.6855788000,1.1372650000,-0.2897609000,-0.1230606000,-0.3846176000,-0.0185693200,0.9146478000,0.6855788000,1.1372650000,-0.2897609000,-0.1230606000,-0.3846176000,-0.0185693200,0.9146478000,0.6855788000,1.1372650000,-0.2897609000,-0.1230606000,-0.3846176000,-0.0185693200,0.9146478000,,
2234.0450000000,3445530,0.6856327000,1.1373870000,-0.2904679000,-0.1247047000,-0.3911487000,-0.0193951700,0.9116333000,0.6856327000,1.1373870000,-0.2904679000,-0.1247047000,-0.3911487000,-0.0193951700,0.9116333000,0.6856327000,1.1373870000,-0.2904679000,-0.1247047000,-0.3911487000,-0.0193951700,0.9116333000,,
2234.0560000000,3445538,0.6856182000,1.1375340000,-0.2911983000,-0.1264740000,-0.3981323000,-0.0201027600,0.9083451000,0.6856182000,1.1375340000,-0.2911983000,-0.1264740000,-0.3981323000,-0.0201027600,0.9083451000,0.6856182000,1.1375340000,-0.2911983000,-0.1264740000,-0.3981323000,-0.0201027600,0.9083451000,,
