trial,timestamp,magnification,radial,response
0,416.352,0.95,0,0
1,422.0657,1.08,0,0
2,426.2852,0.9,0,0
3,430.4725,1.08,0,0
4,437.0916,1.04,0,0
5,477.0157,0.95,0,0
6,481.5426,0.85,0,0
7,485.7784,0.9,0,0
8,490.1607,0.9,0,0
9,494.7405,1.04,0,1
10,534.811,0.9,0,0
11,538.7656,1.04,0,0
12,542.9595,0.9,0,0
13,547.0123,1.12,0,0
14,551.0931,1.04,0,0
15,590.3756,1.08,0,0
16,595.2166,1.08,0,0
17,599.6265,1.04,0,1
18,603.8666,1.12,0,0
19,608.1665,0.95,0,0
20,649.6946,0.85,0,0
21,653.894,1.12,0,0
22,658.6584,0.9,0,0
23,662.7007,0.95,0,1
24,666.7766,1.16,0,0
25,706.2064,0.8,0,0
26,710.2376,1,0,1
27,714.3578,1.12,0,0
28,718.1533,1.04,0,1
29,722.5092,0.9,0,0
30,762.4228,0.95,0,0
31,766.27,1,0,1
32,770.4631,1.04,0,0
33,774.9944,1,0,1
34,778.8831,1.16,0,0
35,818.0402,1.12,0,0
36,822.6814,1.04,0,1
37,826.9221,1.12,0,0
38,831.1015,1,0,1
39,835.533,1.08,0,0
40,874.9818,1.08,0,0
41,879.0112,1.08,0,0
42,883.1423,1,0,1
43,887.2526,0.95,0,0
44,891.2739,0.9,0,0
45,930.9008,1.08,0,0
46,934.7277,1.12,0,0
47,938.9708,0.95,0,0
48,944.5391,1.2,0,0
49,948.237,1.12,0,0
50,986.771,1,0,1
51,990.6688,0.95,0,0
52,995.4332,1.2,0,0
53,1000.704,1,0,1
54,1004.951,0.8,0,0
55,1043.798,1,0,1
0,2244.31,1,0,1
1,2249.105,1.08,0,1
2,2253.202,1.04,0,1
3,2257.28,0.95,0,0
4,2261.524,1.16,0,0
5,2300.271,1,0,1
6,2304.272,1.08,0,1
7,2308.115,0.9,0,0
8,2312.297,0.95,0,0
9,2316.211,1.08,0,1
10,2355.949,1,0,1
11,2360.691,1,0,1
12,2364.677,1.08,0,0
13,2368.665,1.04,0,1
14,2372.885,1.04,0,1
15,2412.599,1.16,0,0
16,2416.678,0.9,0,0
17,2420.896,1,0,1
18,2424.828,0.9,0,0
19,2428.981,1.04,0,1
20,2468.04,1.12,0,0
21,2471.94,1,0,1
22,2476.06,1.12,0,0
23,2479.942,1.12,0,0
24,2483.995,0.95,0,0
25,2522.507,1.12,0,0
26,2526.512,0.95,0,0
27,2530.588,1,0,1
28,2534.508,0.8,0,0
29,2538.284,0.85,0,0
30,2577.591,1.12,0,0
31,2581.425,0.95,0,0
32,2585.219,0.9,0,0
33,2589.199,1.12,0,0
34,2594.508,1.12,0,0
35,2633.402,1.08,0,1
36,2637.148,1.04,0,1
37,2640.915,1.04,0,1
38,2644.568,0.9,0,0
39,2648.454,0.95,0,0
40,2688.031,0.9,0,0
41,2691.754,1.2,0,0
42,2695.342,0.95,0,0
43,2699.027,1.08,0,0
44,2702.705,0.95,0,0
45,2744.085,1.04,0,1
46,2747.485,1.2,0,0
47,2751.414,1.08,0,1
48,2755.628,1,0,1
49,2759.87,1.12,0,0
50,2798.334,0.8,0,0
51,2802.155,1.08,0,0
52,2805.941,0.9,0,0
53,2809.628,1.04,0,1
54,2813.36,0.85,0,0
55,2852.45,0.9,0,0
