unity_timestamp,eye_timestamp,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,Main Camera_position.x,Main Camera_position.y,Main Camera_position.z,Main Camera_rotation.x,Main Camera_rotation.y,Main Camera_rotation.z,Main Camera_rotation.w,messages,
406.8460000000,1616719,0.6905558000,1.1404990000,-0.2616589000,-0.1102242000,0.1255863000,-0.0522963000,0.9845526000,0.6905558000,1.1404990000,-0.2616589000,-0.1102242000,0.1255863000,-0.0522963000,0.9845526000,0.6905558000,1.1404990000,-0.2616589000,-0.1102242000,0.1255863000,-0.0522963000,0.9845526000,,
406.8569000000,1616735,0.6907218000,1.1403420000,-0.2616253000,-0.1095776000,0.1291486000,-0.0526433100,0.9841454000,0.6907218000,1.1403420000,-0.2616253000,-0.1095776000,0.1291486000,-0.0526433100,0.9841454000,0.6907218000,1.1403420000,-0.2616253000,-0.1095776000,0.1291486000,-0.0526433100,0.9841454000,,
406.8680000000,1616744,0.6908548000,1.1402160000,-0.2616081000,-0.1088679000,0.1323450000,-0.0528931400,0.9837860000,0.6908548000,1.1402160000,-0.2616081000,-0.1088679000,0.1323450000,-0.0528931400,0.9837860000,0.6908548000,1.1402160000,-0.2616081000,-0.1088679000,0.1323450000,-0.0528931400,0.9837860000,,
406.8791000000,1616752,0.6909134000,1.1400890000,-0.2615082000,-0.1082711000,0.1354684000,-0.0530684300,0.9834172000,0.6909134000,1.1400890000,-0.2615082000,-0.1082711000,0.1354684000,-0.0530684300,0.9834172000,0.6909134000,1.1400890000,-0.2615082000,-0.1082711000,0.1354684000,-0.0530684300,0.9834172000,,
406.8902000000,1616769,0.6910024000,1.1400160000,-0.2614613000,-0.1077716000,0.1383535000,-0.0530494300,0.9830714000,0.6910024000,1.1400160000,-0.2614613000,-0.1077716000,0.1383535000,-0.0530494300,0.9830714000,0.6910024000,1.1400160000,-0.2614613000,-0.1077716000,0.1383535000,-0.0530494300,0.9830714000,,
406.9012000000,1616777,0.6910472000,1.1399300000,-0.2613789000,-0.1073138000,0.1409235000,-0.0530473600,0.9827565000,0.6910472000,1.1399300000,-0.2613789000,-0.1073138000,0.1409235000,-0.0530473600,0.9827565000,0.6910472000,1.1399300000,-0.2613789000,-0.1073138000,0.1409235000,-0.0530473600,0.9827565000,,
406.9130000000,1616785,0.6909552000,1.1398010000,-0.2613422000,-0.1069252000,0.1434129000,-0.0528263000,0.9824506000,0.6909552000,1.1398010000,-0.2613422000,-0.1069252000,0.1434129000,-0.0528263000,0.9824506000,0.6909552000,1.1398010000,-0.2613422000,-0.1069252000,0.1434129000,-0.0528263000,0.9824506000,,
406.9234000000,1616802,0.6908870000,1.1397010000,-0.2613233000,-0.1064656000,0.1457435000,-0.0526332300,0.9821678000,0.6908870000,1.1397010000,-0.2613233000,-0.1064656000,0.1457435000,-0.0526332300,0.9821678000,0.6908870000,1.1397010000,-0.2613233000,-0.1064656000,0.1457435000,-0.0526332300,0.9821678000,,
406.9362000000,1616810,0.6907563000,1.1395420000,-0.2612495000,-0.1060527000,0.1477404000,-0.0521922500,0.9819376000,0.6907563000,1.1395420000,-0.2612495000,-0.1060527000,0.1477404000,-0.0521922500,0.9819376000,0.6907563000,1.1395420000,-0.2612495000,-0.1060527000,0.1477404000,-0.0521922500,0.9819376000,,
406.9458000000,1616819,0.6906729000,1.1395020000,-0.2612396000,-0.1055205000,0.1499322000,-0.0519701100,0.9816746000,0.6906729000,1.1395020000,-0.2612396000,-0.1055205000,0.1499322000,-0.0519701100,0.9816746000,0.6906729000,1.1395020000,-0.2612396000,-0.1055205000,0.1499322000,-0.0519701100,0.9816746000,,
406.9567000000,1616835,0.6904666000,1.1393770000,-0.2611693000,-0.1048387000,0.1518578000,-0.0516040800,0.9814709000,0.6904666000,1.1393770000,-0.2611693000,-0.1048387000,0.1518578000,-0.0516040800,0.9814709000,0.6904666000,1.1393770000,-0.2611693000,-0.1048387000,0.1518578000,-0.0516040800,0.9814709000,,
406.9679000000,1616844,0.6902118000,1.1392750000,-0.2611799000,-0.1041957000,0.1539084000,-0.0514409900,0.9812285000,0.6902118000,1.1392750000,-0.2611799000,-0.1041957000,0.1539084000,-0.0514409900,0.9812285000,0.6902118000,1.1392750000,-0.2611799000,-0.1041957000,0.1539084000,-0.0514409900,0.9812285000,,
406.9788000000,1616852,0.6899788000,1.1391280000,-0.2611157000,-0.1034158000,0.1557781000,-0.0511413500,0.9810316000,0.6899788000,1.1391280000,-0.2611157000,-0.1034158000,0.1557781000,-0.0511413500,0.9810316000,0.6899788000,1.1391280000,-0.2611157000,-0.1034158000,0.1557781000,-0.0511413500,0.9810316000,,
406.9902000000,1616869,0.6898115000,1.1390230000,-0.2610947000,-0.1027515000,0.1576069000,-0.0507770700,0.9808282000,0.6898115000,1.1390230000,-0.2610947000,-0.1027515000,0.1576069000,-0.0507770700,0.9808282000,0.6898115000,1.1390230000,-0.2610947000,-0.1027515000,0.1576069000,-0.0507770700,0.9808282000,,
407.0012000000,1616877,0.6895444000,1.1389070000,-0.2610105000,-0.1019779000,0.1596242000,-0.0506477100,0.9805894000,0.6895444000,1.1389070000,-0.2610105000,-0.1019779000,0.1596242000,-0.0506477100,0.9805894000,0.6895444000,1.1389070000,-0.2610105000,-0.1019779000,0.1596242000,-0.0506477100,0.9805894000,,
407.0122000000,1616885,0.6892834000,1.1388130000,-0.2610015000,-0.1014939000,0.1614267000,-0.0503460900,0.9803600000,0.6892834000,1.1388130000,-0.2610015000,-0.1014939000,0.1614267000,-0.0503460900,0.9803600000,0.6892834000,1.1388130000,-0.2610015000,-0.1014939000,0.1614267000,-0.0503460900,0.9803600000,,
407.0234000000,1616902,0.6890035000,1.1387270000,-0.2609538000,-0.1008783000,0.1630233000,-0.0499667600,0.9801787000,0.6890035000,1.1387270000,-0.2609538000,-0.1008783000,0.1630233000,-0.0499667600,0.9801787000,0.6890035000,1.1387270000,-0.2609538000,-0.1008783000,0.1630233000,-0.0499667600,0.9801787000,,
407.0344000000,1616910,0.6887069000,1.1386160000,-0.2608874000,-0.1002945000,0.1643405000,-0.0495464600,0.9800400000,0.6887069000,1.1386160000,-0.2608874000,-0.1002945000,0.1643405000,-0.0495464600,0.9800400000,0.6887069000,1.1386160000,-0.2608874000,-0.1002945000,0.1643405000,-0.0495464600,0.9800400000,,
407.0453000000,1616919,0.6883233000,1.1384850000,-0.2607736000,-0.0996664000,0.1654362000,-0.0491295400,0.9799407000,0.6883233000,1.1384850000,-0.2607736000,-0.0996664000,0.1654362000,-0.0491295400,0.9799407000,0.6883233000,1.1384850000,-0.2607736000,-0.0996664000,0.1654362000,-0.0491295400,0.9799407000,,
407.0568000000,1616935,0.6879380000,1.1383300000,-0.2607186000,-0.0989160100,0.1665218000,-0.0488424400,0.9798472000,0.6879380000,1.1383300000,-0.2607186000,-0.0989160100,0.1665218000,-0.0488424400,0.9798472000,0.6879380000,1.1383300000,-0.2607186000,-0.0989160100,0.1665218000,-0.0488424400,0.9798472000,,
407.0684000000,1616944,0.6874869000,1.1382610000,-0.2606838000,-0.0982471000,0.1673940000,-0.0485524200,0.9797803000,0.6874869000,1.1382610000,-0.2606838000,-0.0982471000,0.1673940000,-0.0485524200,0.9797803000,0.6874869000,1.1382610000,-0.2606838000,-0.0982471000,0.1673940000,-0.0485524200,0.9797803000,,
407.0799000000,1616952,0.6870415000,1.1381020000,-0.2606475000,-0.0974461600,0.1684124000,-0.0481992700,0.9797032000,0.6870415000,1.1381020000,-0.2606475000,-0.0974461600,0.1684124000,-0.0481992700,0.9797032000,0.6870415000,1.1381020000,-0.2606475000,-0.0974461600,0.1684124000,-0.0481992700,0.9797032000,,
407.0915000000,1616969,0.6866288000,1.1380270000,-0.2606096000,-0.0966699500,0.1692483000,-0.0478680700,0.9796523000,0.6866288000,1.1380270000,-0.2606096000,-0.0966699500,0.1692483000,-0.0478680700,0.9796523000,0.6866288000,1.1380270000,-0.2606096000,-0.0966699500,0.1692483000,-0.0478680700,0.9796523000,,
407.1024000000,1616977,0.6861770000,1.1379020000,-0.2605482000,-0.0959463000,0.1700682000,-0.0472646700,0.9796107000,0.6861770000,1.1379020000,-0.2605482000,-0.0959463000,0.1700682000,-0.0472646700,0.9796107000,0.6861770000,1.1379020000,-0.2605482000,-0.0959463000,0.1700682000,-0.0472646700,0.9796107000,,
407.1142000000,1616985,0.6856790000,1.1377920000,-0.2605047000,-0.0951549900,0.1706975000,-0.0468422100,0.9795988000,0.6856790000,1.1377920000,-0.2605047000,-0.0951549900,0.1706975000,-0.0468422100,0.9795988000,0.6856790000,1.1377920000,-0.2605047000,-0.0951549900,0.1706975000,-0.0468422100,0.9795988000,,
407.1257000000,1617002,0.6851280000,1.1377460000,-0.2604724000,-0.0946171900,0.1712129000,-0.0462537100,0.9795889000,0.6851280000,1.1377460000,-0.2604724000,-0.0946171900,0.1712129000,-0.0462537100,0.9795889000,0.6851280000,1.1377460000,-0.2604724000,-0.0946171900,0.1712129000,-0.0462537100,0.9795889000,,
407.1370000000,1617010,0.6845484000,1.1376480000,-0.2604048000,-0.0943022200,0.1715617000,-0.0455260800,0.9795923000,0.6845484000,1.1376480000,-0.2604048000,-0.0943022200,0.1715617000,-0.0455260800,0.9795923000,0.6845484000,1.1376480000,-0.2604048000,-0.0943022200,0.1715617000,-0.0455260800,0.9795923000,,
407.1483000000,1617027,0.6840146000,1.1376280000,-0.2603798000,-0.0939199000,0.1720535000,-0.0448013800,0.9795762000,0.6840146000,1.1376280000,-0.2603798000,-0.0939199000,0.1720535000,-0.0448013800,0.9795762000,0.6840146000,1.1376280000,-0.2603798000,-0.0939199000,0.1720535000,-0.0448013800,0.9795762000,,
407.1598000000,1617035,0.6834249000,1.1376380000,-0.2603528000,-0.0935254200,0.1723804000,-0.0441757500,0.9795849000,0.6834249000,1.1376380000,-0.2603528000,-0.0935254200,0.1723804000,-0.0441757500,0.9795849000,0.6834249000,1.1376380000,-0.2603528000,-0.0935254200,0.1723804000,-0.0441757500,0.9795849000,,
407.1711000000,1617044,0.6828339000,1.1375780000,-0.2602963000,-0.0931272400,0.1725909000,-0.0434496800,0.9796182000,0.6828339000,1.1375780000,-0.2602963000,-0.0931272400,0.1725909000,-0.0434496800,0.9796182000,0.6828339000,1.1375780000,-0.2602963000,-0.0931272400,0.1725909000,-0.0434496800,0.9796182000,,
407.1828000000,1617060,0.6822388000,1.1375640000,-0.2602656000,-0.0928114300,0.1727294000,-0.0427351200,0.9796552000,0.6822388000,1.1375640000,-0.2602656000,-0.0928114300,0.1727294000,-0.0427351200,0.9796552000,0.6822388000,1.1375640000,-0.2602656000,-0.0928114300,0.1727294000,-0.0427351200,0.9796552000,,
407.1941000000,1617069,0.6816130000,1.1374950000,-0.2601896000,-0.0923567900,0.1727730000,-0.0421627900,0.9797153000,0.6816130000,1.1374950000,-0.2601896000,-0.0923567900,0.1727730000,-0.0421627900,0.9797153000,0.6816130000,1.1374950000,-0.2601896000,-0.0923567900,0.1727730000,-0.0421627900,0.9797153000,,
407.2054000000,1617077,0.6809919000,1.1374200000,-0.2601167000,-0.0920035500,0.1726144000,-0.0415962700,0.9798007000,0.6809919000,1.1374200000,-0.2601167000,-0.0920035500,0.1726144000,-0.0415962700,0.9798007000,0.6809919000,1.1374200000,-0.2601167000,-0.0920035500,0.1726144000,-0.0415962700,0.9798007000,,
407.2171000000,1617094,0.6803305000,1.1373600000,-0.2600117000,-0.0914128800,0.1725450000,-0.0410084900,0.9798930000,0.6803305000,1.1373600000,-0.2600117000,-0.0914128800,0.1725450000,-0.0410084900,0.9798930000,0.6803305000,1.1373600000,-0.2600117000,-0.0914128800,0.1725450000,-0.0410084900,0.9798930000,,
407.2283000000,1617102,0.6796937000,1.1373210000,-0.2599719000,-0.0909768000,0.1723471000,-0.0404779500,0.9799905000,0.6796937000,1.1373210000,-0.2599719000,-0.0909768000,0.1723471000,-0.0404779500,0.9799905000,0.6796937000,1.1373210000,-0.2599719000,-0.0909768000,0.1723471000,-0.0404779500,0.9799905000,,
407.2392000000,1617110,0.6790111000,1.1372550000,-0.2598652000,-0.0903672900,0.1718908000,-0.0398679500,0.9801520000,0.6790111000,1.1372550000,-0.2598652000,-0.0903672900,0.1718908000,-0.0398679500,0.9801520000,0.6790111000,1.1372550000,-0.2598652000,-0.0903672900,0.1718908000,-0.0398679500,0.9801520000,,
407.2512000000,1617127,0.6782653000,1.1372240000,-0.2598360000,-0.0896661400,0.1711248000,-0.0392663700,0.9803746000,0.6782653000,1.1372240000,-0.2598360000,-0.0896661400,0.1711248000,-0.0392663700,0.9803746000,0.6782653000,1.1372240000,-0.2598360000,-0.0896661400,0.1711248000,-0.0392663700,0.9803746000,,
407.2614000000,1617135,0.6775491000,1.1371930000,-0.2597010000,-0.0890840000,0.1703214000,-0.0386454200,0.9805923000,0.6775491000,1.1371930000,-0.2597010000,-0.0890840000,0.1703214000,-0.0386454200,0.9805923000,0.6775491000,1.1371930000,-0.2597010000,-0.0890840000,0.1703214000,-0.0386454200,0.9805923000,,
407.2728000000,1617144,0.6768334000,1.1371090000,-0.2595942000,-0.0883259700,0.1694384000,-0.0382083500,0.9808309000,0.6768334000,1.1371090000,-0.2595942000,-0.0883259700,0.1694384000,-0.0382083500,0.9808309000,0.6768334000,1.1371090000,-0.2595942000,-0.0883259700,0.1694384000,-0.0382083500,0.9808309000,,
407.2839000000,1617160,0.6761024000,1.1370920000,-0.2595112000,-0.0875682300,0.1684859000,-0.0376181700,0.9810857000,0.6761024000,1.1370920000,-0.2595112000,-0.0875682300,0.1684859000,-0.0376181700,0.9810857000,0.6761024000,1.1370920000,-0.2595112000,-0.0875682300,0.1684859000,-0.0376181700,0.9810857000,,
407.2950000000,1617169,0.6753511000,1.1370190000,-0.2593701000,-0.0868085500,0.1673194000,-0.0368922900,0.9813804000,0.6753511000,1.1370190000,-0.2593701000,-0.0868085500,0.1673194000,-0.0368922900,0.9813804000,0.6753511000,1.1370190000,-0.2593701000,-0.0868085500,0.1673194000,-0.0368922900,0.9813804000,,
407.3059000000,1617177,0.6745632000,1.1369830000,-0.2592350000,-0.0859516400,0.1657742000,-0.0358917300,0.9817551000,0.6745632000,1.1369830000,-0.2592350000,-0.0859516400,0.1657742000,-0.0358917300,0.9817551000,0.6745632000,1.1369830000,-0.2592350000,-0.0859516400,0.1657742000,-0.0358917300,0.9817551000,,
407.3208000000,1617194,0.6737869000,1.1369300000,-0.2590675000,-0.0850944500,0.1634461000,-0.0348842100,0.9822563000,0.6737869000,1.1369300000,-0.2590675000,-0.0850944500,0.1634461000,-0.0348842100,0.9822563000,0.6737869000,1.1369300000,-0.2590675000,-0.0850944500,0.1634461000,-0.0348842100,0.9822563000,,
