phase,trial,magnification,delay_ms
baseline,0,0.95,-37.6232464929862
baseline,1,1.08,-40.57234468937824
baseline,2,0.9,-35.88937875751512
baseline,3,1.08,-40.739078156313084
baseline,4,1.04,-37.44368737474969
baseline,5,0.95,-38.483166332665796
baseline,6,0.85,-32.452905811623395
baseline,7,0.9,-37.25851703406823
baseline,8,0.9,-49.18256513026053
baseline,9,1.04,-39.228056112224536
baseline,10,0.9,-39.78837675350736
baseline,11,1.04,-29.14388777555144
baseline,12,0.9,-37.49278557114337
baseline,13,1.12,-39.95671342685371
baseline,14,1.04,-32.70661322645293
baseline,15,1.08,58.32024048096243
baseline,16,1.08,-37.08036072144224
baseline,17,1.04,-34.561923847694466
baseline,18,1.12,-37.54749498998007
baseline,19,0.95,-33.10220440881678
baseline,20,0.85,-47.23466933867626
baseline,21,1.12,-52.65931863727463
baseline,22,0.9,-41.80681362725487
baseline,23,0.95,-37.12384769539038
baseline,24,1.16,-40.476152304608235
baseline,25,0.8,-26.346092184368988
baseline,26,1.0,-41.11623246492952
baseline,27,1.12,-40.66533066132157
baseline,28,1.04,-30.622845691381855
baseline,29,0.9,-47.13687374749657
baseline,30,0.95,-42.622244488977536
baseline,31,1.0,-36.953907815630004
baseline,32,1.04,-44.02424849699499
baseline,33,1.0,0.0
baseline,34,1.16,-27.773146292585114
baseline,35,1.12,-27.81723446893769
baseline,36,1.04,0.0
baseline,37,1.12,-20.97715430861713
baseline,38,1.0,-19.241683366733394
baseline,39,1.08,-35.55911823647414
baseline,40,1.08,38.65651302604973
baseline,41,1.08,-32.864929859719595
baseline,42,1.0,-18.715831663326437
baseline,43,0.95,-22.14428857715353
baseline,44,0.9,-21.139278557113986
baseline,45,1.08,-20.023647294589203
baseline,46,1.12,-29.052104208416974
baseline,47,0.95,-32.62725450901839
baseline,48,1.2,-41.91583166332722
baseline,49,1.12,-36.759519038075844
baseline,50,1.0,-33.50460921843753
baseline,51,0.95,-19.171142284568546
baseline,52,1.2,-33.95390781563123
baseline,53,1.0,-35.24368737474967
baseline,54,0.8,-3.378757515030131
baseline,55,1.0,-21.33266533066265
aftereffect,0,1.0,0.0
aftereffect,1,1.08,-38.05811623246125
aftereffect,2,1.04,-37.398797595192725
aftereffect,3,0.95,-37.020040080162055
aftereffect,4,1.16,-41.97194388777456
aftereffect,5,1.0,-36.26252505010071
aftereffect,6,1.08,-59.607214428861646
aftereffect,7,0.9,-30.817635270542308
aftereffect,8,0.95,-40.10621242485501
aftereffect,9,1.08,-31.70741482966137
aftereffect,10,1.0,-44.53907815631518
aftereffect,11,1.0,-40.10020040080204
aftereffect,12,1.08,-37.20240480961985
aftereffect,13,1.04,-31.262525050099104
aftereffect,14,1.04,-39.404809619241234
aftereffect,15,1.16,-24.26853707414855
aftereffect,16,0.9,-43.28657314629696
aftereffect,17,1.0,5.240480961924322
aftereffect,18,0.9,-14.549098196393224
aftereffect,19,1.04,-29.939879759521883
aftereffect,20,1.12,-33.52304609218268
aftereffect,21,1.0,-27.318637274548315
aftereffect,22,1.12,-19.0621242484946
aftereffect,23,1.12,-18.15631262524948
aftereffect,24,0.95,-14.410821643286178
aftereffect,25,1.12,-17.68537074148169
aftereffect,26,0.95,-14.509018036071707
aftereffect,27,1.0,-18.136272545089636
aftereffect,28,0.8,-27.975951903805864
aftereffect,29,0.85,-33.02404809618655
aftereffect,30,1.12,-70.21442885770502
aftereffect,31,0.95,-45.56513026052758
aftereffect,32,0.9,-50.04609218436409
aftereffect,33,1.12,-85.73146292585666
aftereffect,34,1.12,-52.01603206412851
aftereffect,35,1.08,-23.048096192385177
aftereffect,36,1.04,-39.31863727454888
aftereffect,37,1.04,-8.901803607214443
aftereffect,38,0.9,-26.188376753511083
aftereffect,39,0.95,-21.907815631263922
aftereffect,40,0.9,-33.2745490981942
aftereffect,41,1.2,-32.99398797594996
aftereffect,42,0.95,-26.16432865730833
aftereffect,43,1.08,-16.448897795588618
aftereffect,44,0.95,-33.11422845691269
aftereffect,45,1.04,-14.392785571143685
aftereffect,46,1.2,-28.76753507013667
aftereffect,47,1.08,-30.82965931863366
aftereffect,48,1.0,72.18036072143383
aftereffect,49,1.12,-32.176352705412725
aftereffect,50,0.8,-41.9639278557088
aftereffect,51,1.08,-24.925851703405193
aftereffect,52,0.9,-27.21042084168787
aftereffect,53,1.04,-29.7595190380787
aftereffect,54,0.85,-29.194388777553712
aftereffect,55,0.9,-19.863727454904875
