trial,timestamp,magnification,radial,response
0,20.40269,0.8,0,L
1,25.40003,0.9,0,R
2,28.72051,0.9,0,R
3,32.21267,0.9,0,R
4,36.91683,0.9,0,R
5,43.96906,1,0,L
0,8.294923,1.1,0,L
1,14.05895,0.9,0,R
2,17.72389,1.1,0,R
3,21.71101,1.1,0,R
4,25.2429,1.2,0,R
5,35.23817,0.8,0,L
0,61.30645,1,0,L
1,65.96948,0.8,0,R
0,27.10516,1.2,0,R
1,32.25145,1.2,0,L
2,36.061,1.2,0,R
3,39.49287,1,0,L
4,43.32433,0.8,0,L
5,46.72297,1.1,0,R
6,49.93253,0.9,0,L
7,53.69755,1.1,0,R
8,56.78882,1.1,0,L
9,60.49438,0.8,0,L
10,64.10825,0.8,0,L
11,67.93539,1,0,R
12,71.2784,0.9,0,L
13,74.93229,1,0,L
14,78.24193,1,0,L
15,81.47385,1.2,0,R
16,84.35438,1.2,0,R
17,90.41898,0.9,0,L
18,93.13336,1.1,0,R
19,96.0006,0.9,0,R
20,98.94401,0.8,0,L
21,101.9866,0.8,0,L
22,105.2297,0.8,0,L
23,108.2507,0.9,0,L
24,111.2159,1.1,0,R
25,114.159,1,0,R
26,117.3574,1,0,L
27,120.334,0.9,0,L
28,123.2994,1.2,0,R
29,126.0982,1.1,0,R
0,17.52059,1.25,0,R
0,5.501881,1.25,0,L
1,9.190715,0.75,0,L
2,12.14005,1,0,R
3,15.25154,0.75,0,L
4,18.17218,1.25,0,R
5,21.34072,1,0,L
6,24.39482,1,0,R
7,29.81463,1.25,0,R
8,33.26746,0.75,0,L
9,36.39777,1,0,R
10,39.48391,1,0,L
11,42.1483,1.25,0,R
12,44.92609,1,0,L
13,47.21585,0.75,0,L
14,49.65681,1.25,0,R
15,52.05474,1.25,0,R
16,54.58462,0.75,0,L
17,57.13086,0.75,0,L
0,10.84678,1,0,L
1,14.7385,1.25,0,R
2,17.68175,1,0,L
3,20.74664,1.25,0,L
4,23.96737,0.75,0,L
5,34.69624,0.75,0,R
6,38.52529,0.75,0,L
7,41.75677,1.25,0,R
8,45.72427,0.75,0,L
9,49.3772,1.25,0,R
10,52.68026,1.25,0,R
11,56.02763,1,0,L
12,58.92999,0.75,0,R
13,63.91662,1,0,L
14,68.45849,1,0,L
15,73.61153,1.25,0,L
16,78.50947,1,0,L
17,83.58517,0.75,0,L
0,12.44593,1.25,0,L
1,18.89183,0.75,0,L
2,24.56699,0.75,0,L
3,31.63067,1,0,L
4,37.11701,1,0,L
5,42.84768,1,0,L
6,49.89992,1,0,R
7,54.44223,0.75,0,L
8,58.03005,0.75,0,L
9,62.41685,1,0,L
10,68.60248,0.75,0,L
11,73.64468,1.25,0,R
12,77.45442,1.25,0,L
13,81.27409,1.25,0,R
14,84.68496,1,0,R
15,88.06036,1.25,0,R
16,91.44778,0.75,0,L
17,94.81583,1.25,0,R
