trial,timestamp,magnification,radial,response,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38.68228,1.05,0,2,,,,pre,post,,,magn,pre,post,,0,40.67369,1.2,0,2,,,,pre,post,,,magn,pre,post
1,41.83627,1.025,0,1,,,0.85,8,8,,,0.85,1,1,,1,57.05525,1.15,0,2,,,0.85,8,8,,,0.85,1,1
2,44.17956,0.85,0,2,,,0.9,8,8,,,0.9,1,1,,2,63.008,0.9,0,2,,,0.9,8,8,,,0.9,1,1
3,47.30045,1.05,0,1,,,0.95,6,5,,,0.95,0.75,0.625,,3,67.67242,1.05,0,1,,,0.95,8,5,,,0.95,1,0.625
4,61.401,0.975,0,1,,,0.975,0,1,,,0.975,0,0.125,,4,85.77853,1.1,0,1,,,0.975,3,1,,,0.975,0.375,0.125
5,64.05514,0.9,0,2,,,1,3,0,,,1,0.375,0,,5,89.57648,1.025,0,1,,,1,0,1,,,1,0,0.125
6,66.53216,1,0,2,,,1.025,2,0,,,1.025,0.25,0,,6,92.9638,0.95,0,2,,,1.025,0,0,,,1.025,0,0
7,68.63119,1.15,0,2,,,1.05,3,0,,,1.05,0.375,0,,7,96.50702,1.1,0,2,,,1.05,0,0,,,1.05,0,0
8,83.01711,0.9,0,2,,,1.1,8,6,,,1.1,1,0.75,,8,113.1201,0.85,0,2,,,1.1,6,2,,,1.1,0.75,0.25
9,85.84895,1.025,0,2,,,1.15,8,8,,,1.15,1,1,,9,117.8178,1.2,0,2,,,1.15,8,7,,,1.15,1,0.875
10,88.9809,1.05,0,1,,,1.2,8,8,,,1.2,1,1,,10,121.5717,1.2,0,2,,,1.2,8,8,,,1.2,1,1
11,91.22449,0.975,0,1,,,,,,,,,,,,11,125.4146,0.85,0,2,,,,,,,,,,
12,105.2409,0.9,0,2,,,,,,,,,,,,12,140.2236,0.95,0,2,,,,,,,,,,
13,108.3284,0.9,0,2,,,,,,,,,,,,13,144.0223,1.1,0,2,,,,,,,,,,
14,111.4939,0.95,0,1,,,,,,,,,,,,14,147.5311,0.9,0,2,,,,,,,,,,
15,114.4922,1.2,0,2,,,,,,,,,,,,15,151.5294,1,0,1,,,,,,,,,,
16,134.5563,0.95,0,1,,,,,,,,,,,,16,166.1997,1,0,1,,,,,,,,,,
17,138.2331,1.1,0,2,,,,,,,,,,,,17,170.1535,1.05,0,1,,,,,,,,,,
18,141.4313,1.1,0,2,,,,,,,,,,,,18,174.0965,0.9,0,2,,,,,,,,,,
19,144.2519,1.15,0,2,,,,,,,,,,,,19,177.9499,1.1,0,2,,,,,,,,,,
20,158.5614,1.025,0,1,,,,,,,,,,,,20,193.1006,0.975,0,1,,,,,,,,,,
21,163.3037,1.15,0,2,,,,,,,,,,,,21,196.1217,1.025,0,1,,,,,,,,,,
22,166.3464,1.05,0,1,,,,,,,,,,,,22,199.1644,1.1,0,2,,,,,,,,,,
23,169.0898,1.15,0,2,,,,,,,,,,,,23,202.3631,0.9,0,2,,,,,,,,,,
24,183.4569,1.025,0,1,,,,,,,,,,,,24,217.1657,1.15,0,2,,,,,,,,,,
25,186.2552,0.85,0,2,,,,,,,,,,,,25,220.6415,0.95,0,2,,,,,,,,,,
26,188.821,0.85,0,2,,,,,,,,,,,,26,223.8181,1,0,1,,,,,,,,,,
27,192.4528,1.1,0,2,,,,,,,,,,,,27,228.6716,1.025,0,1,,,,,,,,,,
28,211.6595,0.85,0,2,,,,,,,,,,,,28,244.1875,0.975,0,2,,,,,,,,,,
29,218.9894,1.1,0,2,,,,,,,,,,,,29,247.7304,0.85,0,2,,,,,,,,,,
30,223.7099,1.1,0,2,,,,,,,,,,,,30,250.6739,1.2,0,2,,,,,,,,,,
31,226.7085,1.2,0,2,,,,,,,,,,,,31,253.95,0.9,0,2,,,,,,,,,,
32,241.9166,0.9,0,2,,,,,,,,,,,,32,267.5027,1.2,0,2,,,,,,,,,,
33,247.3583,0.95,0,2,,,,,,,,,,,,33,270.4573,0.95,0,2,,,,,,,,,,
34,251.0235,1,0,1,,,,,,,,,,,,34,273.1121,0.9,0,2,,,,,,,,,,
35,254.9102,1,0,1,,,,,,,,,,,,35,275.9215,1.025,0,1,,,,,,,,,,
36,274.701,1,0,1,,,,,,,,,,,,36,288.9374,0.95,0,2,,,,,,,,,,
37,277.6996,1.2,0,2,,,,,,,,,,,,37,291.1251,1.15,0,2,,,,,,,,,,
